Eph_lab bin center    K_Eph    Error 
-inf   3.573042e-03   4.807431e-03
 4.490000e-01   1.000000e+00   5.639133e-01
 9.470000e-01   1.000000e+00   5.594613e-01
 1.445000e+00   1.000000e+00   5.409056e-01
 1.943000e+00   1.000000e+00   5.689849e-01
 2.441000e+00   1.000000e+00   5.665899e-01
 2.939000e+00   1.000000e+00   5.463924e-01
 3.437000e+00   1.000000e+00   5.291426e-01
 3.935000e+00   1.000000e+00   5.348901e-01
 4.433000e+00   1.000000e+00   5.357566e-01
 4.931000e+00   1.000000e+00   4.736960e-01
 5.429000e+00   1.000000e+00   5.329626e-01
 5.927000e+00   1.000000e+00   4.959262e-01
 6.425000e+00   1.000000e+00   5.730587e-01
 6.923000e+00   1.000000e+00   5.786810e-01
 7.421000e+00   1.000000e+00   5.139838e-01
 7.919000e+00   1.000000e+00   5.320708e-01
 8.417000e+00   1.000000e+00   4.905048e-01
 8.915000e+00   1.000000e+00   5.191308e-01
 9.413000e+00   1.000000e+00   5.341167e-01
 9.911000e+00   1.000000e+00   5.091506e-01
 1.040900e+01   1.000000e+00   5.208513e-01
 1.090700e+01   1.000000e+00   5.090451e-01
 1.140500e+01   1.000000e+00   4.978692e-01
 1.190300e+01   1.000000e+00   5.354382e-01
 1.240100e+01   1.000000e+00   5.057853e-01
 1.289900e+01   1.000000e+00   4.733630e-01
 1.339700e+01   1.000000e+00   5.036401e-01
 1.389500e+01   1.000000e+00   5.511740e-01
 1.439300e+01   6.000000e-01   4.175525e-01
 1.489100e+01   8.000000e-01   4.792640e-01
 1.538900e+01   4.000000e-01   3.518933e-01
 1.588700e+01   6.000000e-01   4.082301e-01
 1.638500e+01   1.000000e+00   4.964919e-01
 1.688300e+01   6.000000e-01   4.244223e-01
 1.738100e+01   6.000000e-01   4.180974e-01
 1.787900e+01   6.000000e-01   3.474362e-01
 1.837700e+01   8.000000e-01   4.960017e-01
 1.887500e+01   2.000000e-01   2.824638e-01
 1.937300e+01   8.000000e-01   4.359888e-01
 1.987100e+01   6.000000e-01   4.389557e-01
 2.036900e+01   4.000000e-01   2.830889e-01
 2.086700e+01   8.000000e-01   4.901275e-01
 2.136500e+01   8.000000e-01   4.795036e-01
 2.186300e+01   8.000000e-01   4.794856e-01
 2.236100e+01   6.000000e-01   3.879188e-01
 2.285900e+01   1.000000e+00   5.156146e-01
 2.335700e+01   8.000000e-01   4.357795e-01
 2.385500e+01   1.000000e+00   5.046204e-01
 2.435300e+01   1.000000e+00   5.281011e-01
 2.485100e+01   8.000000e-01   4.211129e-01
 2.534900e+01   6.000000e-01   4.421218e-01
 2.584700e+01   8.000000e-01   4.594620e-01
 2.634500e+01   8.000000e-01   4.053049e-01
 2.684300e+01   6.000000e-01   4.448645e-01
 2.734100e+01   8.000000e-01   4.270538e-01
 2.783900e+01   8.000000e-01   3.838566e-01
 2.833700e+01   8.000000e-01   4.420748e-01
 2.883500e+01   1.000000e+00   5.546788e-01
 2.933300e+01   1.000000e+00   5.394065e-01
 2.983100e+01   8.000000e-01   4.492687e-01
 3.032900e+01   0.000000e+00   0.000000e+00
 3.082700e+01   0.000000e+00   0.000000e+00
 3.132500e+01   0.000000e+00   0.000000e+00
 3.182300e+01   0.000000e+00   0.000000e+00
 3.232100e+01   0.000000e+00   0.000000e+00
 3.281900e+01   0.000000e+00   0.000000e+00
 3.331700e+01   0.000000e+00   0.000000e+00
 3.381500e+01   0.000000e+00   0.000000e+00
 3.431300e+01   0.000000e+00   0.000000e+00
 3.481100e+01   0.000000e+00   0.000000e+00
 3.530900e+01   0.000000e+00   0.000000e+00
 3.580700e+01   0.000000e+00   0.000000e+00
 3.630500e+01   0.000000e+00   0.000000e+00
 3.680300e+01   0.000000e+00   0.000000e+00
 3.730100e+01   0.000000e+00   0.000000e+00
 3.779900e+01   0.000000e+00   0.000000e+00
 3.829700e+01   0.000000e+00   0.000000e+00
 3.879500e+01   0.000000e+00   0.000000e+00
 3.929300e+01   0.000000e+00   0.000000e+00
 3.979100e+01   0.000000e+00   0.000000e+00
 4.028900e+01   0.000000e+00   0.000000e+00
 4.078700e+01   0.000000e+00   0.000000e+00
 4.128500e+01   0.000000e+00   0.000000e+00
 4.178300e+01   0.000000e+00   0.000000e+00
 4.228100e+01   0.000000e+00   0.000000e+00
 4.277900e+01   0.000000e+00   0.000000e+00
 4.327700e+01   0.000000e+00   0.000000e+00
 4.377500e+01   0.000000e+00   0.000000e+00
 4.427300e+01   0.000000e+00   0.000000e+00
 4.477100e+01   0.000000e+00   0.000000e+00
 4.526900e+01   0.000000e+00   0.000000e+00
 4.576700e+01   0.000000e+00   0.000000e+00
 4.626500e+01   0.000000e+00   0.000000e+00
 4.676300e+01   0.000000e+00   0.000000e+00
 4.726100e+01   0.000000e+00   0.000000e+00
 4.775900e+01   0.000000e+00   0.000000e+00
 4.825700e+01   0.000000e+00   0.000000e+00
 4.875500e+01   0.000000e+00   0.000000e+00
 4.925300e+01   0.000000e+00   0.000000e+00
 4.975100e+01   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
