Eph_lab bin center    K_Eph    Error 
-inf  -8.093993e-04   7.380685e-06
 1.311875e+00   1.000000e+00   5.522910e-04
 3.835625e+00   1.000000e+00   7.895762e-04
 6.359375e+00   1.000000e+00   8.740364e-04
 8.883125e+00   1.000000e+00   7.453062e-04
 1.140688e+01   1.000000e+00   1.002142e-03
 1.393063e+01   1.000000e+00   9.259088e-04
 1.645437e+01   1.000000e+00   1.240453e-03
 1.897812e+01   1.000000e+00   1.274483e-03
 2.150188e+01   1.000000e+00   1.159435e-03
 2.402562e+01   1.000000e+00   1.425313e-03
 2.654937e+01   1.000000e+00   1.559760e-03
 2.907313e+01   1.000000e+00   4.266336e-03
 3.159688e+01   0.000000e+00   0.000000e+00
 3.412063e+01   0.000000e+00   0.000000e+00
 3.664438e+01   0.000000e+00   0.000000e+00
 3.916813e+01   0.000000e+00   0.000000e+00
 4.169187e+01   0.000000e+00   0.000000e+00
 4.421563e+01   0.000000e+00   0.000000e+00
 4.673938e+01   0.000000e+00   0.000000e+00
 4.926313e+01   0.000000e+00   0.000000e+00
 5.178687e+01   0.000000e+00   0.000000e+00
 5.431063e+01   0.000000e+00   0.000000e+00
 5.683438e+01   0.000000e+00   0.000000e+00
 5.935812e+01   0.000000e+00   0.000000e+00
 6.188188e+01   0.000000e+00   0.000000e+00
 6.440563e+01   0.000000e+00   0.000000e+00
 6.692938e+01   0.000000e+00   0.000000e+00
 6.945312e+01   0.000000e+00   0.000000e+00
 7.197688e+01   0.000000e+00   0.000000e+00
 7.450062e+01   0.000000e+00   0.000000e+00
 7.702438e+01   0.000000e+00   0.000000e+00
 7.954812e+01   0.000000e+00   0.000000e+00
 8.207188e+01   0.000000e+00   0.000000e+00
 8.459562e+01   0.000000e+00   0.000000e+00
 8.711938e+01   0.000000e+00   0.000000e+00
 8.964312e+01   0.000000e+00   0.000000e+00
 9.216688e+01   0.000000e+00   0.000000e+00
 9.469063e+01   0.000000e+00   0.000000e+00
 9.721438e+01   0.000000e+00   0.000000e+00
 9.973812e+01   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
