Eph bin center    K_Eph    Error 
-inf  -1.160254e-01   3.827534e-03
 1.495000e+00   1.000000e+00   6.259990e-03
 2.485000e+00   1.000000e+00   6.484549e-03
 3.475000e+00   1.000000e+00   7.888937e-03
 4.465000e+00   1.000000e+00   8.135411e-03
 5.455000e+00   1.000000e+00   8.892987e-03
 6.445000e+00   1.000000e+00   1.174634e-02
 7.435000e+00   1.000000e+00   9.961402e-03
 8.425000e+00   1.000000e+00   1.185570e-02
 9.415000e+00   1.000000e+00   1.161850e-02
 1.040500e+01   1.000000e+00   1.438551e-02
 1.139500e+01   1.000000e+00   1.612633e-02
 1.238500e+01   1.000000e+00   1.808164e-02
 1.337500e+01   1.000000e+00   1.790506e-02
 1.436500e+01   1.000000e+00   2.451156e-02
 1.535500e+01   1.000000e+00   2.041659e-02
 1.634500e+01   1.000000e+00   3.417576e-02
 1.733500e+01   1.000000e+00   2.300590e-02
 1.832500e+01   1.000000e+00   3.080704e-02
 1.931500e+01   1.000000e+00   4.389943e-02
 2.030500e+01   1.000000e+00   3.616243e-02
 2.129500e+01   1.000000e+00   4.309762e-02
 2.228500e+01   1.000000e+00   4.725088e-02
 2.327500e+01   1.000000e+00   4.419518e-02
 2.426500e+01   1.000000e+00   4.826684e-02
 2.525500e+01   1.000000e+00   4.827428e-02
 2.624500e+01   1.000000e+00   6.147553e-02
 2.723500e+01   1.000000e+00   5.911989e-02
 2.822500e+01   1.000000e+00   6.752850e-02
 2.921500e+01   1.000000e+00   7.171134e-02
 3.020500e+01   4.000000e-01   4.662475e-02
 3.119500e+01   0.000000e+00   0.000000e+00
 3.218500e+01   0.000000e+00   0.000000e+00
 3.317500e+01   0.000000e+00   0.000000e+00
 3.416500e+01   0.000000e+00   0.000000e+00
 3.515500e+01   0.000000e+00   0.000000e+00
 3.614500e+01   0.000000e+00   0.000000e+00
 3.713500e+01   0.000000e+00   0.000000e+00
 3.812500e+01   0.000000e+00   0.000000e+00
 3.911500e+01   0.000000e+00   0.000000e+00
 4.010500e+01   0.000000e+00   0.000000e+00
 4.109500e+01   0.000000e+00   0.000000e+00
 4.208500e+01   0.000000e+00   0.000000e+00
 4.307500e+01   0.000000e+00   0.000000e+00
 4.406500e+01   0.000000e+00   0.000000e+00
 4.505500e+01   0.000000e+00   0.000000e+00
 4.604500e+01   0.000000e+00   0.000000e+00
 4.703500e+01   0.000000e+00   0.000000e+00
 4.802500e+01   0.000000e+00   0.000000e+00
 4.901500e+01   0.000000e+00   0.000000e+00
 5.000500e+01   0.000000e+00   0.000000e+00
 5.099500e+01   0.000000e+00   0.000000e+00
 5.198500e+01   0.000000e+00   0.000000e+00
 5.297500e+01   0.000000e+00   0.000000e+00
 5.396500e+01   0.000000e+00   0.000000e+00
 5.495500e+01   0.000000e+00   0.000000e+00
 5.594500e+01   0.000000e+00   0.000000e+00
 5.693500e+01   0.000000e+00   0.000000e+00
 5.792500e+01   0.000000e+00   0.000000e+00
 5.891500e+01   0.000000e+00   0.000000e+00
 5.990500e+01   0.000000e+00   0.000000e+00
 6.089500e+01   0.000000e+00   0.000000e+00
 6.188500e+01   0.000000e+00   0.000000e+00
 6.287500e+01   0.000000e+00   0.000000e+00
 6.386500e+01   0.000000e+00   0.000000e+00
 6.485500e+01   0.000000e+00   0.000000e+00
 6.584500e+01   0.000000e+00   0.000000e+00
 6.683500e+01   0.000000e+00   0.000000e+00
 6.782500e+01   0.000000e+00   0.000000e+00
 6.881500e+01   0.000000e+00   0.000000e+00
 6.980500e+01   0.000000e+00   0.000000e+00
 7.079500e+01   0.000000e+00   0.000000e+00
 7.178500e+01   0.000000e+00   0.000000e+00
 7.277500e+01   0.000000e+00   0.000000e+00
 7.376500e+01   0.000000e+00   0.000000e+00
 7.475500e+01   0.000000e+00   0.000000e+00
 7.574500e+01   0.000000e+00   0.000000e+00
 7.673500e+01   0.000000e+00   0.000000e+00
 7.772500e+01   0.000000e+00   0.000000e+00
 7.871500e+01   0.000000e+00   0.000000e+00
 7.970500e+01   0.000000e+00   0.000000e+00
 8.069500e+01   0.000000e+00   0.000000e+00
 8.168500e+01   0.000000e+00   0.000000e+00
 8.267500e+01   0.000000e+00   0.000000e+00
 8.366500e+01   0.000000e+00   0.000000e+00
 8.465500e+01   0.000000e+00   0.000000e+00
 8.564500e+01   0.000000e+00   0.000000e+00
 8.663500e+01   0.000000e+00   0.000000e+00
 8.762500e+01   0.000000e+00   0.000000e+00
 8.861500e+01   0.000000e+00   0.000000e+00
 8.960500e+01   0.000000e+00   0.000000e+00
 9.059500e+01   0.000000e+00   0.000000e+00
 9.158500e+01   0.000000e+00   0.000000e+00
 9.257500e+01   0.000000e+00   0.000000e+00
 9.356500e+01   0.000000e+00   0.000000e+00
 9.455500e+01   0.000000e+00   0.000000e+00
 9.554500e+01   0.000000e+00   0.000000e+00
 9.653500e+01   0.000000e+00   0.000000e+00
 9.752500e+01   0.000000e+00   0.000000e+00
 9.851500e+01   0.000000e+00   0.000000e+00
 9.950500e+01   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
