Emu_lab bin center    K_Emu    Error 
-inf   1.000000e+00   1.052513e+00
 9.530000e+01   1.000000e+00   5.603435e-01
 9.590000e+01   1.000000e+00   5.813692e-01
 9.650000e+01   1.000000e+00   5.902607e-01
 9.710000e+01   1.000000e+00   5.833458e-01
 9.770000e+01   1.000000e+00   5.823761e-01
 9.830000e+01   1.000000e+00   5.571775e-01
 9.890000e+01   1.000000e+00   6.061442e-01
 9.950000e+01   1.000000e+00   5.989986e-01
 1.001000e+02   2.029252e-01   2.695156e-01
 1.007000e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
