Emu_lab bin center    K_Emu    Error 
-inf   1.000000e+00   4.371764e-04
 9.507500e+01   1.000000e+00   4.154086e-03
 9.522500e+01   1.000000e+00   3.833961e-03
 9.537500e+01   1.000000e+00   4.063364e-03
 9.552500e+01   1.000000e+00   4.629504e-03
 9.567500e+01   1.000000e+00   3.989590e-03
 9.582500e+01   1.000000e+00   4.151955e-03
 9.597500e+01   1.000000e+00   4.343564e-03
 9.612500e+01   1.000000e+00   3.818216e-03
 9.627500e+01   1.000000e+00   3.889073e-03
 9.642500e+01   1.000000e+00   3.567813e-03
 9.657500e+01   1.000000e+00   3.721686e-03
 9.672500e+01   1.000000e+00   4.150599e-03
 9.687500e+01   1.000000e+00   4.008366e-03
 9.702500e+01   1.000000e+00   3.836953e-03
 9.717500e+01   1.000000e+00   3.097167e-03
 9.732500e+01   1.000000e+00   3.809247e-03
 9.747500e+01   1.000000e+00   3.490466e-03
 9.762500e+01   1.000000e+00   3.934886e-03
 9.777500e+01   1.000000e+00   3.556211e-03
 9.792500e+01   1.000000e+00   3.631901e-03
 9.807500e+01   1.000000e+00   3.184058e-03
 9.822500e+01   1.000000e+00   3.396708e-03
 9.837500e+01   1.000000e+00   2.929374e-03
 9.852500e+01   1.000000e+00   3.235265e-03
 9.867500e+01   1.000000e+00   2.836553e-03
 9.882500e+01   1.000000e+00   3.180947e-03
 9.897500e+01   1.000000e+00   2.567897e-03
 9.912500e+01   1.000000e+00   2.741324e-03
 9.927500e+01   1.000000e+00   2.582699e-03
 9.942500e+01   1.000000e+00   2.506535e-03
 9.957500e+01   1.000000e+00   2.243005e-03
 9.972500e+01   1.000000e+00   1.829068e-03
 9.987500e+01   1.000000e+00   1.806360e-03
 1.000250e+02   1.989595e-01   8.326635e-04
 1.001750e+02   0.000000e+00   0.000000e+00
 1.003250e+02   0.000000e+00   0.000000e+00
 1.004750e+02   0.000000e+00   0.000000e+00
 1.006250e+02   0.000000e+00   0.000000e+00
 1.007750e+02   0.000000e+00   0.000000e+00
 1.009250e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
