Emu_cms bin center    K_Emu    Error 
-inf   5.027672e-03   3.863484e-03
 9.503000e+01   0.000000e+00   0.000000e+00
 9.509000e+01   0.000000e+00   0.000000e+00
 9.515000e+01   0.000000e+00   0.000000e+00
 9.521000e+01   0.000000e+00   0.000000e+00
 9.527000e+01   0.000000e+00   0.000000e+00
 9.533000e+01   0.000000e+00   0.000000e+00
 9.539000e+01   0.000000e+00   0.000000e+00
 9.545000e+01   0.000000e+00   0.000000e+00
 9.551000e+01   0.000000e+00   0.000000e+00
 9.557000e+01   0.000000e+00   0.000000e+00
 9.563000e+01   0.000000e+00   0.000000e+00
 9.569000e+01   0.000000e+00   0.000000e+00
 9.575000e+01   0.000000e+00   0.000000e+00
 9.581000e+01   0.000000e+00   0.000000e+00
 9.587000e+01   0.000000e+00   0.000000e+00
 9.593000e+01   0.000000e+00   0.000000e+00
 9.599000e+01   0.000000e+00   0.000000e+00
 9.605000e+01   0.000000e+00   0.000000e+00
 9.611000e+01   0.000000e+00   0.000000e+00
 9.617000e+01   0.000000e+00   0.000000e+00
 9.623000e+01   0.000000e+00   0.000000e+00
 9.629000e+01   0.000000e+00   0.000000e+00
 9.635000e+01   0.000000e+00   0.000000e+00
 9.641000e+01   0.000000e+00   0.000000e+00
 9.647000e+01   0.000000e+00   0.000000e+00
 9.653000e+01   0.000000e+00   0.000000e+00
 9.659000e+01   0.000000e+00   0.000000e+00
 9.665000e+01   0.000000e+00   0.000000e+00
 9.671000e+01   0.000000e+00   0.000000e+00
 9.677000e+01   0.000000e+00   0.000000e+00
 9.683000e+01   0.000000e+00   0.000000e+00
 9.689000e+01   0.000000e+00   0.000000e+00
 9.695000e+01   0.000000e+00   0.000000e+00
 9.701000e+01   0.000000e+00   0.000000e+00
 9.707000e+01   0.000000e+00   0.000000e+00
 9.713000e+01   0.000000e+00   0.000000e+00
 9.719000e+01   0.000000e+00   0.000000e+00
 9.725000e+01   0.000000e+00   0.000000e+00
 9.731000e+01   0.000000e+00   0.000000e+00
 9.737000e+01   0.000000e+00   0.000000e+00
 9.743000e+01   0.000000e+00   0.000000e+00
 9.749000e+01   0.000000e+00   0.000000e+00
 9.755000e+01   0.000000e+00   0.000000e+00
 9.761000e+01   0.000000e+00   0.000000e+00
 9.767000e+01   0.000000e+00   0.000000e+00
 9.773000e+01   0.000000e+00   0.000000e+00
 9.779000e+01   0.000000e+00   0.000000e+00
 9.785000e+01   0.000000e+00   0.000000e+00
 9.791000e+01   0.000000e+00   0.000000e+00
 9.797000e+01   0.000000e+00   0.000000e+00
 9.803000e+01   0.000000e+00   0.000000e+00
 9.809000e+01   0.000000e+00   0.000000e+00
 9.815000e+01   0.000000e+00   0.000000e+00
 9.821000e+01   0.000000e+00   0.000000e+00
 9.827000e+01   0.000000e+00   0.000000e+00
 9.833000e+01   0.000000e+00   0.000000e+00
 9.839000e+01   0.000000e+00   0.000000e+00
 9.845000e+01   0.000000e+00   0.000000e+00
 9.851000e+01   0.000000e+00   0.000000e+00
 9.857000e+01   0.000000e+00   0.000000e+00
 9.863000e+01   0.000000e+00   0.000000e+00
 9.869000e+01   0.000000e+00   0.000000e+00
 9.875000e+01   0.000000e+00   0.000000e+00
 9.881000e+01   0.000000e+00   0.000000e+00
 9.887000e+01   0.000000e+00   0.000000e+00
 9.893000e+01   0.000000e+00   0.000000e+00
 9.899000e+01   0.000000e+00   0.000000e+00
 9.905000e+01   0.000000e+00   0.000000e+00
 9.911000e+01   0.000000e+00   0.000000e+00
 9.917000e+01   0.000000e+00   0.000000e+00
 9.923000e+01   0.000000e+00   0.000000e+00
 9.929000e+01   0.000000e+00   0.000000e+00
 9.935000e+01   0.000000e+00   0.000000e+00
 9.941000e+01   0.000000e+00   0.000000e+00
 9.947000e+01   0.000000e+00   0.000000e+00
 9.953000e+01   0.000000e+00   0.000000e+00
 9.959000e+01   0.000000e+00   0.000000e+00
 9.965000e+01   0.000000e+00   0.000000e+00
 9.971000e+01   0.000000e+00   0.000000e+00
 9.977000e+01   0.000000e+00   0.000000e+00
 9.983000e+01   0.000000e+00   0.000000e+00
 9.989000e+01   0.000000e+00   0.000000e+00
 9.995000e+01   0.000000e+00   0.000000e+00
 1.000100e+02   0.000000e+00   0.000000e+00
 1.000700e+02   0.000000e+00   0.000000e+00
 1.001300e+02   0.000000e+00   0.000000e+00
 1.001900e+02   0.000000e+00   0.000000e+00
 1.002500e+02   0.000000e+00   0.000000e+00
 1.003100e+02   0.000000e+00   0.000000e+00
 1.003700e+02   0.000000e+00   0.000000e+00
 1.004300e+02   0.000000e+00   0.000000e+00
 1.004900e+02   0.000000e+00   0.000000e+00
 1.005500e+02   0.000000e+00   0.000000e+00
 1.006100e+02   0.000000e+00   0.000000e+00
 1.006700e+02   0.000000e+00   0.000000e+00
 1.007300e+02   0.000000e+00   0.000000e+00
 1.007900e+02   0.000000e+00   0.000000e+00
 1.008500e+02   0.000000e+00   0.000000e+00
 1.009100e+02   0.000000e+00   0.000000e+00
 1.009700e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
