Emu_lab bin center    K_Emu    Error 
-inf   1.000000e+00   1.025516e+00
 9.503000e+01   2.000000e-01   2.073889e-01
 9.509000e+01   6.000000e-01   4.010865e-01
 9.515000e+01   1.000000e+00   5.594906e-01
 9.521000e+01   8.000000e-01   4.857742e-01
 9.527000e+01   4.000000e-01   3.456887e-01
 9.533000e+01   4.000000e-01   3.858145e-01
 9.539000e+01   6.000000e-01   4.225240e-01
 9.545000e+01   6.000000e-01   4.785050e-01
 9.551000e+01   6.000000e-01   4.597834e-01
 9.557000e+01   1.000000e+00   5.487906e-01
 9.563000e+01   1.000000e+00   5.484647e-01
 9.569000e+01   8.000000e-01   5.209408e-01
 9.575000e+01   1.000000e+00   5.547053e-01
 9.581000e+01   8.000000e-01   4.514637e-01
 9.587000e+01   8.000000e-01   4.841601e-01
 9.593000e+01   1.000000e+00   5.380878e-01
 9.599000e+01   1.000000e+00   5.395004e-01
 9.605000e+01   1.000000e+00   5.538136e-01
 9.611000e+01   1.000000e+00   5.619371e-01
 9.617000e+01   1.000000e+00   5.483475e-01
 9.623000e+01   8.000000e-01   4.866095e-01
 9.629000e+01   8.000000e-01   4.671843e-01
 9.635000e+01   6.000000e-01   4.277241e-01
 9.641000e+01   8.000000e-01   4.958265e-01
 9.647000e+01   1.000000e+00   5.204847e-01
 9.653000e+01   1.000000e+00   5.354576e-01
 9.659000e+01   6.000000e-01   4.758441e-01
 9.665000e+01   8.000000e-01   4.992677e-01
 9.671000e+01   1.000000e+00   5.587145e-01
 9.677000e+01   8.000000e-01   4.493540e-01
 9.683000e+01   6.000000e-01   4.628255e-01
 9.689000e+01   8.000000e-01   4.805892e-01
 9.695000e+01   6.000000e-01   4.307489e-01
 9.701000e+01   6.000000e-01   4.228218e-01
 9.707000e+01   8.000000e-01   4.461625e-01
 9.713000e+01   6.000000e-01   4.316943e-01
 9.719000e+01   8.000000e-01   5.187811e-01
 9.725000e+01   6.000000e-01   4.729721e-01
 9.731000e+01   1.000000e+00   5.767891e-01
 9.737000e+01   6.000000e-01   4.247404e-01
 9.743000e+01   6.000000e-01   4.678446e-01
 9.749000e+01   8.000000e-01   5.342586e-01
 9.755000e+01   1.000000e+00   5.846201e-01
 9.761000e+01   6.000000e-01   4.537253e-01
 9.767000e+01   8.000000e-01   5.138179e-01
 9.773000e+01   8.000000e-01   4.721585e-01
 9.779000e+01   8.000000e-01   5.124206e-01
 9.785000e+01   6.000000e-01   4.264408e-01
 9.791000e+01   1.000000e+00   5.653566e-01
 9.797000e+01   1.000000e+00   5.566293e-01
 9.803000e+01   1.000000e+00   5.961043e-01
 9.809000e+01   1.000000e+00   5.805022e-01
 9.815000e+01   1.000000e+00   5.842516e-01
 9.821000e+01   1.000000e+00   6.004867e-01
 9.827000e+01   1.000000e+00   5.738344e-01
 9.833000e+01   1.000000e+00   5.667719e-01
 9.839000e+01   1.000000e+00   5.355975e-01
 9.845000e+01   1.000000e+00   5.796958e-01
 9.851000e+01   1.000000e+00   5.790738e-01
 9.857000e+01   1.000000e+00   5.361186e-01
 9.863000e+01   1.000000e+00   5.491461e-01
 9.869000e+01   1.000000e+00   5.494689e-01
 9.875000e+01   1.000000e+00   5.295710e-01
 9.881000e+01   8.000000e-01   5.357145e-01
 9.887000e+01   1.000000e+00   5.939266e-01
 9.893000e+01   1.000000e+00   6.007079e-01
 9.899000e+01   1.000000e+00   5.906246e-01
 9.905000e+01   1.000000e+00   5.304946e-01
 9.911000e+01   1.000000e+00   5.533836e-01
 9.917000e+01   1.000000e+00   5.604482e-01
 9.923000e+01   1.000000e+00   5.500677e-01
 9.929000e+01   1.000000e+00   6.105963e-01
 9.935000e+01   1.000000e+00   5.858118e-01
 9.941000e+01   1.000000e+00   6.071766e-01
 9.947000e+01   1.000000e+00   5.958149e-01
 9.953000e+01   1.000000e+00   5.648373e-01
 9.959000e+01   1.000000e+00   5.762220e-01
 9.965000e+01   1.000000e+00   5.765134e-01
 9.971000e+01   1.000000e+00   5.512321e-01
 9.977000e+01   1.000000e+00   6.008514e-01
 9.983000e+01   0.000000e+00   0.000000e+00
 9.989000e+01   0.000000e+00   0.000000e+00
 9.995000e+01   0.000000e+00   0.000000e+00
 1.000100e+02   7.146084e-04   9.614862e-04
 1.000700e+02   0.000000e+00   0.000000e+00
 1.001300e+02   0.000000e+00   0.000000e+00
 1.001900e+02   0.000000e+00   0.000000e+00
 1.002500e+02   0.000000e+00   0.000000e+00
 1.003100e+02   0.000000e+00   0.000000e+00
 1.003700e+02   0.000000e+00   0.000000e+00
 1.004300e+02   0.000000e+00   0.000000e+00
 1.004900e+02   0.000000e+00   0.000000e+00
 1.005500e+02   0.000000e+00   0.000000e+00
 1.006100e+02   0.000000e+00   0.000000e+00
 1.006700e+02   0.000000e+00   0.000000e+00
 1.007300e+02   0.000000e+00   0.000000e+00
 1.007900e+02   0.000000e+00   0.000000e+00
 1.008500e+02   0.000000e+00   0.000000e+00
 1.009100e+02   0.000000e+00   0.000000e+00
 1.009700e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
