Emu_lab bin center    K_Emu    Error 
-inf   1.000000e+00   7.629900e-01
 9.530000e+01   1.000000e+00   5.659005e-01
 9.590000e+01   6.000000e-01   4.422171e-01
 9.650000e+01   6.000000e-01   4.866585e-01
 9.710000e+01   1.000000e+00   5.970134e-01
 9.770000e+01   1.000000e+00   4.410249e-01
 9.830000e+01   8.000000e-01   5.322054e-01
 9.890000e+01   1.000000e+00   4.930170e-01
 9.950000e+01   1.000000e+00   4.894069e-01
 1.001000e+02   2.020278e-01   1.750835e-01
 1.007000e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
