Emu_lab bin center    K_Emu    Error 
-inf   1.000000e+00   1.263054e-03
 9.503000e+01   1.000000e+00   8.639681e-03
 9.509000e+01   1.000000e+00   7.477374e-03
 9.515000e+01   1.000000e+00   7.976083e-03
 9.521000e+01   1.000000e+00   8.854835e-03
 9.527000e+01   1.000000e+00   9.574043e-03
 9.533000e+01   1.000000e+00   8.426201e-03
 9.539000e+01   1.000000e+00   9.853859e-03
 9.545000e+01   1.000000e+00   8.537659e-03
 9.551000e+01   1.000000e+00   8.872811e-03
 9.557000e+01   1.000000e+00   8.324189e-03
 9.563000e+01   1.000000e+00   8.185430e-03
 9.569000e+01   1.000000e+00   8.720213e-03
 9.575000e+01   1.000000e+00   7.430125e-03
 9.581000e+01   1.000000e+00   8.486042e-03
 9.587000e+01   1.000000e+00   7.844171e-03
 9.593000e+01   1.000000e+00   8.905710e-03
 9.599000e+01   1.000000e+00   9.214140e-03
 9.605000e+01   1.000000e+00   8.899481e-03
 9.611000e+01   1.000000e+00   9.008136e-03
 9.617000e+01   1.000000e+00   8.962037e-03
 9.623000e+01   1.000000e+00   7.635862e-03
 9.629000e+01   1.000000e+00   8.856093e-03
 9.635000e+01   1.000000e+00   7.926106e-03
 9.641000e+01   1.000000e+00   9.204438e-03
 9.647000e+01   1.000000e+00   7.414805e-03
 9.653000e+01   1.000000e+00   7.763180e-03
 9.659000e+01   1.000000e+00   7.715217e-03
 9.665000e+01   1.000000e+00   9.676323e-03
 9.671000e+01   1.000000e+00   8.340110e-03
 9.677000e+01   1.000000e+00   9.269755e-03
 9.683000e+01   1.000000e+00   8.412436e-03
 9.689000e+01   1.000000e+00   9.609916e-03
 9.695000e+01   1.000000e+00   8.618586e-03
 9.701000e+01   1.000000e+00   9.142707e-03
 9.707000e+01   1.000000e+00   9.339627e-03
 9.713000e+01   1.000000e+00   7.091714e-03
 9.719000e+01   1.000000e+00   9.588511e-03
 9.725000e+01   1.000000e+00   9.505994e-03
 9.731000e+01   1.000000e+00   8.322360e-03
 9.737000e+01   1.000000e+00   9.306838e-03
 9.743000e+01   1.000000e+00   8.937323e-03
 9.749000e+01   1.000000e+00   8.736177e-03
 9.755000e+01   1.000000e+00   9.775727e-03
 9.761000e+01   1.000000e+00   8.031784e-03
 9.767000e+01   1.000000e+00   8.511969e-03
 9.773000e+01   1.000000e+00   1.084031e-02
 9.779000e+01   1.000000e+00   8.262100e-03
 9.785000e+01   1.000000e+00   1.023073e-02
 9.791000e+01   1.000000e+00   9.686185e-03
 9.797000e+01   1.000000e+00   9.292299e-03
 9.803000e+01   1.000000e+00   8.680082e-03
 9.809000e+01   1.000000e+00   9.639502e-03
 9.815000e+01   1.000000e+00   9.591720e-03
 9.821000e+01   1.000000e+00   7.840957e-03
 9.827000e+01   1.000000e+00   8.869497e-03
 9.833000e+01   1.000000e+00   9.660318e-03
 9.839000e+01   1.000000e+00   8.573448e-03
 9.845000e+01   1.000000e+00   9.188962e-03
 9.851000e+01   1.000000e+00   9.225185e-03
 9.857000e+01   1.000000e+00   7.945706e-03
 9.863000e+01   1.000000e+00   9.266222e-03
 9.869000e+01   1.000000e+00   8.749939e-03
 9.875000e+01   1.000000e+00   8.866943e-03
 9.881000e+01   1.000000e+00   9.590783e-03
 9.887000e+01   1.000000e+00   8.706291e-03
 9.893000e+01   1.000000e+00   9.120117e-03
 9.899000e+01   1.000000e+00   8.328361e-03
 9.905000e+01   1.000000e+00   8.955582e-03
 9.911000e+01   1.000000e+00   9.494884e-03
 9.917000e+01   1.000000e+00   9.437965e-03
 9.923000e+01   1.000000e+00   9.829335e-03
 9.929000e+01   1.000000e+00   8.740515e-03
 9.935000e+01   1.000000e+00   1.036302e-02
 9.941000e+01   1.000000e+00   1.043418e-02
 9.947000e+01   1.000000e+00   7.638523e-03
 9.953000e+01   1.000000e+00   6.814602e-03
 9.959000e+01   1.000000e+00   9.153962e-03
 9.965000e+01   1.000000e+00   9.628788e-03
 9.971000e+01   1.000000e+00   9.937107e-03
 9.977000e+01   1.000000e+00   9.058532e-03
 9.983000e+01   1.000000e+00   8.846885e-03
 9.989000e+01   1.000000e+00   1.035467e-02
 9.995000e+01   8.319024e-01   9.540910e-03
 1.000100e+02   2.900542e-03   6.351437e-05
 1.000700e+02   0.000000e+00   0.000000e+00
 1.001300e+02   0.000000e+00   0.000000e+00
 1.001900e+02   0.000000e+00   0.000000e+00
 1.002500e+02   0.000000e+00   0.000000e+00
 1.003100e+02   0.000000e+00   0.000000e+00
 1.003700e+02   0.000000e+00   0.000000e+00
 1.004300e+02   0.000000e+00   0.000000e+00
 1.004900e+02   0.000000e+00   0.000000e+00
 1.005500e+02   0.000000e+00   0.000000e+00
 1.006100e+02   0.000000e+00   0.000000e+00
 1.006700e+02   0.000000e+00   0.000000e+00
 1.007300e+02   0.000000e+00   0.000000e+00
 1.007900e+02   0.000000e+00   0.000000e+00
 1.008500e+02   0.000000e+00   0.000000e+00
 1.009100e+02   0.000000e+00   0.000000e+00
 1.009700e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
