Emu bin center    K_Emu    Error 
-inf   1.000000e+00   1.859148e-02
 9.503000e+01   1.000000e+00   2.389559e-02
 9.509000e+01   1.000000e+00   2.651711e-02
 9.515000e+01   1.000000e+00   2.595410e-02
 9.521000e+01   1.000000e+00   2.480344e-02
 9.527000e+01   1.000000e+00   2.379011e-02
 9.533000e+01   1.000000e+00   2.289763e-02
 9.539000e+01   1.000000e+00   2.393762e-02
 9.545000e+01   1.000000e+00   2.510392e-02
 9.551000e+01   1.000000e+00   2.387805e-02
 9.557000e+01   1.000000e+00   2.371660e-02
 9.563000e+01   1.000000e+00   2.525072e-02
 9.569000e+01   1.000000e+00   2.384126e-02
 9.575000e+01   1.000000e+00   2.699833e-02
 9.581000e+01   1.000000e+00   2.218988e-02
 9.587000e+01   1.000000e+00   2.593416e-02
 9.593000e+01   1.000000e+00   2.709741e-02
 9.599000e+01   1.000000e+00   2.186932e-02
 9.605000e+01   1.000000e+00   1.827003e-02
 9.611000e+01   1.000000e+00   2.281328e-02
 9.617000e+01   1.000000e+00   2.530981e-02
 9.623000e+01   1.000000e+00   2.033433e-02
 9.629000e+01   1.000000e+00   2.554503e-02
 9.635000e+01   1.000000e+00   2.127578e-02
 9.641000e+01   1.000000e+00   2.183682e-02
 9.647000e+01   1.000000e+00   2.601463e-02
 9.653000e+01   1.000000e+00   2.247957e-02
 9.659000e+01   1.000000e+00   2.291499e-02
 9.665000e+01   1.000000e+00   2.336844e-02
 9.671000e+01   1.000000e+00   2.460091e-02
 9.677000e+01   1.000000e+00   2.417848e-02
 9.683000e+01   1.000000e+00   2.025089e-02
 9.689000e+01   1.000000e+00   2.157150e-02
 9.695000e+01   1.000000e+00   2.242092e-02
 9.701000e+01   1.000000e+00   2.275294e-02
 9.707000e+01   1.000000e+00   2.458374e-02
 9.713000e+01   1.000000e+00   2.078155e-02
 9.719000e+01   1.000000e+00   2.008654e-02
 9.725000e+01   1.000000e+00   2.049699e-02
 9.731000e+01   1.000000e+00   2.096022e-02
 9.737000e+01   1.000000e+00   1.875398e-02
 9.743000e+01   1.000000e+00   1.923672e-02
 9.749000e+01   1.000000e+00   1.827692e-02
 9.755000e+01   1.000000e+00   1.962939e-02
 9.761000e+01   1.000000e+00   2.006333e-02
 9.767000e+01   1.000000e+00   1.950780e-02
 9.773000e+01   1.000000e+00   1.809086e-02
 9.779000e+01   1.000000e+00   1.985907e-02
 9.785000e+01   1.000000e+00   1.728470e-02
 9.791000e+01   1.000000e+00   1.775363e-02
 9.797000e+01   1.000000e+00   1.966048e-02
 9.803000e+01   1.000000e+00   1.907406e-02
 9.809000e+01   1.000000e+00   1.720810e-02
 9.815000e+01   1.000000e+00   1.832128e-02
 9.821000e+01   1.000000e+00   1.781469e-02
 9.827000e+01   1.000000e+00   1.723962e-02
 9.833000e+01   1.000000e+00   1.845658e-02
 9.839000e+01   1.000000e+00   1.959624e-02
 9.845000e+01   1.000000e+00   2.022064e-02
 9.851000e+01   1.000000e+00   1.848708e-02
 9.857000e+01   1.000000e+00   1.969098e-02
 9.863000e+01   1.000000e+00   1.591810e-02
 9.869000e+01   1.000000e+00   1.840444e-02
 9.875000e+01   1.000000e+00   1.697805e-02
 9.881000e+01   1.000000e+00   1.871406e-02
 9.887000e+01   1.000000e+00   1.759342e-02
 9.893000e+01   1.000000e+00   1.855907e-02
 9.899000e+01   6.000000e-01   1.434606e-02
 9.905000e+01   0.000000e+00   0.000000e+00
 9.911000e+01   0.000000e+00   0.000000e+00
 9.917000e+01   0.000000e+00   0.000000e+00
 9.923000e+01   0.000000e+00   0.000000e+00
 9.929000e+01   0.000000e+00   0.000000e+00
 9.935000e+01   0.000000e+00   0.000000e+00
 9.941000e+01   0.000000e+00   0.000000e+00
 9.947000e+01   0.000000e+00   0.000000e+00
 9.953000e+01   0.000000e+00   0.000000e+00
 9.959000e+01   0.000000e+00   0.000000e+00
 9.965000e+01   0.000000e+00   0.000000e+00
 9.971000e+01   0.000000e+00   0.000000e+00
 9.977000e+01   0.000000e+00   0.000000e+00
 9.983000e+01   0.000000e+00   0.000000e+00
 9.989000e+01   0.000000e+00   0.000000e+00
 9.995000e+01   0.000000e+00   0.000000e+00
 1.000100e+02  -2.320508e-02   7.655067e-04
 1.000700e+02   0.000000e+00   0.000000e+00
 1.001300e+02   0.000000e+00   0.000000e+00
 1.001900e+02   0.000000e+00   0.000000e+00
 1.002500e+02   0.000000e+00   0.000000e+00
 1.003100e+02   0.000000e+00   0.000000e+00
 1.003700e+02   0.000000e+00   0.000000e+00
 1.004300e+02   0.000000e+00   0.000000e+00
 1.004900e+02   0.000000e+00   0.000000e+00
 1.005500e+02   0.000000e+00   0.000000e+00
 1.006100e+02   0.000000e+00   0.000000e+00
 1.006700e+02   0.000000e+00   0.000000e+00
 1.007300e+02   0.000000e+00   0.000000e+00
 1.007900e+02   0.000000e+00   0.000000e+00
 1.008500e+02   0.000000e+00   0.000000e+00
 1.009100e+02   0.000000e+00   0.000000e+00
 1.009700e+02   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
