costh3_lab bin center    K_costh3    Error 
-inf   0.000000e+00   0.000000e+00
 9.999980e-01   0.000000e+00   0.000000e+00
 9.999980e-01   0.000000e+00   0.000000e+00
 9.999981e-01   0.000000e+00   0.000000e+00
 9.999981e-01   0.000000e+00   0.000000e+00
 9.999981e-01   0.000000e+00   0.000000e+00
 9.999981e-01   0.000000e+00   0.000000e+00
 9.999982e-01   0.000000e+00   0.000000e+00
 9.999982e-01   0.000000e+00   0.000000e+00
 9.999982e-01   0.000000e+00   0.000000e+00
 9.999982e-01   0.000000e+00   0.000000e+00
 9.999983e-01   0.000000e+00   0.000000e+00
 9.999983e-01   0.000000e+00   0.000000e+00
 9.999983e-01   0.000000e+00   0.000000e+00
 9.999983e-01   0.000000e+00   0.000000e+00
 9.999984e-01   0.000000e+00   0.000000e+00
 9.999984e-01   0.000000e+00   0.000000e+00
 9.999984e-01   0.000000e+00   0.000000e+00
 9.999984e-01   0.000000e+00   0.000000e+00
 9.999985e-01   0.000000e+00   0.000000e+00
 9.999985e-01   0.000000e+00   0.000000e+00
 9.999985e-01   0.000000e+00   0.000000e+00
 9.999985e-01   0.000000e+00   0.000000e+00
 9.999986e-01   0.000000e+00   0.000000e+00
 9.999986e-01   0.000000e+00   0.000000e+00
 9.999986e-01   0.000000e+00   0.000000e+00
 9.999986e-01   9.355684e-03   2.440654e-04
 9.999987e-01   1.507941e-02   1.129968e-04
 9.999987e-01   1.507692e-02   2.616595e-05
 9.999987e-01   1.505776e-02   2.052383e-05
 9.999987e-01   1.500227e-02   2.340743e-05
 9.999988e-01   1.503352e-02   2.168284e-05
 9.999988e-01   1.499360e-02   2.354495e-05
 9.999988e-01   1.493703e-02   2.310682e-05
 9.999988e-01   1.492166e-02   2.200935e-05
 9.999989e-01   1.494305e-02   2.508440e-05
 9.999989e-01   1.488167e-02   2.513281e-05
 9.999989e-01   1.488952e-02   2.066998e-05
 9.999989e-01   1.486679e-02   2.380157e-05
 9.999990e-01   1.481552e-02   1.774722e-05
 9.999990e-01   1.478592e-02   1.850981e-05
 inf   1.473848e-02   3.495454e-06
