costh3_lab bin center    K_costh3    Error 
-inf   0.000000e+00   0.000000e+00
 9.999980e-01   1.555379e-02   2.152698e-03
 9.999980e-01   1.969714e-02   1.483005e-03
 9.999980e-01   2.102250e-02   1.819271e-03
 9.999980e-01   2.055901e-02   1.771366e-03
 9.999980e-01   2.019202e-02   1.832108e-03
 9.999981e-01   1.950836e-02   1.341036e-03
 9.999981e-01   1.743213e-02   1.624725e-03
 9.999981e-01   1.645035e-02   1.337040e-03
 9.999981e-01   1.475351e-02   1.037445e-03
 9.999981e-01   1.699289e-02   1.139484e-03
 9.999981e-01   1.724764e-02   9.054542e-04
 9.999981e-01   1.458615e-02   1.106265e-03
 9.999981e-01   1.590104e-02   9.373244e-04
 9.999981e-01   1.389013e-02   1.221387e-03
 9.999981e-01   1.390666e-02   1.044864e-03
 9.999982e-01   1.576745e-02   1.540394e-03
 9.999982e-01   1.701568e-02   8.923820e-04
 9.999982e-01   1.534496e-02   8.831136e-04
 9.999982e-01   1.496223e-02   1.082896e-03
 9.999982e-01   1.586120e-02   7.513102e-04
 9.999982e-01   1.679465e-02   1.041895e-03
 9.999982e-01   1.675095e-02   6.967023e-04
 9.999982e-01   1.448819e-02   8.605539e-04
 9.999982e-01   1.426863e-02   9.051481e-04
 9.999982e-01   1.568122e-02   8.661487e-04
 9.999983e-01   1.745112e-02   1.471150e-03
 9.999983e-01   1.514206e-02   8.982880e-04
 9.999983e-01   1.566112e-02   8.525948e-04
 9.999983e-01   1.712373e-02   8.892598e-04
 9.999983e-01   1.605794e-02   9.239750e-04
 9.999983e-01   1.624397e-02   8.575916e-04
 9.999983e-01   1.740685e-02   9.545661e-04
 9.999983e-01   1.585936e-02   7.994709e-04
 9.999983e-01   1.675698e-02   8.800170e-04
 9.999983e-01   1.471136e-02   7.759527e-04
 9.999984e-01   1.650018e-02   7.466976e-04
 9.999984e-01   1.548999e-02   7.826671e-04
 9.999984e-01   1.461324e-02   5.938887e-04
 9.999984e-01   1.529836e-02   7.470470e-04
 9.999984e-01   1.424096e-02   9.146416e-04
 9.999984e-01   1.522145e-02   8.474071e-04
 9.999984e-01   1.549948e-02   7.627531e-04
 9.999984e-01   1.501840e-02   8.585628e-04
 9.999984e-01   1.547957e-02   6.417880e-04
 9.999984e-01   1.541149e-02   8.320831e-04
 9.999985e-01   1.420022e-02   6.166574e-04
 9.999985e-01   1.566057e-02   7.391517e-04
 9.999985e-01   1.524042e-02   6.929653e-04
 9.999985e-01   1.527128e-02   6.780183e-04
 9.999985e-01   1.663464e-02   6.140784e-04
 9.999985e-01   1.573695e-02   6.973073e-04
 9.999985e-01   1.496851e-02   7.827754e-04
 9.999985e-01   1.647053e-02   6.521600e-04
 9.999985e-01   1.491125e-02   5.238590e-04
 9.999985e-01   1.549707e-02   5.575665e-04
 9.999986e-01   1.547206e-02   6.086125e-04
 9.999986e-01   1.554924e-02   5.890933e-04
 9.999986e-01   1.591231e-02   5.770981e-04
 9.999986e-01   1.542126e-02   6.466047e-04
 9.999986e-01   1.434846e-02   5.403351e-04
 9.999986e-01   1.469963e-02   6.181914e-04
 9.999986e-01   1.461197e-02   5.918296e-04
 9.999986e-01   1.556364e-02   5.307239e-04
 9.999986e-01   1.477745e-02   4.850032e-04
 9.999986e-01   1.574292e-02   4.017972e-04
 9.999987e-01   1.457367e-02   5.606165e-04
 9.999987e-01   1.575168e-02   4.542986e-04
 9.999987e-01   1.547488e-02   4.937410e-04
 9.999987e-01   1.515696e-02   4.447449e-04
 9.999987e-01   1.566684e-02   5.186389e-04
 9.999987e-01   1.499272e-02   4.528468e-04
 9.999987e-01   1.555690e-02   5.071830e-04
 9.999987e-01   1.543273e-02   4.385549e-04
 9.999987e-01   1.517865e-02   3.580665e-04
 9.999987e-01   1.577613e-02   4.112894e-04
 9.999988e-01   1.479611e-02   5.311955e-04
 9.999988e-01   1.534238e-02   4.114975e-04
 9.999988e-01   1.513110e-02   3.815083e-04
 9.999988e-01   1.521710e-02   3.458028e-04
 9.999988e-01   1.498651e-02   2.595162e-04
 9.999988e-01   1.518610e-02   4.012555e-04
 9.999988e-01   1.514184e-02   3.325221e-04
 9.999988e-01   1.503891e-02   4.857302e-04
 9.999988e-01   1.498507e-02   3.900210e-04
 9.999988e-01   1.524048e-02   3.384707e-04
 9.999989e-01   1.492048e-02   2.986663e-04
 9.999989e-01   1.555540e-02   4.149895e-04
 9.999989e-01   1.499538e-02   4.035459e-04
 9.999989e-01   1.512981e-02   2.665259e-04
 9.999989e-01   1.509628e-02   3.508618e-04
 9.999989e-01   1.482234e-02   3.200819e-04
 9.999989e-01   1.496955e-02   3.377264e-04
 9.999989e-01   1.530942e-02   3.055509e-04
 9.999989e-01   1.487849e-02   3.000434e-04
 9.999989e-01   1.527680e-02   2.799386e-04
 9.999990e-01   1.487035e-02   2.736238e-04
 9.999990e-01   1.503383e-02   3.029787e-04
 9.999990e-01   1.525069e-02   2.983908e-04
 9.999990e-01   1.481384e-02   3.578965e-04
 9.999990e-01   1.477138e-02   2.446326e-04
 inf   1.158233e-02   5.535019e-07
