phi5_lab bin center    K_phi5    Error 
-inf   0.000000e+00   0.000000e+00
-2.827433e+03   1.000000e+00   5.692638e-01
-2.199115e+03   1.000000e+00   5.685782e-01
-1.570796e+03   1.000000e+00   5.310235e-01
-9.424778e+02   1.000000e+00   5.720597e-01
-3.141593e+02   1.000000e+00   5.138509e-01
 3.141593e+02   1.000000e+00   5.239561e-01
 9.424778e+02   1.000000e+00   5.222340e-01
 1.570796e+03   1.000000e+00   5.767970e-01
 2.199115e+03   1.000000e+00   5.471050e-01
 2.827433e+03   1.000000e+00   5.602555e-01
 inf   0.000000e+00   0.000000e+00
