phi5_lab bin center    K_phi5    Error 
-inf   0.000000e+00   0.000000e+00
-2.827433e+03   1.000000e+00   1.939212e-01
-2.199115e+03   1.000000e+00   1.912061e-01
-1.570796e+03   1.000000e+00   2.897364e-01
-9.424778e+02   1.000000e+00   3.494560e-01
-3.141593e+02   7.868473e-01   1.274451e-01
 3.141593e+02   1.000000e+00   1.647557e-01
 9.424778e+02   1.000000e+00   2.638500e-01
 1.570796e+03   1.000000e+00   2.867643e-01
 2.199115e+03   1.000000e+00   1.598041e-01
 2.827433e+03   1.000000e+00   3.632158e-01
 inf   0.000000e+00   0.000000e+00
