phi5_lab bin center    K_phi5    Error 
-inf   0.000000e+00   0.000000e+00
-3.063053e+03   1.000000e+00   3.044812e-02
-2.905973e+03   1.000000e+00   3.192904e-02
-2.748894e+03   1.000000e+00   4.246440e-02
-2.591814e+03   1.000000e+00   3.996387e-02
-2.434734e+03   1.000000e+00   4.365164e-02
-2.277655e+03   1.000000e+00   5.553403e-02
-2.120575e+03   1.000000e+00   3.816929e-02
-1.963495e+03   1.000000e+00   3.464799e-02
-1.806416e+03   1.000000e+00   3.292245e-02
-1.649336e+03   1.000000e+00   2.949560e-02
-1.492257e+03   1.000000e+00   3.222074e-02
-1.335177e+03   1.000000e+00   2.910437e-02
-1.178097e+03   1.000000e+00   4.560568e-02
-1.021018e+03   1.000000e+00   3.881177e-02
-8.639380e+02   1.000000e+00   3.252314e-02
-7.068583e+02   1.000000e+00   3.460654e-02
-5.497787e+02   1.000000e+00   4.338124e-02
-3.926991e+02   1.000000e+00   4.963442e-02
-2.356194e+02   1.000000e+00   3.637627e-02
-7.853982e+01   7.943847e-01   3.641983e-02
 7.853982e+01   1.000000e+00   4.154881e-02
 2.356194e+02   1.000000e+00   2.898423e-02
 3.926991e+02   1.000000e+00   3.224924e-02
 5.497787e+02   1.000000e+00   3.637002e-02
 7.068583e+02   1.000000e+00   4.346937e-02
 8.639380e+02   1.000000e+00   3.486826e-02
 1.021018e+03   1.000000e+00   3.122819e-02
 1.178097e+03   1.000000e+00   4.189810e-02
 1.335177e+03   1.000000e+00   3.356756e-02
 1.492257e+03   1.000000e+00   6.334626e-02
 1.649336e+03   1.000000e+00   4.019441e-02
 1.806416e+03   1.000000e+00   3.256591e-02
 1.963495e+03   1.000000e+00   3.630876e-02
 2.120575e+03   1.000000e+00   3.516909e-02
 2.277655e+03   1.000000e+00   3.862474e-02
 2.434734e+03   1.000000e+00   4.541673e-02
 2.591814e+03   1.000000e+00   4.321783e-02
 2.748894e+03   1.000000e+00   4.051163e-02
 2.905973e+03   1.000000e+00   4.636231e-02
 3.063053e+03   1.000000e+00   2.863350e-02
 inf   0.000000e+00   0.000000e+00
