phi5_lab bin center    K_phi5    Error 
-inf   0.000000e+00   0.000000e+00
-3.110177e+03   1.000000e+00   3.225550e-02
-3.047345e+03   1.000000e+00   3.489915e-02
-2.984513e+03   1.000000e+00   2.845137e-02
-2.921681e+03   1.000000e+00   3.058852e-02
-2.858849e+03   1.000000e+00   3.785643e-02
-2.796017e+03   1.000000e+00   3.421705e-02
-2.733186e+03   1.000000e+00   3.198308e-02
-2.670354e+03   1.000000e+00   2.933166e-02
-2.607522e+03   1.000000e+00   3.913062e-02
-2.544690e+03   1.000000e+00   3.565487e-02
-2.481858e+03   1.000000e+00   3.395909e-02
-2.419026e+03   1.000000e+00   3.889102e-02
-2.356194e+03   1.000000e+00   3.713123e-02
-2.293363e+03   1.000000e+00   3.313319e-02
-2.230531e+03   1.000000e+00   3.307296e-02
-2.167699e+03   1.000000e+00   3.322726e-02
-2.104867e+03   1.000000e+00   3.659565e-02
-2.042035e+03   1.000000e+00   3.690055e-02
-1.979203e+03   1.000000e+00   3.638876e-02
-1.916372e+03   1.000000e+00   2.804337e-02
-1.853540e+03   1.000000e+00   5.151776e-02
-1.790708e+03   1.000000e+00   3.831650e-02
-1.727876e+03   1.000000e+00   3.552327e-02
-1.665044e+03   1.000000e+00   3.932188e-02
-1.602212e+03   1.000000e+00   3.923990e-02
-1.539380e+03   1.000000e+00   3.486682e-02
-1.476549e+03   1.000000e+00   4.609157e-02
-1.413717e+03   1.000000e+00   2.695980e-02
-1.350885e+03   1.000000e+00   3.307455e-02
-1.288053e+03   1.000000e+00   2.764664e-02
-1.225221e+03   1.000000e+00   3.715370e-02
-1.162389e+03   1.000000e+00   3.629944e-02
-1.099557e+03   1.000000e+00   3.034970e-02
-1.036726e+03   1.000000e+00   3.359331e-02
-9.738937e+02   1.000000e+00   3.083204e-02
-9.110619e+02   1.000000e+00   2.629495e-02
-8.482300e+02   1.000000e+00   3.520306e-02
-7.853982e+02   1.000000e+00   2.697858e-02
-7.225663e+02   1.000000e+00   3.520733e-02
-6.597345e+02   1.000000e+00   3.863528e-02
-5.969026e+02   1.000000e+00   3.442544e-02
-5.340708e+02   1.000000e+00   3.336996e-02
-4.712389e+02   1.000000e+00   3.925010e-02
-4.084070e+02   1.000000e+00   3.315717e-02
-3.455752e+02   1.000000e+00   2.912954e-02
-2.827433e+02   1.000000e+00   3.126499e-02
-2.199115e+02   1.000000e+00   2.929748e-02
-1.570796e+02   1.000000e+00   3.327341e-02
-9.424778e+01   1.000000e+00   3.521513e-02
-3.141593e+01   8.008821e-01   3.001588e-02
 3.141593e+01   1.000000e+00   4.236676e-02
 9.424778e+01   1.000000e+00   4.002636e-02
 1.570796e+02   1.000000e+00   3.236795e-02
 2.199115e+02   1.000000e+00   2.854801e-02
 2.827433e+02   1.000000e+00   3.108304e-02
 3.455752e+02   1.000000e+00   3.509872e-02
 4.084070e+02   1.000000e+00   3.411707e-02
 4.712389e+02   1.000000e+00   4.053050e-02
 5.340708e+02   1.000000e+00   3.515958e-02
 5.969026e+02   1.000000e+00   3.335320e-02
 6.597345e+02   1.000000e+00   5.432764e-02
 7.225663e+02   1.000000e+00   4.737575e-02
 7.853982e+02   1.000000e+00   3.954720e-02
 8.482300e+02   1.000000e+00   4.288995e-02
 9.110619e+02   1.000000e+00   3.579646e-02
 9.738937e+02   1.000000e+00   3.143075e-02
 1.036726e+03   1.000000e+00   3.296863e-02
 1.099557e+03   1.000000e+00   3.094575e-02
 1.162389e+03   1.000000e+00   4.159581e-02
 1.225221e+03   1.000000e+00   3.506212e-02
 1.288053e+03   1.000000e+00   3.537581e-02
 1.350885e+03   1.000000e+00   3.162802e-02
 1.413717e+03   1.000000e+00   4.051510e-02
 1.476549e+03   1.000000e+00   4.511917e-02
 1.539380e+03   1.000000e+00   3.110043e-02
 1.602212e+03   1.000000e+00   4.079210e-02
 1.665044e+03   1.000000e+00   4.356824e-02
 1.727876e+03   1.000000e+00   5.246491e-02
 1.790708e+03   1.000000e+00   2.996481e-02
 1.853540e+03   1.000000e+00   4.096668e-02
 1.916372e+03   1.000000e+00   2.708126e-02
 1.979203e+03   1.000000e+00   3.132691e-02
 2.042035e+03   1.000000e+00   2.924385e-02
 2.104867e+03   1.000000e+00   2.844823e-02
 2.167699e+03   1.000000e+00   3.548031e-02
 2.230531e+03   1.000000e+00   3.423134e-02
 2.293363e+03   1.000000e+00   3.335199e-02
 2.356194e+03   1.000000e+00   3.370198e-02
 2.419026e+03   1.000000e+00   2.784174e-02
 2.481858e+03   1.000000e+00   3.886284e-02
 2.544690e+03   1.000000e+00   4.527176e-02
 2.607522e+03   1.000000e+00   3.944823e-02
 2.670354e+03   1.000000e+00   3.882589e-02
 2.733186e+03   1.000000e+00   3.917665e-02
 2.796017e+03   1.000000e+00   3.588179e-02
 2.858849e+03   1.000000e+00   2.571230e-02
 2.921681e+03   1.000000e+00   3.147372e-02
 2.984513e+03   1.000000e+00   4.695114e-02
 3.047345e+03   1.000000e+00   3.358035e-02
 3.110177e+03   1.000000e+00   4.345460e-02
 inf   0.000000e+00   0.000000e+00
