th3_lab bin center    K_th3    Error 
-inf   0.000000e+00   0.000000e+00
 1.360500e+00   1.208150e-02   1.744870e-04
 1.391500e+00   1.307682e-02   1.192984e-03
 1.422500e+00   1.163761e-02   2.073890e-04
 1.453500e+00   1.179345e-02   4.617111e-04
 1.484500e+00   1.322406e-02   1.060879e-03
 1.515500e+00   1.172139e-02   8.310747e-06
 1.546500e+00   1.171844e-02   1.390033e-04
 1.577500e+00   1.164844e-02   1.392178e-05
 1.608500e+00   1.182509e-02   3.729678e-04
 1.639500e+00   1.691173e-02   1.014296e-03
 inf   0.000000e+00   0.000000e+00
