th3_lab bin center    K_th3    Error 
-inf   0.000000e+00   0.000000e+00
 1.346550e+00   0.000000e+00   0.000000e+00
 1.349650e+00   4.235712e-03   3.872698e-04
 1.352750e+00   1.164357e-02   6.186912e-04
 1.355850e+00   1.186636e-02   3.010349e-04
 1.358950e+00   1.134260e-02   3.379569e-04
 1.362050e+00   1.166292e-02   3.095020e-04
 1.365150e+00   1.147982e-02   4.118173e-04
 1.368250e+00   1.192403e-02   2.830162e-04
 1.371350e+00   1.223858e-02   2.778231e-04
 1.374450e+00   1.185103e-02   2.576621e-04
 1.377550e+00   1.184899e-02   3.185962e-04
 1.380650e+00   1.155055e-02   2.372442e-04
 1.383750e+00   1.192261e-02   2.903351e-04
 1.386850e+00   1.192905e-02   2.831858e-04
 1.389950e+00   1.188090e-02   2.687891e-04
 1.393050e+00   1.196572e-02   3.088692e-04
 1.396150e+00   1.190333e-02   3.041655e-04
 1.399250e+00   1.154001e-02   2.591298e-04
 1.402350e+00   1.215377e-02   4.281556e-04
 1.405450e+00   1.167030e-02   3.120465e-04
 1.408550e+00   1.188085e-02   3.396553e-04
 1.411650e+00   1.206989e-02   3.289243e-04
 1.414750e+00   1.174645e-02   4.225426e-04
 1.417850e+00   1.159877e-02   3.491804e-04
 1.420950e+00   1.221453e-02   4.003591e-04
 1.424050e+00   1.168124e-02   3.794211e-04
 1.427150e+00   1.185814e-02   3.019893e-04
 1.430250e+00   1.169330e-02   3.212405e-04
 1.433350e+00   1.147095e-02   3.032475e-04
 1.436450e+00   1.168730e-02   4.195742e-04
 1.439550e+00   1.220201e-02   3.645699e-04
 1.442650e+00   1.162374e-02   3.518808e-04
 1.445750e+00   1.212849e-02   3.847468e-04
 1.448850e+00   1.200099e-02   3.823678e-04
 1.451950e+00   1.166760e-02   3.478297e-04
 1.455050e+00   1.203634e-02   4.176888e-04
 1.458150e+00   1.158095e-02   4.018970e-04
 1.461250e+00   1.144988e-02   4.002637e-04
 1.464350e+00   1.194157e-02   3.746946e-04
 1.467450e+00   1.191410e-02   3.617501e-04
 1.470550e+00   1.186040e-02   4.466753e-04
 1.473650e+00   1.182215e-02   3.573691e-04
 1.476750e+00   1.160497e-02   3.727085e-04
 1.479850e+00   1.152130e-02   2.919945e-04
 1.482950e+00   1.240301e-02   4.266972e-04
 1.486050e+00   1.149384e-02   3.911234e-04
 1.489150e+00   1.182283e-02   3.931076e-04
 1.492250e+00   1.188216e-02   3.821114e-04
 1.495350e+00   1.158515e-02   3.929757e-04
 1.498450e+00   1.128944e-02   3.611517e-04
 1.501550e+00   1.214788e-02   3.810522e-04
 1.504650e+00   1.182289e-02   3.107573e-04
 1.507750e+00   1.178283e-02   3.704184e-04
 1.510850e+00   1.194921e-02   4.174079e-04
 1.513950e+00   1.143103e-02   3.703668e-04
 1.517050e+00   1.323109e-02   1.248514e-03
 1.520150e+00   1.143472e-02   3.220193e-04
 1.523250e+00   1.181611e-02   4.418326e-04
 1.526350e+00   1.185345e-02   3.435846e-04
 1.529450e+00   1.120347e-02   3.833214e-04
 1.532550e+00   1.158283e-02   3.266435e-04
 1.535650e+00   1.172687e-02   3.976782e-04
 1.538750e+00   1.331253e-02   1.194908e-03
 1.541850e+00   1.161774e-02   3.554432e-04
 1.544950e+00   1.193179e-02   4.131848e-04
 1.548050e+00   1.123839e-02   4.098093e-04
 1.551150e+00   1.198614e-02   3.399897e-04
 1.554250e+00   1.130985e-02   3.660564e-04
 1.557350e+00   1.196678e-02   3.368682e-04
 1.560450e+00   1.176930e-02   3.700852e-04
 1.563550e+00   1.156967e-02   3.468316e-04
 1.566650e+00   1.189472e-02   3.105928e-04
 1.569750e+00   1.146733e-02   4.035237e-04
 1.572850e+00   1.154686e-02   3.050976e-04
 1.575950e+00   1.183956e-02   3.408387e-04
 1.579050e+00   1.124194e-02   3.071726e-04
 1.582150e+00   1.213026e-02   2.828039e-04
 1.585250e+00   1.174774e-02   3.075347e-04
 1.588350e+00   1.527929e-02   3.508187e-03
 1.591450e+00   1.117607e-02   3.748849e-04
 1.594550e+00   1.195183e-02   3.247380e-04
 1.597650e+00   1.157878e-02   3.599848e-04
 1.600750e+00   1.296697e-02   4.502414e-04
 1.603850e+00  -3.493243e+00   6.238319e+01
 1.606950e+00   1.338348e-02   4.073302e-04
 1.610050e+00   1.261822e-02   8.590525e-04
 1.613150e+00   1.379732e-02   3.699860e-04
 1.616250e+00   1.251634e-02   1.131784e-03
 1.619350e+00   7.154924e-02   6.192896e-02
 1.622450e+00   1.157367e-02   1.695779e-03
 1.625550e+00   1.787962e-02   2.500785e-03
 1.628650e+00   1.151659e-02   2.123850e-03
 1.631750e+00   1.373111e-02   2.293160e-03
 1.634850e+00   1.740720e-02   2.888484e-03
 1.637950e+00   1.281028e-02   2.261302e-03
 1.641050e+00   9.576371e-03   1.777434e-03
 1.644150e+00   7.066996e-02   6.721989e-02
 1.647250e+00   1.383349e-02   2.264128e-03
 1.650350e+00   3.321491e-03   1.143390e-03
 1.653450e+00   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
