th3_lab bin center    K_th3    Error 
-inf   0.000000e+00   0.000000e+00
 1.346550e+00   0.000000e+00   0.000000e+00
 1.349650e+00   6.225368e-03   1.748086e-03
 1.352750e+00   1.285347e-02   1.047646e-03
 1.355850e+00   1.450799e-02   2.017104e-03
 1.358950e+00   1.372793e-02   1.921586e-03
 1.362050e+00   1.267085e-02   1.277001e-03
 1.365150e+00   1.641212e-02   2.900077e-03
 1.368250e+00   1.132321e-02   1.455073e-03
 1.371350e+00   1.248118e-02   1.478853e-03
 1.374450e+00   1.007923e-02   1.277352e-03
 1.377550e+00   1.239841e-02   2.511477e-03
 1.380650e+00   1.214952e-02   1.820113e-03
 1.383750e+00   1.827567e-02   7.421435e-03
 1.386850e+00   1.315956e-02   8.688003e-04
 1.389950e+00   1.375261e-02   1.886758e-03
 1.393050e+00   1.371613e-02   2.979055e-03
 1.396150e+00   1.102241e-02   1.522597e-03
 1.399250e+00   6.185872e-03   2.582580e-03
 1.402350e+00   2.012104e-02   3.049780e-03
 1.405450e+00   1.450728e-02   2.980014e-03
 1.408550e+00   1.032125e-02   3.871177e-03
 1.411650e+00   1.364099e-02   3.121213e-03
 1.414750e+00   1.061945e-02   4.431171e-03
 1.417850e+00   9.832356e-03   1.628095e-03
 1.420950e+00   1.206441e-02   2.367008e-03
 1.424050e+00   1.387814e-02   1.751122e-03
 1.427150e+00   1.147438e-02   1.737251e-03
 1.430250e+00   1.042894e-02   2.677948e-03
 1.433350e+00   1.399376e-02   2.216550e-03
 1.436450e+00   1.607721e-02   5.095863e-03
 1.439550e+00   9.421887e-03   2.637989e-03
 1.442650e+00   1.938983e-02   4.493147e-03
 1.445750e+00   1.215163e-02   9.714158e-04
 1.448850e+00   7.940482e-03   2.008223e-03
 1.451950e+00   1.389784e-02   9.868113e-04
 1.455050e+00   1.355801e-02   3.401644e-03
 1.458150e+00   1.298462e-02   1.899464e-03
 1.461250e+00   1.814775e-02   5.190517e-03
 1.464350e+00   1.031938e-02   3.809198e-03
 1.467450e+00   1.877681e-02   3.508370e-03
 1.470550e+00   1.252605e-02   4.241051e-03
 1.473650e+00   1.383957e-02   2.664044e-03
 1.476750e+00   1.068666e-02   1.939738e-03
 1.479850e+00   1.406214e-02   2.577419e-03
 1.482950e+00   1.509826e-02   5.221908e-03
 1.486050e+00   1.067739e-02   5.397058e-03
 1.489150e+00   2.042915e-02   1.110224e-02
 1.492250e+00   1.854981e-02   5.663786e-03
 1.495350e+00   1.224803e-02   8.922892e-04
 1.498450e+00   1.297987e-02   1.475169e-03
 1.501550e+00   9.982362e-03   2.289214e-03
 1.504650e+00   1.166408e-02   8.485376e-04
 1.507750e+00   1.098997e-02   2.786697e-03
 1.510850e+00   1.256973e-02   3.357854e-03
 1.513950e+00   4.795422e-03   6.810238e-03
 1.517050e+00   1.306464e-02   2.014438e-03
 1.520150e+00   1.243462e-02   4.402685e-03
 1.523250e+00   9.651853e-03   5.776506e-03
 1.526350e+00   1.911759e-02   4.607066e-03
 1.529450e+00   1.275562e-02   2.664461e-03
 1.532550e+00   8.142895e-03   3.110593e-03
 1.535650e+00   1.199703e-02   2.532197e-03
 1.538750e+00   1.032834e-02   3.827524e-03
 1.541850e+00   1.331417e-02   3.136670e-03
 1.544950e+00   1.029321e-02   2.606691e-03
 1.548050e+00   1.153947e-02   1.474709e-03
 1.551150e+00   1.478286e-02   2.548884e-03
 1.554250e+00   9.733590e-03   2.165207e-03
 1.557350e+00   1.501441e-02   5.421244e-03
 1.560450e+00   1.732734e-02   6.461209e-03
 1.563550e+00   1.271867e-02   3.821993e-03
 1.566650e+00   1.104548e-02   3.523377e-03
 1.569750e+00   5.455659e-03   7.073632e-03
 1.572850e+00   1.660641e-02   2.858190e-03
 1.575950e+00   1.328037e-02   4.075827e-03
 1.579050e+00   1.953590e-02   4.394654e-03
 1.582150e+00   1.109174e-02   1.357654e-03
 1.585250e+00   1.953487e-02   6.842711e-03
 1.588350e+00   1.112509e-02   5.400666e-03
 1.591450e+00   1.210393e-02   2.415801e-03
 1.594550e+00   1.077233e-02   2.524404e-03
 1.597650e+00   3.494621e-03   8.655219e-03
 1.600750e+00  -1.986571e-03   1.370722e-02
 1.603850e+00   9.517909e-03   7.181593e-03
 1.606950e+00   1.749086e-02   1.927996e-03
 1.610050e+00   2.568830e-02   1.006543e-02
 1.613150e+00   5.771989e-03   1.882075e-02
 1.616250e+00   1.726255e-02   1.026613e-02
 1.619350e+00   2.421637e-02   1.360944e-02
 1.622450e+00   2.364255e-02   1.049901e-02
 1.625550e+00   1.264770e-02   4.458060e-03
 1.628650e+00   1.137431e-02   3.335812e-03
 1.631750e+00   5.046650e-02   2.968364e-02
 1.634850e+00  -1.659409e-02   3.382898e-02
 1.637950e+00   9.557644e-03   2.688411e-03
 1.641050e+00   1.493804e-02   3.715651e-03
 1.644150e+00   5.478489e-03   8.002444e-03
 1.647250e+00   2.023016e-02   7.252657e-03
 1.650350e+00   4.181154e-03   2.098496e-03
 1.653450e+00   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
