th3_cms bin center    K_th3    Error 
-inf   0.000000e+00   0.000000e+00
 1.360500e+00   0.000000e+00   0.000000e+00
 1.391500e+00   0.000000e+00   0.000000e+00
 1.422500e+00   0.000000e+00   0.000000e+00
 1.453500e+00   0.000000e+00   0.000000e+00
 1.484500e+00   0.000000e+00   0.000000e+00
 1.515500e+00   0.000000e+00   0.000000e+00
 1.546500e+00   0.000000e+00   0.000000e+00
 1.577500e+00   0.000000e+00   0.000000e+00
 1.608500e+00   0.000000e+00   0.000000e+00
 1.639500e+00   0.000000e+00   0.000000e+00
 inf   1.631944e-02   4.727865e-03
