th5_lab bin center    K_th5    Error 
-inf   0.000000e+00   0.000000e+00
 1.250000e-01   6.000000e-01   4.010933e-01
 1.375000e+00   1.000000e+00   5.320373e-01
 2.625000e+00   1.000000e+00   5.588191e-01
 3.875000e+00   1.000000e+00   5.548135e-01
 5.125000e+00   4.000000e-01   4.000000e-01
 6.375000e+00   4.000000e-01   4.000000e-01
 7.625000e+00   4.000000e-01   3.717847e-01
 8.875000e+00   1.000000e+00   5.084264e-01
 1.012500e+01   8.000000e-01   5.656850e-01
 1.137500e+01   1.000000e+00   6.003073e-01
 inf   1.000000e+00   1.407229e+00
