th5_lab bin center    K_th5    Error 
-inf   0.000000e+00   0.000000e+00
-1.188000e+01   0.000000e+00   0.000000e+00
-1.164000e+01   0.000000e+00   0.000000e+00
-1.140000e+01   0.000000e+00   0.000000e+00
-1.116000e+01   0.000000e+00   0.000000e+00
-1.092000e+01   0.000000e+00   0.000000e+00
-1.068000e+01   0.000000e+00   0.000000e+00
-1.044000e+01   0.000000e+00   0.000000e+00
-1.020000e+01   0.000000e+00   0.000000e+00
-9.960000e+00   0.000000e+00   0.000000e+00
-9.720000e+00   0.000000e+00   0.000000e+00
-9.480000e+00   0.000000e+00   0.000000e+00
-9.240000e+00   0.000000e+00   0.000000e+00
-9.000000e+00   0.000000e+00   0.000000e+00
-8.760000e+00   0.000000e+00   0.000000e+00
-8.520000e+00   0.000000e+00   0.000000e+00
-8.280000e+00   0.000000e+00   0.000000e+00
-8.040000e+00   0.000000e+00   0.000000e+00
-7.800000e+00   0.000000e+00   0.000000e+00
-7.560000e+00   0.000000e+00   0.000000e+00
-7.320000e+00   0.000000e+00   0.000000e+00
-7.080000e+00   0.000000e+00   0.000000e+00
-6.840000e+00   0.000000e+00   0.000000e+00
-6.600000e+00   0.000000e+00   0.000000e+00
-6.360000e+00   0.000000e+00   0.000000e+00
-6.120000e+00   0.000000e+00   0.000000e+00
-5.880000e+00   0.000000e+00   0.000000e+00
-5.640000e+00   0.000000e+00   0.000000e+00
-5.400000e+00   0.000000e+00   0.000000e+00
-5.160000e+00   0.000000e+00   0.000000e+00
-4.920000e+00   0.000000e+00   0.000000e+00
-4.680000e+00   0.000000e+00   0.000000e+00
-4.440000e+00   0.000000e+00   0.000000e+00
-4.200000e+00   0.000000e+00   0.000000e+00
-3.960000e+00   0.000000e+00   0.000000e+00
-3.720000e+00   0.000000e+00   0.000000e+00
-3.480000e+00   0.000000e+00   0.000000e+00
-3.240000e+00   0.000000e+00   0.000000e+00
-3.000000e+00   0.000000e+00   0.000000e+00
-2.760000e+00   0.000000e+00   0.000000e+00
-2.520000e+00   0.000000e+00   0.000000e+00
-2.280000e+00   0.000000e+00   0.000000e+00
-2.040000e+00   0.000000e+00   0.000000e+00
-1.800000e+00   0.000000e+00   0.000000e+00
-1.560000e+00   0.000000e+00   0.000000e+00
-1.320000e+00   0.000000e+00   0.000000e+00
-1.080000e+00   0.000000e+00   0.000000e+00
-8.400000e-01   0.000000e+00   0.000000e+00
-6.000000e-01   0.000000e+00   0.000000e+00
-3.600000e-01   0.000000e+00   0.000000e+00
-1.200000e-01  -2.341090e-02   1.584971e-03
 1.200000e-01   1.000000e+00   3.462465e-02
 3.600000e-01   1.000000e+00   1.739221e-02
 6.000000e-01   1.000000e+00   1.044332e-02
 8.400000e-01   1.000000e+00   9.444059e-03
 1.080000e+00   1.000000e+00   8.190228e-03
 1.320000e+00   1.000000e+00   9.116555e-03
 1.560000e+00   1.000000e+00   1.178567e-02
 1.800000e+00   1.000000e+00   1.104208e-02
 2.040000e+00   1.000000e+00   1.210007e-02
 2.280000e+00   1.000000e+00   2.223185e-02
 2.520000e+00   1.000000e+00   1.936797e-02
 2.760000e+00   1.000000e+00   2.115364e-02
 3.000000e+00   1.000000e+00   3.421673e-02
 3.240000e+00   1.000000e+00   3.913557e-02
 3.480000e+00   1.000000e+00   4.777681e-02
 3.720000e+00   1.000000e+00   5.907467e-02
 3.960000e+00   1.000000e+00   6.479015e-02
 4.200000e+00   1.000000e+00   4.890150e-02
 4.440000e+00   1.000000e+00   4.205879e-02
 4.680000e+00   1.000000e+00   7.564937e-02
 4.920000e+00   1.000000e+00   1.133276e-01
 5.160000e+00   1.000000e+00   9.716665e-02
 5.400000e+00   1.000000e+00   1.135410e-01
 5.640000e+00   1.000000e+00   1.137461e-01
 5.880000e+00   1.000000e+00   1.131182e-01
 6.120000e+00   1.000000e+00   1.284311e-01
 6.360000e+00   1.000000e+00   1.842202e-01
 6.600000e+00   1.000000e+00   1.186921e-01
 6.840000e+00   1.000000e+00   1.306567e-01
 7.080000e+00   1.000000e+00   1.960125e-01
 7.320000e+00   1.000000e+00   1.106449e-01
 7.560000e+00   1.000000e+00   1.790718e-01
 7.800000e+00   1.000000e+00   1.501206e-01
 8.040000e+00   1.000000e+00   1.733020e-01
 8.280000e+00   1.000000e+00   1.566212e-01
 8.520000e+00   1.000000e+00   2.313477e-01
 8.760000e+00   1.000000e+00   2.106817e-01
 9.000000e+00   1.000000e+00   1.455447e-01
 9.240000e+00   1.000000e+00   1.937092e-01
 9.480000e+00   1.000000e+00   2.067993e-01
 9.720000e+00   1.000000e+00   1.819180e-01
 9.960000e+00   1.000000e+00   2.124916e-01
 1.020000e+01   1.000000e+00   2.335628e-01
 1.044000e+01   1.000000e+00   2.123874e-01
 1.068000e+01   1.000000e+00   2.103980e-01
 1.092000e+01   1.000000e+00   1.948274e-01
 1.116000e+01   1.000000e+00   2.030924e-01
 1.140000e+01   1.000000e+00   2.035608e-01
 1.164000e+01   1.000000e+00   1.935035e-01
 1.188000e+01   1.000000e+00   2.722630e-01
 inf   0.000000e+00   0.000000e+00
