th5_cms bin center    K_th5    Error 
-inf   0.000000e+00   0.000000e+00
-1.188000e+01   0.000000e+00   0.000000e+00
-1.164000e+01   0.000000e+00   0.000000e+00
-1.140000e+01   0.000000e+00   0.000000e+00
-1.116000e+01   0.000000e+00   0.000000e+00
-1.092000e+01   0.000000e+00   0.000000e+00
-1.068000e+01   0.000000e+00   0.000000e+00
-1.044000e+01   0.000000e+00   0.000000e+00
-1.020000e+01   0.000000e+00   0.000000e+00
-9.960000e+00   0.000000e+00   0.000000e+00
-9.720000e+00   0.000000e+00   0.000000e+00
-9.480000e+00   0.000000e+00   0.000000e+00
-9.240000e+00   0.000000e+00   0.000000e+00
-9.000000e+00   0.000000e+00   0.000000e+00
-8.760000e+00   0.000000e+00   0.000000e+00
-8.520000e+00   0.000000e+00   0.000000e+00
-8.280000e+00   0.000000e+00   0.000000e+00
-8.040000e+00   0.000000e+00   0.000000e+00
-7.800000e+00   0.000000e+00   0.000000e+00
-7.560000e+00   0.000000e+00   0.000000e+00
-7.320000e+00   0.000000e+00   0.000000e+00
-7.080000e+00   0.000000e+00   0.000000e+00
-6.840000e+00   0.000000e+00   0.000000e+00
-6.600000e+00   0.000000e+00   0.000000e+00
-6.360000e+00   0.000000e+00   0.000000e+00
-6.120000e+00   0.000000e+00   0.000000e+00
-5.880000e+00   0.000000e+00   0.000000e+00
-5.640000e+00   0.000000e+00   0.000000e+00
-5.400000e+00   0.000000e+00   0.000000e+00
-5.160000e+00   0.000000e+00   0.000000e+00
-4.920000e+00   0.000000e+00   0.000000e+00
-4.680000e+00   0.000000e+00   0.000000e+00
-4.440000e+00   0.000000e+00   0.000000e+00
-4.200000e+00   0.000000e+00   0.000000e+00
-3.960000e+00   0.000000e+00   0.000000e+00
-3.720000e+00   0.000000e+00   0.000000e+00
-3.480000e+00   0.000000e+00   0.000000e+00
-3.240000e+00   0.000000e+00   0.000000e+00
-3.000000e+00   0.000000e+00   0.000000e+00
-2.760000e+00   0.000000e+00   0.000000e+00
-2.520000e+00   0.000000e+00   0.000000e+00
-2.280000e+00   0.000000e+00   0.000000e+00
-2.040000e+00   0.000000e+00   0.000000e+00
-1.800000e+00   0.000000e+00   0.000000e+00
-1.560000e+00   0.000000e+00   0.000000e+00
-1.320000e+00   0.000000e+00   0.000000e+00
-1.080000e+00   0.000000e+00   0.000000e+00
-8.400000e-01   0.000000e+00   0.000000e+00
-6.000000e-01   0.000000e+00   0.000000e+00
-3.600000e-01   0.000000e+00   0.000000e+00
-1.200000e-01   2.207429e-03   1.960147e-03
 1.200000e-01   8.000000e-01   5.360907e-01
 3.600000e-01   1.000000e+00   5.238393e-01
 6.000000e-01   1.000000e+00   4.671300e-01
 8.400000e-01   1.000000e+00   4.705342e-01
 1.080000e+00   1.000000e+00   5.032363e-01
 1.320000e+00   1.000000e+00   4.632936e-01
 1.560000e+00   1.000000e+00   4.983991e-01
 1.800000e+00   1.000000e+00   4.680905e-01
 2.040000e+00   1.000000e+00   4.836061e-01
 2.280000e+00   1.000000e+00   5.156877e-01
 2.520000e+00   1.000000e+00   4.851179e-01
 2.760000e+00   1.000000e+00   4.638195e-01
 3.000000e+00   1.000000e+00   4.453800e-01
 3.240000e+00   1.000000e+00   4.335109e-01
 3.480000e+00   1.000000e+00   4.859757e-01
 3.720000e+00   1.000000e+00   4.944447e-01
 3.960000e+00   1.000000e+00   5.362188e-01
 4.200000e+00   1.000000e+00   5.363812e-01
 4.440000e+00   1.000000e+00   4.740806e-01
 4.680000e+00   1.000000e+00   4.809870e-01
 4.920000e+00   1.000000e+00   4.676486e-01
 5.160000e+00   1.000000e+00   5.190137e-01
 5.400000e+00   1.000000e+00   5.407013e-01
 5.640000e+00   1.000000e+00   4.888917e-01
 5.880000e+00   1.000000e+00   4.879802e-01
 6.120000e+00   1.000000e+00   4.520583e-01
 6.360000e+00   1.000000e+00   4.879808e-01
 6.600000e+00   1.000000e+00   4.825654e-01
 6.840000e+00   1.000000e+00   4.706688e-01
 7.080000e+00   1.000000e+00   4.576295e-01
 7.320000e+00   1.000000e+00   4.687957e-01
 7.560000e+00   1.000000e+00   4.659732e-01
 7.800000e+00   1.000000e+00   4.757307e-01
 8.040000e+00   1.000000e+00   5.014658e-01
 8.280000e+00   1.000000e+00   4.758025e-01
 8.520000e+00   1.000000e+00   4.824754e-01
 8.760000e+00   1.000000e+00   4.798803e-01
 9.000000e+00   1.000000e+00   5.109960e-01
 9.240000e+00   1.000000e+00   4.722266e-01
 9.480000e+00   1.000000e+00   4.704653e-01
 9.720000e+00   1.000000e+00   4.966320e-01
 9.960000e+00   1.000000e+00   4.686634e-01
 1.020000e+01   1.000000e+00   5.109428e-01
 1.044000e+01   1.000000e+00   4.933579e-01
 1.068000e+01   1.000000e+00   4.863357e-01
 1.092000e+01   1.000000e+00   4.451204e-01
 1.116000e+01   1.000000e+00   5.516063e-01
 1.140000e+01   1.000000e+00   4.704958e-01
 1.164000e+01   1.000000e+00   4.950458e-01
 1.188000e+01   1.000000e+00   5.643058e-01
 inf   1.000000e+00   1.038980e+00
