th5_cms bin center    K_th5    Error 
-inf   0.000000e+00   0.000000e+00
-1.188000e+01   0.000000e+00   0.000000e+00
-1.164000e+01   0.000000e+00   0.000000e+00
-1.140000e+01   0.000000e+00   0.000000e+00
-1.116000e+01   0.000000e+00   0.000000e+00
-1.092000e+01   0.000000e+00   0.000000e+00
-1.068000e+01   0.000000e+00   0.000000e+00
-1.044000e+01   0.000000e+00   0.000000e+00
-1.020000e+01   0.000000e+00   0.000000e+00
-9.960000e+00   0.000000e+00   0.000000e+00
-9.720000e+00   0.000000e+00   0.000000e+00
-9.480000e+00   0.000000e+00   0.000000e+00
-9.240000e+00   0.000000e+00   0.000000e+00
-9.000000e+00   0.000000e+00   0.000000e+00
-8.760000e+00   0.000000e+00   0.000000e+00
-8.520000e+00   0.000000e+00   0.000000e+00
-8.280000e+00   0.000000e+00   0.000000e+00
-8.040000e+00   0.000000e+00   0.000000e+00
-7.800000e+00   0.000000e+00   0.000000e+00
-7.560000e+00   0.000000e+00   0.000000e+00
-7.320000e+00   0.000000e+00   0.000000e+00
-7.080000e+00   0.000000e+00   0.000000e+00
-6.840000e+00   0.000000e+00   0.000000e+00
-6.600000e+00   0.000000e+00   0.000000e+00
-6.360000e+00   0.000000e+00   0.000000e+00
-6.120000e+00   0.000000e+00   0.000000e+00
-5.880000e+00   0.000000e+00   0.000000e+00
-5.640000e+00   0.000000e+00   0.000000e+00
-5.400000e+00   0.000000e+00   0.000000e+00
-5.160000e+00   0.000000e+00   0.000000e+00
-4.920000e+00   0.000000e+00   0.000000e+00
-4.680000e+00   0.000000e+00   0.000000e+00
-4.440000e+00   0.000000e+00   0.000000e+00
-4.200000e+00   0.000000e+00   0.000000e+00
-3.960000e+00   0.000000e+00   0.000000e+00
-3.720000e+00   0.000000e+00   0.000000e+00
-3.480000e+00   0.000000e+00   0.000000e+00
-3.240000e+00   0.000000e+00   0.000000e+00
-3.000000e+00   0.000000e+00   0.000000e+00
-2.760000e+00   0.000000e+00   0.000000e+00
-2.520000e+00   0.000000e+00   0.000000e+00
-2.280000e+00   0.000000e+00   0.000000e+00
-2.040000e+00   0.000000e+00   0.000000e+00
-1.800000e+00   0.000000e+00   0.000000e+00
-1.560000e+00   0.000000e+00   0.000000e+00
-1.320000e+00   0.000000e+00   0.000000e+00
-1.080000e+00   0.000000e+00   0.000000e+00
-8.400000e-01   0.000000e+00   0.000000e+00
-6.000000e-01   0.000000e+00   0.000000e+00
-3.600000e-01   0.000000e+00   0.000000e+00
-1.200000e-01   7.146084e-04   9.614862e-04
 1.200000e-01   0.000000e+00   0.000000e+00
 3.600000e-01   2.000000e-01   2.167065e-01
 6.000000e-01   2.000000e-01   2.492765e-01
 8.400000e-01   4.000000e-01   3.512487e-01
 1.080000e+00   8.000000e-01   4.837617e-01
 1.320000e+00   4.000000e-01   2.868282e-01
 1.560000e+00   6.000000e-01   4.672947e-01
 1.800000e+00   6.000000e-01   4.059805e-01
 2.040000e+00   8.000000e-01   4.463577e-01
 2.280000e+00   6.000000e-01   4.174259e-01
 2.520000e+00   8.000000e-01   4.628352e-01
 2.760000e+00   1.000000e+00   5.568618e-01
 3.000000e+00   1.000000e+00   5.365117e-01
 3.240000e+00   1.000000e+00   4.876758e-01
 3.480000e+00   1.000000e+00   5.651771e-01
 3.720000e+00   1.000000e+00   5.135413e-01
 3.960000e+00   8.000000e-01   5.099254e-01
 4.200000e+00   1.000000e+00   5.282836e-01
 4.440000e+00   1.000000e+00   5.633333e-01
 4.680000e+00   1.000000e+00   5.388953e-01
 4.920000e+00   1.000000e+00   4.926416e-01
 5.160000e+00   1.000000e+00   5.590441e-01
 5.400000e+00   1.000000e+00   5.264716e-01
 5.640000e+00   1.000000e+00   5.368196e-01
 5.880000e+00   8.000000e-01   5.212335e-01
 6.120000e+00   1.000000e+00   5.043195e-01
 6.360000e+00   1.000000e+00   5.425954e-01
 6.600000e+00   1.000000e+00   4.733961e-01
 6.840000e+00   1.000000e+00   5.415322e-01
 7.080000e+00   1.000000e+00   5.247216e-01
 7.320000e+00   8.000000e-01   5.316096e-01
 7.560000e+00   1.000000e+00   5.236869e-01
 7.800000e+00   1.000000e+00   5.029638e-01
 8.040000e+00   1.000000e+00   5.704259e-01
 8.280000e+00   1.000000e+00   5.150121e-01
 8.520000e+00   1.000000e+00   5.163905e-01
 8.760000e+00   1.000000e+00   5.262689e-01
 9.000000e+00   1.000000e+00   5.212930e-01
 9.240000e+00   1.000000e+00   5.288273e-01
 9.480000e+00   1.000000e+00   5.393850e-01
 9.720000e+00   1.000000e+00   5.286340e-01
 9.960000e+00   1.000000e+00   4.995835e-01
 1.020000e+01   1.000000e+00   5.795080e-01
 1.044000e+01   1.000000e+00   5.198815e-01
 1.068000e+01   1.000000e+00   5.945194e-01
 1.092000e+01   6.000000e-01   4.287503e-01
 1.116000e+01   6.000000e-01   4.256606e-01
 1.140000e+01   8.000000e-01   4.916016e-01
 1.164000e+01   1.000000e+00   5.544888e-01
 1.188000e+01   1.000000e+00   5.525665e-01
 inf   1.000000e+00   1.052826e+00
