th5_cms bin center    K_th5    Error 
-inf   0.000000e+00   0.000000e+00
-1.188000e+01   0.000000e+00   0.000000e+00
-1.164000e+01   0.000000e+00   0.000000e+00
-1.140000e+01   0.000000e+00   0.000000e+00
-1.116000e+01   0.000000e+00   0.000000e+00
-1.092000e+01   0.000000e+00   0.000000e+00
-1.068000e+01   0.000000e+00   0.000000e+00
-1.044000e+01   0.000000e+00   0.000000e+00
-1.020000e+01   0.000000e+00   0.000000e+00
-9.960000e+00   0.000000e+00   0.000000e+00
-9.720000e+00   0.000000e+00   0.000000e+00
-9.480000e+00   0.000000e+00   0.000000e+00
-9.240000e+00   0.000000e+00   0.000000e+00
-9.000000e+00   0.000000e+00   0.000000e+00
-8.760000e+00   0.000000e+00   0.000000e+00
-8.520000e+00   0.000000e+00   0.000000e+00
-8.280000e+00   0.000000e+00   0.000000e+00
-8.040000e+00   0.000000e+00   0.000000e+00
-7.800000e+00   0.000000e+00   0.000000e+00
-7.560000e+00   0.000000e+00   0.000000e+00
-7.320000e+00   0.000000e+00   0.000000e+00
-7.080000e+00   0.000000e+00   0.000000e+00
-6.840000e+00   0.000000e+00   0.000000e+00
-6.600000e+00   0.000000e+00   0.000000e+00
-6.360000e+00   0.000000e+00   0.000000e+00
-6.120000e+00   0.000000e+00   0.000000e+00
-5.880000e+00   0.000000e+00   0.000000e+00
-5.640000e+00   0.000000e+00   0.000000e+00
-5.400000e+00   0.000000e+00   0.000000e+00
-5.160000e+00   0.000000e+00   0.000000e+00
-4.920000e+00   0.000000e+00   0.000000e+00
-4.680000e+00   0.000000e+00   0.000000e+00
-4.440000e+00   0.000000e+00   0.000000e+00
-4.200000e+00   0.000000e+00   0.000000e+00
-3.960000e+00   0.000000e+00   0.000000e+00
-3.720000e+00   0.000000e+00   0.000000e+00
-3.480000e+00   0.000000e+00   0.000000e+00
-3.240000e+00   0.000000e+00   0.000000e+00
-3.000000e+00   0.000000e+00   0.000000e+00
-2.760000e+00   0.000000e+00   0.000000e+00
-2.520000e+00   0.000000e+00   0.000000e+00
-2.280000e+00   0.000000e+00   0.000000e+00
-2.040000e+00   0.000000e+00   0.000000e+00
-1.800000e+00   0.000000e+00   0.000000e+00
-1.560000e+00   0.000000e+00   0.000000e+00
-1.320000e+00   0.000000e+00   0.000000e+00
-1.080000e+00   0.000000e+00   0.000000e+00
-8.400000e-01   0.000000e+00   0.000000e+00
-6.000000e-01   0.000000e+00   0.000000e+00
-3.600000e-01   0.000000e+00   0.000000e+00
-1.200000e-01   0.000000e+00   0.000000e+00
 1.200000e-01   0.000000e+00   0.000000e+00
 3.600000e-01   4.000000e-01   4.000000e-01
 6.000000e-01   4.000000e-01   4.000000e-01
 8.400000e-01   6.000000e-01   4.898979e-01
 1.080000e+00   2.000000e-01   2.828427e-01
 1.320000e+00   4.000000e-01   3.611919e-01
 1.560000e+00   6.000000e-01   4.441970e-01
 1.800000e+00   6.000000e-01   4.441765e-01
 2.040000e+00   6.000000e-01   4.897861e-01
 2.280000e+00   1.000000e+00   6.218464e-01
 2.520000e+00   8.000000e-01   5.656854e-01
 2.760000e+00   8.000000e-01   5.351771e-01
 3.000000e+00   1.000000e+00   6.259978e-01
 3.240000e+00   1.000000e+00   5.845921e-01
 3.480000e+00   1.000000e+00   6.275500e-01
 3.720000e+00   1.000000e+00   6.158029e-01
 3.960000e+00   8.000000e-01   5.306547e-01
 4.200000e+00   1.000000e+00   5.963475e-01
 4.440000e+00   6.000000e-01   4.896380e-01
 4.680000e+00   8.000000e-01   5.656854e-01
 4.920000e+00   8.000000e-01   5.219303e-01
 5.160000e+00   1.000000e+00   4.985298e-01
 5.400000e+00   8.000000e-01   5.111621e-01
 5.640000e+00   8.000000e-01   5.562557e-01
 5.880000e+00   1.000000e+00   5.403549e-01
 6.120000e+00   1.000000e+00   5.545162e-01
 6.360000e+00   1.000000e+00   5.587204e-01
 6.600000e+00   1.000000e+00   5.774891e-01
 6.840000e+00   1.000000e+00   6.149142e-01
 7.080000e+00   8.000000e-01   5.510326e-01
 7.320000e+00   1.000000e+00   6.023008e-01
 7.560000e+00   8.000000e-01   5.009024e-01
 7.800000e+00   1.000000e+00   6.188073e-01
 8.040000e+00   8.000000e-01   5.482215e-01
 8.280000e+00   1.000000e+00   6.324555e-01
 8.520000e+00   8.000000e-01   5.656854e-01
 8.760000e+00   1.000000e+00   5.869577e-01
 9.000000e+00   1.000000e+00   6.214543e-01
 9.240000e+00   1.000000e+00   5.947177e-01
 9.480000e+00   1.000000e+00   6.320780e-01
 9.720000e+00   1.000000e+00   5.959995e-01
 9.960000e+00   8.000000e-01   5.626188e-01
 1.020000e+01   1.000000e+00   6.231144e-01
 1.044000e+01   1.000000e+00   6.082131e-01
 1.068000e+01   4.000000e-01   4.000000e-01
 1.092000e+01   6.000000e-01   4.898979e-01
 1.116000e+01   1.000000e+00   6.324555e-01
 1.140000e+01   2.000000e-01   2.456645e-01
 1.164000e+01   6.000000e-01   4.670529e-01
 1.188000e+01   1.000000e+00   6.207947e-01
 inf   1.000000e+00   5.356344e-01
