th5 bin center    K_th5    Error 
-inf   0.000000e+00   0.000000e+00
-1.188000e+01   0.000000e+00   0.000000e+00
-1.164000e+01   0.000000e+00   0.000000e+00
-1.140000e+01   0.000000e+00   0.000000e+00
-1.116000e+01   0.000000e+00   0.000000e+00
-1.092000e+01   0.000000e+00   0.000000e+00
-1.068000e+01   0.000000e+00   0.000000e+00
-1.044000e+01   0.000000e+00   0.000000e+00
-1.020000e+01   0.000000e+00   0.000000e+00
-9.960000e+00   0.000000e+00   0.000000e+00
-9.720000e+00   0.000000e+00   0.000000e+00
-9.480000e+00   0.000000e+00   0.000000e+00
-9.240000e+00   0.000000e+00   0.000000e+00
-9.000000e+00   0.000000e+00   0.000000e+00
-8.760000e+00   0.000000e+00   0.000000e+00
-8.520000e+00   0.000000e+00   0.000000e+00
-8.280000e+00   0.000000e+00   0.000000e+00
-8.040000e+00   0.000000e+00   0.000000e+00
-7.800000e+00   0.000000e+00   0.000000e+00
-7.560000e+00   0.000000e+00   0.000000e+00
-7.320000e+00   0.000000e+00   0.000000e+00
-7.080000e+00   0.000000e+00   0.000000e+00
-6.840000e+00   0.000000e+00   0.000000e+00
-6.600000e+00   0.000000e+00   0.000000e+00
-6.360000e+00   0.000000e+00   0.000000e+00
-6.120000e+00   0.000000e+00   0.000000e+00
-5.880000e+00   0.000000e+00   0.000000e+00
-5.640000e+00   0.000000e+00   0.000000e+00
-5.400000e+00   0.000000e+00   0.000000e+00
-5.160000e+00   0.000000e+00   0.000000e+00
-4.920000e+00   0.000000e+00   0.000000e+00
-4.680000e+00   0.000000e+00   0.000000e+00
-4.440000e+00   0.000000e+00   0.000000e+00
-4.200000e+00   0.000000e+00   0.000000e+00
-3.960000e+00   0.000000e+00   0.000000e+00
-3.720000e+00   0.000000e+00   0.000000e+00
-3.480000e+00   0.000000e+00   0.000000e+00
-3.240000e+00   0.000000e+00   0.000000e+00
-3.000000e+00   0.000000e+00   0.000000e+00
-2.760000e+00   0.000000e+00   0.000000e+00
-2.520000e+00   0.000000e+00   0.000000e+00
-2.280000e+00   0.000000e+00   0.000000e+00
-2.040000e+00   0.000000e+00   0.000000e+00
-1.800000e+00   0.000000e+00   0.000000e+00
-1.560000e+00   0.000000e+00   0.000000e+00
-1.320000e+00   0.000000e+00   0.000000e+00
-1.080000e+00   0.000000e+00   0.000000e+00
-8.400000e-01   0.000000e+00   0.000000e+00
-6.000000e-01   0.000000e+00   0.000000e+00
-3.600000e-01   0.000000e+00   0.000000e+00
-1.200000e-01  -2.320508e-02   7.655067e-04
 1.200000e-01   1.000000e+00   2.740982e-02
 3.600000e-01   1.000000e+00   1.425490e-02
 6.000000e-01   1.000000e+00   9.726116e-03
 8.400000e-01   1.000000e+00   6.880530e-03
 1.080000e+00   1.000000e+00   5.578280e-03
 1.320000e+00   1.000000e+00   6.436073e-03
 1.560000e+00   1.000000e+00   6.709731e-03
 1.800000e+00   1.000000e+00   9.142920e-03
 2.040000e+00   1.000000e+00   1.021540e-02
 2.280000e+00   1.000000e+00   1.203655e-02
 2.520000e+00   1.000000e+00   1.562501e-02
 2.760000e+00   1.000000e+00   1.561960e-02
 3.000000e+00   1.000000e+00   2.375063e-02
 3.240000e+00   1.000000e+00   2.694070e-02
 3.480000e+00   1.000000e+00   2.765435e-02
 3.720000e+00   1.000000e+00   3.541172e-02
 3.960000e+00   1.000000e+00   4.276972e-02
 4.200000e+00   1.000000e+00   3.727458e-02
 4.440000e+00   1.000000e+00   4.822799e-02
 4.680000e+00   1.000000e+00   4.284854e-02
 4.920000e+00   1.000000e+00   4.702972e-02
 5.160000e+00   1.000000e+00   5.316755e-02
 5.400000e+00   1.000000e+00   5.332015e-02
 5.640000e+00   1.000000e+00   5.965428e-02
 5.880000e+00   1.000000e+00   6.781434e-02
 6.120000e+00   1.000000e+00   7.187616e-02
 6.360000e+00   1.000000e+00   7.924587e-02
 6.600000e+00   1.000000e+00   7.082111e-02
 6.840000e+00   1.000000e+00   6.705592e-02
 7.080000e+00   1.000000e+00   7.041076e-02
 7.320000e+00   1.000000e+00   9.276163e-02
 7.560000e+00   1.000000e+00   7.706521e-02
 7.800000e+00   1.000000e+00   9.479022e-02
 8.040000e+00   1.000000e+00   1.023011e-01
 8.280000e+00   1.000000e+00   8.997691e-02
 8.520000e+00   1.000000e+00   9.792232e-02
 8.760000e+00   1.000000e+00   9.450733e-02
 9.000000e+00   1.000000e+00   1.160686e-01
 9.240000e+00   1.000000e+00   1.272215e-01
 9.480000e+00   1.000000e+00   1.165005e-01
 9.720000e+00   1.000000e+00   1.127765e-01
 9.960000e+00   1.000000e+00   1.160676e-01
 1.020000e+01   1.000000e+00   1.263159e-01
 1.044000e+01   1.000000e+00   1.332531e-01
 1.068000e+01   1.000000e+00   1.157186e-01
 1.092000e+01   1.000000e+00   1.459704e-01
 1.116000e+01   1.000000e+00   1.162375e-01
 1.140000e+01   1.000000e+00   1.460241e-01
 1.164000e+01   1.000000e+00   1.204930e-01
 1.188000e+01   1.000000e+00   1.279186e-01
 inf   0.000000e+00   0.000000e+00
