x5_lab bin center    K_x5    Error 
-inf   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.900000e-01   0.000000e+00   0.000000e+00
-1.860000e-01   0.000000e+00   0.000000e+00
-1.820000e-01   0.000000e+00   0.000000e+00
-1.780000e-01   0.000000e+00   0.000000e+00
-1.740000e-01   0.000000e+00   0.000000e+00
-1.700000e-01   0.000000e+00   0.000000e+00
-1.660000e-01   0.000000e+00   0.000000e+00
-1.620000e-01   0.000000e+00   0.000000e+00
-1.580000e-01   0.000000e+00   0.000000e+00
-1.540000e-01   0.000000e+00   0.000000e+00
-1.500000e-01   0.000000e+00   0.000000e+00
-1.460000e-01   0.000000e+00   0.000000e+00
-1.420000e-01   0.000000e+00   0.000000e+00
-1.380000e-01   0.000000e+00   0.000000e+00
-1.340000e-01   0.000000e+00   0.000000e+00
-1.300000e-01   0.000000e+00   0.000000e+00
-1.260000e-01   0.000000e+00   0.000000e+00
-1.220000e-01   0.000000e+00   0.000000e+00
-1.180000e-01   0.000000e+00   0.000000e+00
-1.140000e-01   0.000000e+00   0.000000e+00
-1.100000e-01   0.000000e+00   0.000000e+00
-1.060000e-01   0.000000e+00   0.000000e+00
-1.020000e-01   0.000000e+00   0.000000e+00
-9.800000e-02   0.000000e+00   0.000000e+00
-9.400000e-02   0.000000e+00   0.000000e+00
-9.000000e-02   0.000000e+00   0.000000e+00
-8.600000e-02   0.000000e+00   0.000000e+00
-8.200000e-02   2.000000e-01   2.828427e-01
-7.800000e-02   0.000000e+00   0.000000e+00
-7.400000e-02   2.000000e-01   2.828427e-01
-7.000000e-02   0.000000e+00   0.000000e+00
-6.600000e-02   0.000000e+00   0.000000e+00
-6.200000e-02   0.000000e+00   0.000000e+00
-5.800000e-02   0.000000e+00   0.000000e+00
-5.400000e-02   2.000000e-01   2.828427e-01
-5.000000e-02   8.000000e-01   4.679241e-01
-4.600000e-02   1.000000e+00   6.066116e-01
-4.200000e-02   1.000000e+00   5.169186e-01
-3.800000e-02   1.000000e+00   5.072982e-01
-3.400000e-02   1.000000e+00   4.726274e-01
-3.000000e-02   1.000000e+00   4.934457e-01
-2.600000e-02   1.000000e+00   4.334266e-01
-2.200000e-02   1.000000e+00   4.602422e-01
-1.800000e-02   1.000000e+00   4.370871e-01
-1.400000e-02   1.000000e+00   4.565998e-01
-1.000000e-02   1.000000e+00   4.312621e-01
-6.000000e-03   1.000000e+00   4.288551e-01
-2.000000e-03   1.000000e+00   4.352937e-01
 2.000000e-03   8.022129e-01   3.955239e-01
 6.000000e-03   1.000000e+00   4.904704e-01
 1.000000e-02   1.000000e+00   4.362719e-01
 1.400000e-02   1.000000e+00   4.603916e-01
 1.800000e-02   1.000000e+00   4.562872e-01
 2.200000e-02   1.000000e+00   4.610618e-01
 2.600000e-02   1.000000e+00   5.299338e-01
 3.000000e-02   1.000000e+00   5.702145e-01
 3.400000e-02   1.000000e+00   5.262397e-01
 3.800000e-02   1.000000e+00   5.476944e-01
 4.200000e-02   1.000000e+00   5.597843e-01
 4.600000e-02   1.000000e+00   5.720110e-01
 5.000000e-02   6.000000e-01   3.848902e-01
 5.400000e-02   4.000000e-01   3.419497e-01
 5.800000e-02   0.000000e+00   0.000000e+00
 6.200000e-02   0.000000e+00   0.000000e+00
 6.600000e-02   0.000000e+00   0.000000e+00
 7.000000e-02   0.000000e+00   0.000000e+00
 7.400000e-02   0.000000e+00   0.000000e+00
 7.800000e-02   2.000000e-01   2.828427e-01
 8.200000e-02   0.000000e+00   0.000000e+00
 8.600000e-02   2.000000e-01   2.828427e-01
 9.000000e-02   0.000000e+00   0.000000e+00
 9.400000e-02   0.000000e+00   0.000000e+00
 9.800000e-02   0.000000e+00   0.000000e+00
 1.020000e-01   0.000000e+00   0.000000e+00
 1.060000e-01   0.000000e+00   0.000000e+00
 1.100000e-01   0.000000e+00   0.000000e+00
 1.140000e-01   0.000000e+00   0.000000e+00
 1.180000e-01   0.000000e+00   0.000000e+00
 1.220000e-01   0.000000e+00   0.000000e+00
 1.260000e-01   0.000000e+00   0.000000e+00
 1.300000e-01   0.000000e+00   0.000000e+00
 1.340000e-01   0.000000e+00   0.000000e+00
 1.380000e-01   0.000000e+00   0.000000e+00
 1.420000e-01   0.000000e+00   0.000000e+00
 1.460000e-01   0.000000e+00   0.000000e+00
 1.500000e-01   0.000000e+00   0.000000e+00
 1.540000e-01   0.000000e+00   0.000000e+00
 1.580000e-01   0.000000e+00   0.000000e+00
 1.620000e-01   0.000000e+00   0.000000e+00
 1.660000e-01   0.000000e+00   0.000000e+00
 1.700000e-01   0.000000e+00   0.000000e+00
 1.740000e-01   0.000000e+00   0.000000e+00
 1.780000e-01   0.000000e+00   0.000000e+00
 1.820000e-01   0.000000e+00   0.000000e+00
 1.860000e-01   0.000000e+00   0.000000e+00
 1.900000e-01   0.000000e+00   0.000000e+00
 1.940000e-01   0.000000e+00   0.000000e+00
 1.980000e-01   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
