x5_lab bin center    K_x5    Error 
-inf   1.000000e+00   5.731234e-02
-1.862250e-01   1.000000e+00   3.574039e-02
-1.766750e-01   1.000000e+00   3.360729e-02
-1.671250e-01   1.000000e+00   3.447893e-02
-1.575750e-01   1.000000e+00   2.526571e-02
-1.480250e-01   1.000000e+00   2.579234e-02
-1.384750e-01   1.000000e+00   3.189113e-02
-1.289250e-01   1.000000e+00   3.446829e-02
-1.193750e-01   1.000000e+00   2.239187e-02
-1.098250e-01   1.000000e+00   2.491833e-02
-1.002750e-01   1.000000e+00   2.664706e-02
-9.072500e-02   1.000000e+00   2.604749e-02
-8.117500e-02   1.000000e+00   3.722610e-02
-7.162500e-02   1.000000e+00   2.887809e-02
-6.207500e-02   1.000000e+00   3.313756e-02
-5.252500e-02   1.000000e+00   3.645586e-02
-4.297500e-02   1.000000e+00   3.527432e-02
-3.342500e-02   1.000000e+00   3.733867e-02
-2.387500e-02   1.000000e+00   4.044214e-02
-1.432500e-02   1.000000e+00   4.309792e-02
-4.775000e-03   7.937324e-01   2.257908e-02
 4.775000e-03   1.000000e+00   3.107613e-02
 1.432500e-02   1.000000e+00   4.282139e-02
 2.387500e-02   1.000000e+00   3.439285e-02
 3.342500e-02   1.000000e+00   3.041015e-02
 4.297500e-02   1.000000e+00   3.486546e-02
 5.252500e-02   1.000000e+00   3.870611e-02
 6.207500e-02   1.000000e+00   2.489617e-02
 7.162500e-02   1.000000e+00   3.086251e-02
 8.117500e-02   1.000000e+00   3.446354e-02
 9.072500e-02   1.000000e+00   2.806926e-02
 1.002750e-01   1.000000e+00   3.408776e-02
 1.098250e-01   1.000000e+00   3.410261e-02
 1.193750e-01   1.000000e+00   2.738361e-02
 1.289250e-01   1.000000e+00   2.725591e-02
 1.384750e-01   1.000000e+00   3.597834e-02
 1.480250e-01   1.000000e+00   2.860818e-02
 1.575750e-01   1.000000e+00   3.613212e-02
 1.671250e-01   1.000000e+00   3.180573e-02
 1.766750e-01   1.000000e+00   2.775886e-02
 1.862250e-01   1.000000e+00   3.612011e-02
 inf   1.000000e+00   5.490001e-02
