x5_lab bin center    K_x5    Error 
-inf   1.000000e+00   1.043719e+00
-1.719000e-01   8.000000e-01   5.656853e-01
-1.337000e-01   8.000000e-01   5.445554e-01
-9.550000e-02   1.000000e+00   4.804333e-01
-5.730000e-02   1.000000e+00   4.114590e-01
-1.910000e-02   1.000000e+00   3.545680e-01
 1.910000e-02   1.000000e+00   3.436497e-01
 5.730000e-02   1.000000e+00   3.969992e-01
 9.550000e-02   1.000000e+00   4.694785e-01
 1.337000e-01   6.000000e-01   4.870610e-01
 1.719000e-01   4.000000e-01   3.874566e-01
 inf   1.000000e+00   1.118725e+00
