x5_lab bin center    K_x5    Error 
-inf   1.000000e+00   1.336955e+00
-1.719000e-01   4.000000e-01   4.000000e-01
-1.337000e-01   8.000000e-01   5.656854e-01
-9.550000e-02   1.000000e+00   5.355452e-01
-5.730000e-02   1.000000e+00   6.137049e-01
-1.910000e-02   1.000000e+00   5.068092e-01
 1.910000e-02   1.000000e+00   5.583620e-01
 5.730000e-02   1.000000e+00   5.568112e-01
 9.550000e-02   1.000000e+00   5.268764e-01
 1.337000e-01   1.000000e+00   6.061441e-01
 1.719000e-01   1.000000e+00   6.228125e-01
 inf   1.000000e+00   9.895803e-01
