y5_lab bin center    K_y5    Error 
-inf   0.000000e+00   0.000000e+00
-1.980000e-01   0.000000e+00   0.000000e+00
-1.940000e-01   0.000000e+00   0.000000e+00
-1.900000e-01   0.000000e+00   0.000000e+00
-1.860000e-01   0.000000e+00   0.000000e+00
-1.820000e-01   0.000000e+00   0.000000e+00
-1.780000e-01   0.000000e+00   0.000000e+00
-1.740000e-01   0.000000e+00   0.000000e+00
-1.700000e-01   0.000000e+00   0.000000e+00
-1.660000e-01   0.000000e+00   0.000000e+00
-1.620000e-01   0.000000e+00   0.000000e+00
-1.580000e-01   0.000000e+00   0.000000e+00
-1.540000e-01   0.000000e+00   0.000000e+00
-1.500000e-01   0.000000e+00   0.000000e+00
-1.460000e-01   0.000000e+00   0.000000e+00
-1.420000e-01   0.000000e+00   0.000000e+00
-1.380000e-01   0.000000e+00   0.000000e+00
-1.340000e-01   0.000000e+00   0.000000e+00
-1.300000e-01   0.000000e+00   0.000000e+00
-1.260000e-01   0.000000e+00   0.000000e+00
-1.220000e-01   0.000000e+00   0.000000e+00
-1.180000e-01   0.000000e+00   0.000000e+00
-1.140000e-01   0.000000e+00   0.000000e+00
-1.100000e-01   0.000000e+00   0.000000e+00
-1.060000e-01   0.000000e+00   0.000000e+00
-1.020000e-01   0.000000e+00   0.000000e+00
-9.800000e-02   0.000000e+00   0.000000e+00
-9.400000e-02   0.000000e+00   0.000000e+00
-9.000000e-02   0.000000e+00   0.000000e+00
-8.600000e-02   0.000000e+00   0.000000e+00
-8.200000e-02   0.000000e+00   0.000000e+00
-7.800000e-02   2.000000e-01   2.828427e-01
-7.400000e-02   0.000000e+00   0.000000e+00
-7.000000e-02   0.000000e+00   0.000000e+00
-6.600000e-02   0.000000e+00   0.000000e+00
-6.200000e-02   0.000000e+00   0.000000e+00
-5.800000e-02   0.000000e+00   0.000000e+00
-5.400000e-02   4.000000e-01   4.000000e-01
-5.000000e-02   1.000000e+00   5.404644e-01
-4.600000e-02   1.000000e+00   5.419255e-01
-4.200000e-02   1.000000e+00   5.689008e-01
-3.800000e-02   1.000000e+00   4.577273e-01
-3.400000e-02   1.000000e+00   4.323163e-01
-3.000000e-02   1.000000e+00   4.739789e-01
-2.600000e-02   1.000000e+00   4.527311e-01
-2.200000e-02   1.000000e+00   4.800001e-01
-1.800000e-02   1.000000e+00   4.397608e-01
-1.400000e-02   1.000000e+00   4.655222e-01
-1.000000e-02   1.000000e+00   4.340789e-01
-6.000000e-03   1.000000e+00   4.293228e-01
-2.000000e-03   1.000000e+00   4.239059e-01
 2.000000e-03   8.022118e-01   4.007518e-01
 6.000000e-03   1.000000e+00   4.866474e-01
 1.000000e-02   1.000000e+00   4.671367e-01
 1.400000e-02   1.000000e+00   4.573466e-01
 1.800000e-02   1.000000e+00   4.821338e-01
 2.200000e-02   1.000000e+00   4.280939e-01
 2.600000e-02   1.000000e+00   4.923225e-01
 3.000000e-02   1.000000e+00   4.944330e-01
 3.400000e-02   1.000000e+00   5.451971e-01
 3.800000e-02   1.000000e+00   5.168736e-01
 4.200000e-02   1.000000e+00   5.558302e-01
 4.600000e-02   1.000000e+00   5.975541e-01
 5.000000e-02   6.000000e-01   4.898979e-01
 5.400000e-02   4.000000e-01   4.000000e-01
 5.800000e-02   0.000000e+00   0.000000e+00
 6.200000e-02   0.000000e+00   0.000000e+00
 6.600000e-02   0.000000e+00   0.000000e+00
 7.000000e-02   0.000000e+00   0.000000e+00
 7.400000e-02   0.000000e+00   0.000000e+00
 7.800000e-02   0.000000e+00   0.000000e+00
 8.200000e-02   0.000000e+00   0.000000e+00
 8.600000e-02   0.000000e+00   0.000000e+00
 9.000000e-02   0.000000e+00   0.000000e+00
 9.400000e-02   0.000000e+00   0.000000e+00
 9.800000e-02   0.000000e+00   0.000000e+00
 1.020000e-01   0.000000e+00   0.000000e+00
 1.060000e-01   0.000000e+00   0.000000e+00
 1.100000e-01   0.000000e+00   0.000000e+00
 1.140000e-01   0.000000e+00   0.000000e+00
 1.180000e-01   0.000000e+00   0.000000e+00
 1.220000e-01   0.000000e+00   0.000000e+00
 1.260000e-01   0.000000e+00   0.000000e+00
 1.300000e-01   0.000000e+00   0.000000e+00
 1.340000e-01   0.000000e+00   0.000000e+00
 1.380000e-01   0.000000e+00   0.000000e+00
 1.420000e-01   0.000000e+00   0.000000e+00
 1.460000e-01   0.000000e+00   0.000000e+00
 1.500000e-01   0.000000e+00   0.000000e+00
 1.540000e-01   0.000000e+00   0.000000e+00
 1.580000e-01   0.000000e+00   0.000000e+00
 1.620000e-01   0.000000e+00   0.000000e+00
 1.660000e-01   0.000000e+00   0.000000e+00
 1.700000e-01   0.000000e+00   0.000000e+00
 1.740000e-01   0.000000e+00   0.000000e+00
 1.780000e-01   0.000000e+00   0.000000e+00
 1.820000e-01   0.000000e+00   0.000000e+00
 1.860000e-01   0.000000e+00   0.000000e+00
 1.900000e-01   0.000000e+00   0.000000e+00
 1.940000e-01   0.000000e+00   0.000000e+00
 1.980000e-01   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
