y5_lab bin center    K_y5    Error 
-inf   1.000000e+00   4.079670e-01
-1.719000e-01   1.000000e+00   2.898906e-01
-1.337000e-01   1.000000e+00   2.565847e-01
-9.550000e-02   1.000000e+00   2.963009e-01
-5.730000e-02   1.000000e+00   3.726979e-01
-1.910000e-02   7.871672e-01   1.293552e-01
 1.910000e-02   1.000000e+00   2.080115e-01
 5.730000e-02   1.000000e+00   2.902981e-01
 9.550000e-02   1.000000e+00   1.703355e-01
 1.337000e-01   1.000000e+00   2.593617e-01
 1.719000e-01   1.000000e+00   2.862175e-01
 inf   1.000000e+00   1.177269e+00
