y5_lab bin center    K_y5    Error 
-inf   1.000000e+00   3.760255e-02
-1.862250e-01   1.000000e+00   2.889448e-02
-1.766750e-01   1.000000e+00   3.772998e-02
-1.671250e-01   1.000000e+00   3.145529e-02
-1.575750e-01   1.000000e+00   3.000580e-02
-1.480250e-01   1.000000e+00   3.158541e-02
-1.384750e-01   1.000000e+00   4.207773e-02
-1.289250e-01   1.000000e+00   2.451303e-02
-1.193750e-01   1.000000e+00   2.486039e-02
-1.098250e-01   1.000000e+00   2.817438e-02
-1.002750e-01   1.000000e+00   3.263816e-02
-9.072500e-02   1.000000e+00   3.278190e-02
-8.117500e-02   1.000000e+00   4.032268e-02
-7.162500e-02   1.000000e+00   2.492742e-02
-6.207500e-02   1.000000e+00   3.072739e-02
-5.252500e-02   1.000000e+00   3.780335e-02
-4.297500e-02   1.000000e+00   3.638451e-02
-3.342500e-02   1.000000e+00   4.177016e-02
-2.387500e-02   1.000000e+00   3.267249e-02
-1.432500e-02   1.000000e+00   2.892224e-02
-4.775000e-03   7.944779e-01   2.606575e-02
 4.775000e-03   1.000000e+00   3.214228e-02
 1.432500e-02   1.000000e+00   7.225860e-02
 2.387500e-02   1.000000e+00   2.940259e-02
 3.342500e-02   1.000000e+00   4.915606e-02
 4.297500e-02   1.000000e+00   3.536277e-02
 5.252500e-02   1.000000e+00   3.893819e-02
 6.207500e-02   1.000000e+00   3.769859e-02
 7.162500e-02   1.000000e+00   3.953469e-02
 8.117500e-02   1.000000e+00   3.505094e-02
 9.072500e-02   1.000000e+00   3.038632e-02
 1.002750e-01   1.000000e+00   3.875276e-02
 1.098250e-01   1.000000e+00   2.391643e-02
 1.193750e-01   1.000000e+00   3.466337e-02
 1.289250e-01   1.000000e+00   3.841815e-02
 1.384750e-01   1.000000e+00   3.526375e-02
 1.480250e-01   1.000000e+00   5.689287e-02
 1.575750e-01   1.000000e+00   3.918891e-02
 1.671250e-01   1.000000e+00   2.616106e-02
 1.766750e-01   1.000000e+00   2.711380e-02
 1.862250e-01   1.000000e+00   3.506424e-02
 inf   1.000000e+00   4.978388e-02
