y5_lab bin center    K_y5    Error 
-inf   1.000000e+00   1.203952e+00
-1.890900e-01   0.000000e+00   0.000000e+00
-1.852700e-01   0.000000e+00   0.000000e+00
-1.814500e-01   0.000000e+00   0.000000e+00
-1.776300e-01   0.000000e+00   0.000000e+00
-1.738100e-01   0.000000e+00   0.000000e+00
-1.699900e-01   0.000000e+00   0.000000e+00
-1.661700e-01   0.000000e+00   0.000000e+00
-1.623500e-01   0.000000e+00   0.000000e+00
-1.585300e-01   0.000000e+00   0.000000e+00
-1.547100e-01   2.000000e-01   2.828427e-01
-1.508900e-01   0.000000e+00   0.000000e+00
-1.470700e-01   0.000000e+00   0.000000e+00
-1.432500e-01   0.000000e+00   0.000000e+00
-1.394300e-01   0.000000e+00   0.000000e+00
-1.356100e-01   0.000000e+00   0.000000e+00
-1.317900e-01   0.000000e+00   0.000000e+00
-1.279700e-01   2.000000e-01   2.828427e-01
-1.241500e-01   0.000000e+00   0.000000e+00
-1.203300e-01   2.000000e-01   2.828427e-01
-1.165100e-01   2.000000e-01   2.828427e-01
-1.126900e-01   2.000000e-01   2.828427e-01
-1.088700e-01   2.000000e-01   2.828427e-01
-1.050500e-01   2.000000e-01   2.828427e-01
-1.012300e-01   2.000000e-01   2.828427e-01
-9.741000e-02   6.000000e-01   4.898979e-01
-9.359000e-02   2.000000e-01   2.828427e-01
-8.977000e-02   4.000000e-01   4.000000e-01
-8.595000e-02   6.000000e-01   4.898979e-01
-8.213000e-02   0.000000e+00   0.000000e+00
-7.831000e-02   6.000000e-01   4.885891e-01
-7.449000e-02   2.000000e-01   2.828427e-01
-7.067000e-02   6.000000e-01   4.726772e-01
-6.685000e-02   1.000000e+00   6.051899e-01
-6.303000e-02   1.000000e+00   5.578458e-01
-5.921000e-02   1.000000e+00   5.818568e-01
-5.539000e-02   8.000000e-01   5.192384e-01
-5.157000e-02   1.000000e+00   5.292493e-01
-4.775000e-02   1.000000e+00   5.286859e-01
-4.393000e-02   1.000000e+00   6.112313e-01
-4.011000e-02   1.000000e+00   5.259357e-01
-3.629000e-02   1.000000e+00   5.243967e-01
-3.247000e-02   1.000000e+00   4.259738e-01
-2.865000e-02   1.000000e+00   5.351626e-01
-2.483000e-02   1.000000e+00   4.308791e-01
-2.101000e-02   1.000000e+00   4.704836e-01
-1.719000e-02   1.000000e+00   4.390049e-01
-1.337000e-02   1.000000e+00   4.139740e-01
-9.550000e-03   1.000000e+00   4.804476e-01
-5.730000e-03   1.000000e+00   4.918584e-01
-1.910000e-03   1.000000e+00   5.078782e-01
 1.910000e-03   1.000000e+00   5.289791e-01
 5.730000e-03   1.000000e+00   5.646213e-01
 9.550000e-03   1.000000e+00   5.045647e-01
 1.337000e-02   1.000000e+00   4.872500e-01
 1.719000e-02   1.000000e+00   5.865423e-01
 2.101000e-02   1.000000e+00   5.711776e-01
 2.483000e-02   1.000000e+00   5.119413e-01
 2.865000e-02   1.000000e+00   5.496235e-01
 3.247000e-02   1.000000e+00   5.281662e-01
 3.629000e-02   1.000000e+00   5.491547e-01
 4.011000e-02   8.000000e-01   4.939635e-01
 4.393000e-02   8.000000e-01   5.596606e-01
 4.775000e-02   8.000000e-01   4.336167e-01
 5.157000e-02   1.000000e+00   5.866639e-01
 5.539000e-02   8.000000e-01   5.583967e-01
 5.921000e-02   8.000000e-01   5.656854e-01
 6.303000e-02   2.000000e-01   2.828427e-01
 6.685000e-02   8.000000e-01   5.569698e-01
 7.067000e-02   8.000000e-01   5.061970e-01
 7.449000e-02   4.000000e-01   3.400967e-01
 7.831000e-02   0.000000e+00   0.000000e+00
 8.213000e-02   2.000000e-01   2.828427e-01
 8.595000e-02   0.000000e+00   0.000000e+00
 8.977000e-02   6.000000e-01   4.898979e-01
 9.359000e-02   0.000000e+00   0.000000e+00
 9.741000e-02   4.000000e-01   4.000000e-01
 1.012300e-01   0.000000e+00   0.000000e+00
 1.050500e-01   4.000000e-01   4.000000e-01
 1.088700e-01   2.000000e-01   2.828427e-01
 1.126900e-01   0.000000e+00   0.000000e+00
 1.165100e-01   0.000000e+00   0.000000e+00
 1.203300e-01   2.000000e-01   2.828427e-01
 1.241500e-01   0.000000e+00   0.000000e+00
 1.279700e-01   0.000000e+00   0.000000e+00
 1.317900e-01   0.000000e+00   0.000000e+00
 1.356100e-01   0.000000e+00   0.000000e+00
 1.394300e-01   0.000000e+00   0.000000e+00
 1.432500e-01   0.000000e+00   0.000000e+00
 1.470700e-01   0.000000e+00   0.000000e+00
 1.508900e-01   0.000000e+00   0.000000e+00
 1.547100e-01   0.000000e+00   0.000000e+00
 1.585300e-01   0.000000e+00   0.000000e+00
 1.623500e-01   0.000000e+00   0.000000e+00
 1.661700e-01   2.000000e-01   2.828427e-01
 1.699900e-01   0.000000e+00   0.000000e+00
 1.738100e-01   0.000000e+00   0.000000e+00
 1.776300e-01   0.000000e+00   0.000000e+00
 1.814500e-01   2.000000e-01   2.828427e-01
 1.852700e-01   0.000000e+00   0.000000e+00
 1.890900e-01   0.000000e+00   0.000000e+00
 inf   1.000000e+00   1.098218e+00
