y5_lab bin center    K_y5    Error 
-inf   0.000000e+00   0.000000e+00
-1.890900e-01   0.000000e+00   0.000000e+00
-1.852700e-01   0.000000e+00   0.000000e+00
-1.814500e-01   2.000000e-01   2.712438e-01
-1.776300e-01   0.000000e+00   0.000000e+00
-1.738100e-01   0.000000e+00   0.000000e+00
-1.699900e-01   0.000000e+00   0.000000e+00
-1.661700e-01   0.000000e+00   0.000000e+00
-1.623500e-01   0.000000e+00   0.000000e+00
-1.585300e-01   0.000000e+00   0.000000e+00
-1.547100e-01   2.000000e-01   2.670923e-01
-1.508900e-01   4.000000e-01   3.690827e-01
-1.470700e-01   4.000000e-01   3.596118e-01
-1.432500e-01   4.000000e-01   2.594926e-01
-1.394300e-01   2.000000e-01   2.668843e-01
-1.356100e-01   4.000000e-01   2.278056e-01
-1.317900e-01   4.000000e-01   2.440532e-01
-1.279700e-01   6.000000e-01   3.001244e-01
-1.241500e-01   8.000000e-01   3.740110e-01
-1.203300e-01   6.000000e-01   3.214160e-01
-1.165100e-01   6.000000e-01   2.754862e-01
-1.126900e-01   1.000000e+00   4.658475e-01
-1.088700e-01   1.000000e+00   4.479825e-01
-1.050500e-01   8.000000e-01   4.229087e-01
-1.012300e-01   4.000000e-01   3.352939e-01
-9.741000e-02   1.000000e+00   3.305170e-01
-9.359000e-02   8.000000e-01   3.968625e-01
-8.977000e-02   1.000000e+00   3.893822e-01
-8.595000e-02   8.000000e-01   3.571772e-01
-8.213000e-02   8.000000e-01   3.906828e-01
-7.831000e-02   1.000000e+00   3.792469e-01
-7.449000e-02   1.000000e+00   3.290738e-01
-7.067000e-02   1.000000e+00   3.014827e-01
-6.685000e-02   1.000000e+00   3.347658e-01
-6.303000e-02   1.000000e+00   3.778558e-01
-5.921000e-02   1.000000e+00   3.873606e-01
-5.539000e-02   1.000000e+00   3.269669e-01
-5.157000e-02   1.000000e+00   4.310611e-01
-4.775000e-02   1.000000e+00   3.566949e-01
-4.393000e-02   1.000000e+00   3.058823e-01
-4.011000e-02   1.000000e+00   3.193598e-01
-3.629000e-02   1.000000e+00   3.083522e-01
-3.247000e-02   1.000000e+00   3.353678e-01
-2.865000e-02   1.000000e+00   3.091628e-01
-2.483000e-02   1.000000e+00   2.797163e-01
-2.101000e-02   1.000000e+00   2.771818e-01
-1.719000e-02   1.000000e+00   2.985268e-01
-1.337000e-02   1.000000e+00   2.812282e-01
-9.550000e-03   1.000000e+00   2.941849e-01
-5.730000e-03   1.000000e+00   2.780673e-01
-1.910000e-03   1.000000e+00   2.750320e-01
 1.910000e-03   1.000000e+00   2.734642e-01
 5.730000e-03   1.000000e+00   2.995468e-01
 9.550000e-03   1.000000e+00   2.774007e-01
 1.337000e-02   1.000000e+00   3.316215e-01
 1.719000e-02   1.000000e+00   3.065081e-01
 2.101000e-02   1.000000e+00   3.021196e-01
 2.483000e-02   1.000000e+00   3.117754e-01
 2.865000e-02   1.000000e+00   3.018347e-01
 3.247000e-02   1.000000e+00   3.268674e-01
 3.629000e-02   1.000000e+00   3.062750e-01
 4.011000e-02   1.000000e+00   3.466292e-01
 4.393000e-02   1.000000e+00   4.041216e-01
 4.775000e-02   1.000000e+00   3.003267e-01
 5.157000e-02   1.000000e+00   3.950790e-01
 5.539000e-02   1.000000e+00   3.577789e-01
 5.921000e-02   1.000000e+00   3.652745e-01
 6.303000e-02   1.000000e+00   3.534437e-01
 6.685000e-02   1.000000e+00   4.455850e-01
 7.067000e-02   1.000000e+00   3.526612e-01
 7.449000e-02   1.000000e+00   3.483847e-01
 7.831000e-02   1.000000e+00   4.447510e-01
 8.213000e-02   1.000000e+00   2.943941e-01
 8.595000e-02   1.000000e+00   3.468775e-01
 8.977000e-02   1.000000e+00   4.598068e-01
 9.359000e-02   1.000000e+00   4.228996e-01
 9.741000e-02   1.000000e+00   4.333130e-01
 1.012300e-01   1.000000e+00   3.820580e-01
 1.050500e-01   1.000000e+00   4.460136e-01
 1.088700e-01   4.000000e-01   2.243437e-01
 1.126900e-01   8.000000e-01   3.435336e-01
 1.165100e-01   1.000000e+00   4.323353e-01
 1.203300e-01   4.000000e-01   3.111618e-01
 1.241500e-01   6.000000e-01   3.869839e-01
 1.279700e-01   6.000000e-01   4.134619e-01
 1.317900e-01   2.000000e-01   2.772585e-01
 1.356100e-01   0.000000e+00   0.000000e+00
 1.394300e-01   2.000000e-01   1.716318e-01
 1.432500e-01   0.000000e+00   0.000000e+00
 1.470700e-01   0.000000e+00   0.000000e+00
 1.508900e-01   0.000000e+00   0.000000e+00
 1.547100e-01   0.000000e+00   0.000000e+00
 1.585300e-01   0.000000e+00   0.000000e+00
 1.623500e-01   0.000000e+00   0.000000e+00
 1.661700e-01   0.000000e+00   0.000000e+00
 1.699900e-01   0.000000e+00   0.000000e+00
 1.738100e-01   0.000000e+00   0.000000e+00
 1.776300e-01   0.000000e+00   0.000000e+00
 1.814500e-01   0.000000e+00   0.000000e+00
 1.852700e-01   0.000000e+00   0.000000e+00
 1.890900e-01   0.000000e+00   0.000000e+00
 inf   1.000000e+00   1.414214e+00
