y5_lab bin center    K_y5    Error 
-inf   1.000000e+00   5.207214e-02
-1.862250e-01   1.000000e+00   4.350524e-02
-1.766750e-01   1.000000e+00   3.442026e-02
-1.671250e-01   1.000000e+00   2.193884e-02
-1.575750e-01   1.000000e+00   2.699590e-02
-1.480250e-01   1.000000e+00   3.084882e-02
-1.384750e-01   1.000000e+00   2.188561e-02
-1.289250e-01   1.000000e+00   2.667214e-02
-1.193750e-01   1.000000e+00   2.824547e-02
-1.098250e-01   1.000000e+00   3.112551e-02
-1.002750e-01   1.000000e+00   2.714095e-02
-9.072500e-02   1.000000e+00   2.883128e-02
-8.117500e-02   1.000000e+00   3.204861e-02
-7.162500e-02   1.000000e+00   3.470740e-02
-6.207500e-02   1.000000e+00   3.259520e-02
-5.252500e-02   1.000000e+00   3.518772e-02
-4.297500e-02   1.000000e+00   4.362858e-02
-3.342500e-02   1.000000e+00   3.794910e-02
-2.387500e-02   1.000000e+00   2.307968e-02
-1.432500e-02   1.000000e+00   2.833457e-02
-4.775000e-03   7.940349e-01   3.516608e-02
 4.775000e-03   1.000000e+00   2.820682e-02
 1.432500e-02   1.000000e+00   3.747554e-02
 2.387500e-02   1.000000e+00   3.301301e-02
 3.342500e-02   1.000000e+00   3.866356e-02
 4.297500e-02   1.000000e+00   3.686255e-02
 5.252500e-02   1.000000e+00   3.314994e-02
 6.207500e-02   1.000000e+00   4.624900e-02
 7.162500e-02   1.000000e+00   2.952000e-02
 8.117500e-02   1.000000e+00   2.551602e-02
 9.072500e-02   1.000000e+00   3.304944e-02
 1.002750e-01   1.000000e+00   2.534503e-02
 1.098250e-01   1.000000e+00   2.749300e-02
 1.193750e-01   1.000000e+00   2.379879e-02
 1.289250e-01   1.000000e+00   2.919696e-02
 1.384750e-01   1.000000e+00   2.393865e-02
 1.480250e-01   1.000000e+00   2.923632e-02
 1.575750e-01   1.000000e+00   2.752240e-02
 1.671250e-01   1.000000e+00   3.344885e-02
 1.766750e-01   1.000000e+00   2.707491e-02
 1.862250e-01   1.000000e+00   3.999276e-02
 inf   1.000000e+00   3.927225e-02
