y5_lab bin center    K_y5    Error 
-inf   1.000000e+00   7.471070e-02
-1.890900e-01   1.000000e+00   5.754367e-02
-1.852700e-01   1.000000e+00   3.987311e-02
-1.814500e-01   1.000000e+00   3.834810e-02
-1.776300e-01   1.000000e+00   5.333004e-02
-1.738100e-01   1.000000e+00   4.266762e-02
-1.699900e-01   1.000000e+00   3.925015e-02
-1.661700e-01   1.000000e+00   4.556898e-02
-1.623500e-01   1.000000e+00   4.916274e-02
-1.585300e-01   1.000000e+00   3.405644e-02
-1.547100e-01   1.000000e+00   4.392618e-02
-1.508900e-01   1.000000e+00   4.151820e-02
-1.470700e-01   1.000000e+00   5.247340e-02
-1.432500e-01   1.000000e+00   4.684649e-02
-1.394300e-01   1.000000e+00   2.999746e-02
-1.356100e-01   1.000000e+00   3.476316e-02
-1.317900e-01   1.000000e+00   2.842319e-02
-1.279700e-01   1.000000e+00   4.339824e-02
-1.241500e-01   1.000000e+00   4.896327e-02
-1.203300e-01   1.000000e+00   3.727406e-02
-1.165100e-01   1.000000e+00   3.101996e-02
-1.126900e-01   1.000000e+00   4.866787e-02
-1.088700e-01   1.000000e+00   4.213339e-02
-1.050500e-01   1.000000e+00   4.271360e-02
-1.012300e-01   1.000000e+00   4.332016e-02
-9.741000e-02   1.000000e+00   3.282005e-02
-9.359000e-02   1.000000e+00   3.259043e-02
-8.977000e-02   1.000000e+00   4.604970e-02
-8.595000e-02   1.000000e+00   3.516690e-02
-8.213000e-02   1.000000e+00   5.926517e-02
-7.831000e-02   1.000000e+00   3.267712e-02
-7.449000e-02   1.000000e+00   4.111038e-02
-7.067000e-02   1.000000e+00   3.754243e-02
-6.685000e-02   1.000000e+00   3.247281e-02
-6.303000e-02   1.000000e+00   3.583204e-02
-5.921000e-02   1.000000e+00   4.472706e-02
-5.539000e-02   1.000000e+00   3.914538e-02
-5.157000e-02   1.000000e+00   4.635456e-02
-4.775000e-02   1.000000e+00   2.777419e-02
-4.393000e-02   1.000000e+00   4.768756e-02
-4.011000e-02   1.000000e+00   4.212729e-02
-3.629000e-02   1.000000e+00   3.341277e-02
-3.247000e-02   1.000000e+00   3.951226e-02
-2.865000e-02   1.000000e+00   3.985204e-02
-2.483000e-02   1.000000e+00   3.743841e-02
-2.101000e-02   1.000000e+00   3.518906e-02
-1.719000e-02   1.000000e+00   4.499052e-02
-1.337000e-02   1.000000e+00   5.077038e-02
-9.550000e-03   1.000000e+00   3.459315e-02
-5.730000e-03   1.000000e+00   3.378447e-02
-1.910000e-03   8.007639e-01   3.496980e-02
 1.910000e-03   1.000000e+00   6.021832e-02
 5.730000e-03   1.000000e+00   3.808911e-02
 9.550000e-03   1.000000e+00   3.232868e-02
 1.337000e-02   1.000000e+00   4.239893e-02
 1.719000e-02   1.000000e+00   3.628368e-02
 2.101000e-02   1.000000e+00   3.281021e-02
 2.483000e-02   1.000000e+00   3.023725e-02
 2.865000e-02   1.000000e+00   2.627042e-02
 3.247000e-02   1.000000e+00   4.768027e-02
 3.629000e-02   1.000000e+00   3.669298e-02
 4.011000e-02   1.000000e+00   2.716190e-02
 4.393000e-02   1.000000e+00   5.095156e-02
 4.775000e-02   1.000000e+00   3.804049e-02
 5.157000e-02   1.000000e+00   2.940315e-02
 5.539000e-02   1.000000e+00   3.996502e-02
 5.921000e-02   1.000000e+00   2.661643e-02
 6.303000e-02   1.000000e+00   2.981823e-02
 6.685000e-02   1.000000e+00   5.123059e-02
 7.067000e-02   1.000000e+00   4.425620e-02
 7.449000e-02   1.000000e+00   3.509239e-02
 7.831000e-02   1.000000e+00   3.493129e-02
 8.213000e-02   1.000000e+00   3.349932e-02
 8.595000e-02   1.000000e+00   3.034933e-02
 8.977000e-02   1.000000e+00   2.768507e-02
 9.359000e-02   1.000000e+00   2.846715e-02
 9.741000e-02   1.000000e+00   4.790263e-02
 1.012300e-01   1.000000e+00   3.327327e-02
 1.050500e-01   1.000000e+00   3.418546e-02
 1.088700e-01   1.000000e+00   5.971516e-02
 1.126900e-01   1.000000e+00   3.026464e-02
 1.165100e-01   1.000000e+00   3.840185e-02
 1.203300e-01   1.000000e+00   3.848532e-02
 1.241500e-01   1.000000e+00   5.048950e-02
 1.279700e-01   1.000000e+00   3.839339e-02
 1.317900e-01   1.000000e+00   4.600215e-02
 1.356100e-01   1.000000e+00   4.530265e-02
 1.394300e-01   1.000000e+00   4.275631e-02
 1.432500e-01   1.000000e+00   3.483998e-02
 1.470700e-01   1.000000e+00   4.682738e-02
 1.508900e-01   1.000000e+00   3.836039e-02
 1.547100e-01   1.000000e+00   5.667953e-02
 1.585300e-01   1.000000e+00   4.775340e-02
 1.623500e-01   1.000000e+00   4.421859e-02
 1.661700e-01   1.000000e+00   5.382494e-02
 1.699900e-01   1.000000e+00   4.706154e-02
 1.738100e-01   1.000000e+00   4.761455e-02
 1.776300e-01   1.000000e+00   3.474163e-02
 1.814500e-01   1.000000e+00   4.208498e-02
 1.852700e-01   1.000000e+00   4.195355e-02
 1.890900e-01   1.000000e+00   4.520602e-02
 inf   1.000000e+00   4.276410e-02
