Q2_GeV2,num,num_err,ana,diff,rel_diff_percent
4.999999999999999562e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.042061648700183183e+08,-1.042061648700183183e+08,-9.999999999999998579e+01
1.499999999999999869e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.157417048617788590e+07,-1.157417048617788590e+07,-1.000000000000000000e+02
2.500000000000000052e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.165156857589846011e+06,-4.165156857589846011e+06,-1.000000000000000000e+02
3.499999999999999964e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.124292368438249920e+06,-2.124292368438249920e+06,-1.000000000000000000e+02
4.499999999999999877e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.284589484047039878e+06,-1.284589484047039878e+06,-1.000000000000000000e+02
5.499999999999999247e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.596131230891203741e+05,-8.596131230891203741e+05,-1.000000000000000000e+02
6.499999999999999702e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.152345864049001830e+05,-6.152345864049001830e+05,-1.000000000000000000e+02
7.500000000000000156e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.619383103323667310e+05,-4.619383103323667310e+05,-1.000000000000000000e+02
8.499999999999999526e-04,1.681967704638542926e+01,7.191127888186664707e-01,3.595073081380267977e+05,-3.594904884609804139e+05,-9.999532146449720926e+01
9.499999999999999981e-04,2.885082027509780601e+05,4.482917516957947157e+00,2.876983982681366033e+05,8.098044828414567746e+02,2.814768826369044574e-01
1.049999999999999935e-03,2.359693155480187270e+05,4.916903603589700467e+00,2.354209727540983586e+05,5.483427939203684218e+02,2.329201122166472404e-01
1.149999999999999981e-03,1.965597611007684900e+05,6.181015167631244367e+00,1.961856213085565250e+05,3.741397922119649593e+02,1.907070404632386085e-01
1.250000000000000026e-03,1.662465279247655126e+05,5.040882802784014238e+00,1.659900093261849543e+05,2.565185985805583186e+02,1.545385771239260186e-01
1.349999999999999855e-03,1.424537329584708496e+05,4.184862281390179461e+00,1.422569759198086977e+05,1.967570386621518992e+02,1.383109948668283795e-01
1.449999999999999900e-03,1.234082914113638835e+05,4.382543123188805012e+00,1.232662693380752462e+05,1.420220732886373298e+02,1.152156823202960950e-01
1.549999999999999946e-03,1.079445209032313287e+05,4.908888698081106838e+00,1.078340759867664456e+05,1.104449164648831356e+02,1.024211646033273276e-01
1.649999999999999991e-03,9.521655696655635256e+04,4.473905860065168660e+00,9.512413128237228375e+04,9.242568418406881392e+01,9.716323601390562670e-02
1.749999999999999820e-03,8.460751688699201623e+04,6.520982365357128607e+00,8.453210476250409556e+04,7.541212448792066425e+01,8.921122300195134802e-02
1.849999999999999865e-03,7.567202757233117882e+04,3.625250327120385752e+00,7.561248730245658953e+04,5.954026987458928488e+01,7.874396412383972976e-02
1.949999999999999910e-03,6.806866268250688154e+04,3.448791604893137297e+00,6.803101861050799198e+04,3.764407199888955802e+01,5.533368861402745281e-02
2.049999999999999739e-03,6.157035646419409750e+04,4.578892098855372517e+00,6.153294520745004411e+04,3.741125674405338941e+01,6.079874223137925887e-02
2.150000000000000001e-03,5.595586172686939244e+04,3.643229325312189015e+00,5.592136282833274890e+04,3.449889853664353723e+01,6.169180576401216143e-02
