cos_theta,num,num_err,ana,diff,rel_diff_percent
9.999980010000000252e-01,2.229920172620095313e+06,2.579383005594191782e+05,2.875691081449868158e+06,-6.457709088297728449e+05,-2.245619889408244774e+01
9.999980029999999687e-01,2.223918389887544792e+06,2.072832072236482054e+05,2.881863281101337168e+06,-6.579448912137923762e+05,-2.283053799007256046e+01
9.999980050000000231e-01,2.146905951316053513e+06,2.302899062100143638e+05,2.888054535837203730e+06,-7.411485845211502165e+05,-2.566255502880600758e+01
9.999980069999999666e-01,1.985330782858010381e+06,2.621810075024242396e+05,2.894264922823793720e+06,-9.089341399657833390e+05,-3.140466281431419304e+01
9.999980090000000210e-01,2.452894766918304376e+06,3.481789124616715708e+05,2.900494520996646490e+06,-4.475997540783421136e+05,-1.543184277157473083e+01
9.999980109999999645e-01,2.071761525374607416e+06,2.359089123153628316e+05,2.906743407274710480e+06,-8.349818819001030643e+05,-2.872568248750105724e+01
9.999980130000000189e-01,2.248209836000852287e+06,2.310439842793202261e+05,2.913011661736215930e+06,-6.648018257353636436e+05,-2.282180447362603104e+01
9.999980149999999623e-01,2.240406869946022518e+06,2.284995375805336807e+05,2.919299362088469323e+06,-6.788924921424468048e+05,-2.325532286818185312e+01
9.999980170000000168e-01,2.297126681857467163e+06,2.552285847652582161e+05,2.925606588870496955e+06,-6.284799070130297914e+05,-2.148203758509000494e+01
9.999980189999999602e-01,2.242691399792692624e+06,2.194061575721432455e+05,2.931933421636284795e+06,-6.892420218435921706e+05,-2.350810617858207152e+01
9.999980210000000147e-01,2.407198965453897137e+06,2.233225323232318915e+05,2.938279940694230609e+06,-5.310809752403334714e+05,-1.807455334275788417e+01
9.999980229999999581e-01,2.046636471615449293e+06,2.374558816178268462e+05,2.944646226762228180e+06,-8.980097551467788871e+05,-3.049635460400216402e+01
9.999980250000000126e-01,2.388826577782305423e+06,1.893514716986087733e+05,2.951032360616228078e+06,-5.622057828339226544e+05,-1.905115614240584065e+01
9.999980269999999560e-01,2.366874999844003469e+06,2.545587942601018294e+05,2.957438424507399090e+06,-5.905634246633956209e+05,-1.996874794651935403e+01
9.999980290000000105e-01,2.280481196611037012e+06,2.678689830279427115e+05,2.963864500400514342e+06,-6.833833037894773297e+05,-2.305717092320280059e+01
9.999980309999999539e-01,2.584256513926077634e+06,2.279686142423248384e+05,2.970310669608202297e+06,-3.860541556821246631e+05,-1.299709689064433604e+01
9.999980330000000084e-01,2.090525406410983065e+06,2.389093218121030368e+05,2.976777016002161894e+06,-8.862516095911788289e+05,-2.977218665781768081e+01
9.999980349999999518e-01,2.467633948767812457e+06,2.077491306107203127e+05,2.983263622094772756e+06,-5.156296733269602992e+05,-1.728408007619849940e+01
