Emu_lab bin centers    value    Error 
-inf   3.305326e-01   6.109425e-04
 9.500600e+04   2.472576e-05   5.860106e-07
 9.501800e+04   2.493827e-05   4.556553e-07
 9.503000e+04   2.437058e-05   5.809183e-07
 9.504200e+04   2.368829e-05   3.959199e-07
 9.505400e+04   2.518302e-05   4.110983e-07
 9.506600e+04   2.437998e-05   6.329996e-07
 9.507800e+04   2.465860e-05   4.101789e-07
 9.509000e+04   2.365753e-05   3.912303e-07
 9.510200e+04   2.485679e-05   5.494574e-07
 9.511400e+04   2.437176e-05   3.472196e-07
 9.512600e+04   2.561387e-05   7.190760e-07
 9.513800e+04   2.571294e-05   1.013597e-06
 9.515000e+04   2.548579e-05   6.461262e-07
 9.516200e+04   2.351411e-05   3.853782e-07
 9.517400e+04   2.420817e-05   4.758105e-07
 9.518600e+04   2.531378e-05   7.353766e-07
 9.519800e+04   2.426033e-05   2.764366e-07
 9.521000e+04   2.447561e-05   3.599016e-07
 9.522200e+04   2.458112e-05   4.422505e-07
 9.523400e+04   2.465651e-05   4.061513e-07
 9.524600e+04   2.554720e-05   2.483166e-07
 9.525800e+04   2.573753e-05   8.321985e-07
 9.527000e+04   2.576018e-05   9.085895e-07
 9.528200e+04   2.472330e-05   4.751025e-07
 9.529400e+04   2.539402e-05   7.458464e-07
 9.530600e+04   2.554438e-05   3.177529e-07
 9.531800e+04   2.560941e-05   3.990597e-07
 9.533000e+04   2.710386e-05   9.771829e-07
 9.534200e+04   2.560669e-05   4.271157e-07
 9.535400e+04   2.499884e-05   6.674228e-07
 9.536600e+04   2.519705e-05   4.980989e-07
 9.537800e+04   2.552754e-05   2.283881e-07
 9.539000e+04   2.609434e-05   5.412373e-07
 9.540200e+04   2.565446e-05   3.618666e-07
 9.541400e+04   2.450027e-05   4.245560e-07
 9.542600e+04   2.595117e-05   8.446928e-07
 9.543800e+04   2.750557e-05   1.986252e-06
 9.545000e+04   2.517702e-05   4.631325e-07
 9.546200e+04   2.562483e-05   6.739494e-07
 9.547400e+04   2.568374e-05   4.482209e-07
 9.548600e+04   2.561436e-05   3.965268e-07
 9.549800e+04   2.607972e-05   3.341519e-07
 9.551000e+04   2.564165e-05   3.178316e-07
 9.552200e+04   2.615740e-05   4.021666e-07
 9.553400e+04   2.694492e-05   5.171038e-07
 9.554600e+04   2.586337e-05   4.499478e-07
 9.555800e+04   2.647843e-05   3.424488e-07
 9.557000e+04   2.650157e-05   3.005100e-07
 9.558200e+04   2.653465e-05   4.642552e-07
 9.559400e+04   2.697421e-05   5.905246e-07
