Emu_lab bin centers    value    Error 
-inf   1.843733e-02   1.446803e-02
 9.500600e+04   1.768856e-07   1.768856e-07
 9.501800e+04   2.812971e-07   1.900833e-07
 9.503000e+04   3.920930e-07   2.769860e-07
 9.504200e+04   6.549370e-07   5.665156e-07
 9.505400e+04   4.233279e-08   4.233279e-08
 9.506600e+04   1.711568e-07   1.468739e-07
 9.507800e+04   5.852544e-07   5.630213e-07
 9.509000e+04   7.660374e-08   7.660374e-08
 9.510200e+04   3.117176e-07   3.117176e-07
 9.511400e+04   2.425498e-07   2.425498e-07
 9.512600e+04   2.184484e-07   2.047243e-07
 9.513800e+04   4.879645e-07   3.526987e-07
 9.515000e+04   1.403052e-06   1.161832e-06
 9.516200e+04   1.139909e-07   1.064701e-07
 9.517400e+04   1.213839e-07   9.738352e-08
 9.518600e+04   2.489405e-07   2.085315e-07
 9.519800e+04   1.550459e-07   1.538486e-07
 9.521000e+04   6.454545e-07   6.294310e-07
 9.522200e+04   8.558330e-08   8.558330e-08
 9.523400e+04   2.090988e-07   2.057623e-07
 9.524600e+04   1.135243e-07   7.618798e-08
 9.525800e+04   1.759474e-07   1.638418e-07
 9.527000e+04   1.076520e-07   8.890894e-08
 9.528200e+04   3.090420e-07   2.675965e-07
 9.529400e+04   6.160683e-08   5.316958e-08
 9.530600e+04   2.317669e-07   1.834967e-07
 9.531800e+04   1.732909e-07   1.644389e-07
 9.533000e+04   3.917982e-08   3.917982e-08
 9.534200e+04   3.188382e-07   2.167716e-07
 9.535400e+04   1.784825e-06   1.768778e-06
 9.536600e+04   3.815830e-09   3.815830e-09
 9.537800e+04   3.246651e-08   3.246651e-08
 9.539000e+04   1.747550e-07   1.487706e-07
 9.540200e+04   4.001543e-07   4.001543e-07
 9.541400e+04   9.419859e-07   9.240737e-07
 9.542600e+04   4.195557e-07   2.822012e-07
 9.543800e+04   5.001921e-07   3.986566e-07
 9.545000e+04   5.664058e-07   3.828717e-07
 9.546200e+04   8.528895e-08   8.528895e-08
 9.547400e+04   6.505766e-08   4.521433e-08
 9.548600e+04   1.252053e-07   1.252053e-07
 9.549800e+04   1.321246e-07   1.158599e-07
 9.551000e+04   2.894717e-07   2.764943e-07
 9.552200e+04   1.032566e-07   1.032566e-07
 9.553400e+04   1.717453e-07   1.386409e-07
 9.554600e+04   3.085545e-07   2.110790e-07
 9.555800e+04   1.469905e-07   1.469905e-07
 9.557000e+04   1.162138e-07   1.162138e-07
 9.558200e+04   9.822513e-08   9.822513e-08
 9.559400e+04   3.831508e-07   3.557121e-07
 9.560600e+04   5.783059e-07   4.569219e-07
 9.561800e+04   2.978337e-07   2.537405e-07
 9.563000e+04   3.591191e-07   3.583013e-07
 9.564200e+04   7.899436e-07   6.585348e-07
 9.565400e+04   8.321608e-07   5.743203e-07
 9.566600e+04   1.611961e-07   1.611961e-07
 9.567800e+04   5.404322e-07   5.404322e-07
 9.569000e+04   5.476771e-08   5.476771e-08
 9.570200e+04   1.008252e-07   1.008252e-07
 9.571400e+04   6.331156e-07   6.331156e-07
 9.572600e+04   3.929719e-07   3.929719e-07
 9.573800e+04   1.718682e-07   1.588582e-07
 9.575000e+04   9.337374e-08   9.337374e-08
 9.576200e+04   2.709478e-07   2.709478e-07
 9.577400e+04   1.189573e-06   1.145074e-06
 9.578600e+04   3.956594e-07   2.929862e-07
 9.579800e+04   9.357633e-08   8.598835e-08
 9.581000e+04   3.787324e-07   2.580085e-07
 9.582200e+04   1.822904e-07   1.748838e-07
 9.583400e+04   9.969457e-08   9.187737e-08
 9.584600e+04   1.648360e-07   1.173435e-07
 9.585800e+04   5.031538e-08   5.031538e-08
 9.587000e+04   1.669413e-07   1.669413e-07
