Emu_lab bin centers    value    Error 
-inf   5.395688e-03   8.045004e-05
 9.500600e+04   1.049976e-06   4.761503e-08
 9.501800e+04   1.110202e-06   7.189559e-08
 9.503000e+04   1.058063e-06   4.861427e-08
 9.504200e+04   1.069500e-06   4.731966e-08
 9.505400e+04   1.188289e-06   9.713863e-08
 9.506600e+04   1.160848e-06   6.044306e-08
 9.507800e+04   1.146444e-06   6.010020e-08
 9.509000e+04   1.046773e-06   5.248979e-08
 9.510200e+04   1.048471e-06   3.730265e-08
 9.511400e+04   1.147662e-06   5.799780e-08
 9.512600e+04   1.023399e-06   7.161388e-08
 9.513800e+04   1.135477e-06   6.352554e-08
 9.515000e+04   1.112812e-06   3.999240e-08
 9.516200e+04   1.204861e-06   4.943924e-08
 9.517400e+04   1.203490e-06   6.524205e-08
 9.518600e+04   1.137240e-06   4.264933e-08
 9.519800e+04   1.149054e-06   6.821538e-08
 9.521000e+04   9.857027e-07   7.249023e-08
 9.522200e+04   1.010716e-06   5.968122e-08
 9.523400e+04   1.057821e-06   4.519401e-08
 9.524600e+04   1.109707e-06   4.895018e-08
 9.525800e+04   1.038868e-06   4.812925e-08
 9.527000e+04   1.109844e-06   4.741692e-08
 9.528200e+04   1.146995e-06   4.640283e-08
 9.529400e+04   1.074776e-06   4.438216e-08
 9.530600e+04   1.094893e-06   2.944223e-08
 9.531800e+04   1.118746e-06   5.609360e-08
 9.533000e+04   1.199062e-06   7.008101e-08
 9.534200e+04   1.102776e-06   6.032134e-08
 9.535400e+04   1.125544e-06   4.117608e-08
 9.536600e+04   1.053133e-06   3.702395e-08
 9.537800e+04   1.018216e-06   3.588919e-08
 9.539000e+04   1.166229e-06   6.688677e-08
 9.540200e+04   1.042178e-06   3.943834e-08
 9.541400e+04   1.183465e-06   6.339962e-08
 9.542600e+04   1.084960e-06   5.023865e-08
 9.543800e+04   1.098303e-06   2.874324e-08
 9.545000e+04   1.062872e-06   4.225318e-08
 9.546200e+04   9.434060e-07   7.206982e-08
 9.547400e+04   1.151852e-06   3.738324e-08
 9.548600e+04   1.030982e-06   4.101729e-08
 9.549800e+04   1.101215e-06   3.658359e-08
 9.551000e+04   1.090259e-06   3.967085e-08
 9.552200e+04   1.091195e-06   6.881667e-08
 9.553400e+04   1.107120e-06   9.065968e-08
 9.554600e+04   1.134213e-06   4.915632e-08
 9.555800e+04   1.150859e-06   3.901764e-08
 9.557000e+04   1.040184e-06   3.890710e-08
 9.558200e+04   1.156734e-06   8.665432e-08
 9.559400e+04   1.096262e-06   6.250661e-08
 9.560600e+04   1.099347e-06   6.032267e-08
 9.561800e+04   1.073866e-06   5.201575e-08
 9.563000e+04   1.031100e-06   4.862332e-08
 9.564200e+04   1.041996e-06   3.911910e-08
 9.565400e+04   1.118397e-06   4.479474e-08
 9.566600e+04   1.094817e-06   5.060211e-08
 9.567800e+04   1.118825e-06   7.297345e-08
 9.569000e+04   1.064777e-06   4.823716e-08
 9.570200e+04   1.208092e-06   6.432861e-08
 9.571400e+04   1.124534e-06   7.541415e-08
 9.572600e+04   1.074279e-06   5.004312e-08
 9.573800e+04   1.044994e-06   3.119571e-08
 9.575000e+04   1.049525e-06   3.232752e-08
 9.576200e+04   1.081097e-06   6.482941e-08
 9.577400e+04   1.153411e-06   6.788565e-08
 9.578600e+04   1.147323e-06   5.117179e-08
 9.579800e+04   1.054056e-06   3.905355e-08
 9.581000e+04   1.031251e-06   5.589739e-08
 9.582200e+04   1.028118e-06   1.080498e-07
 9.583400e+04   1.203472e-06   8.768020e-08
 9.584600e+04   1.092991e-06   3.911887e-08
 9.585800e+04   1.155892e-06   6.464159e-08
 9.587000e+04   1.097589e-06   3.655017e-08
 9.588200e+04   1.052067e-06   5.527693e-08
 9.589400e+04   1.135134e-06   6.755574e-08
 9.590600e+04   1.083026e-06   2.833276e-08
 9.591800e+04   1.086378e-06   4.800337e-08
 9.593000e+04   1.073536e-06   4.767688e-08
 9.594200e+04   1.055222e-06   5.216119e-08
 9.595400e+04   9.948878e-07   5.362274e-08
 9.596600e+04   1.003951e-06   3.071429e-08
 9.597800e+04   1.145799e-06   3.477265e-08
 9.599000e+04   1.110732e-06   3.546942e-08
 9.600200e+04   1.111348e-06   4.207707e-08
 9.601400e+04   1.173773e-06   6.581728e-08
 9.602600e+04   1.117856e-06   7.940185e-08
 9.603800e+04   1.108856e-06   5.601081e-08
 9.605000e+04   1.097181e-06   5.246449e-08
 9.606200e+04   1.083266e-06   5.585754e-08
 9.607400e+04   1.042273e-06   4.017167e-08
 9.608600e+04   1.096995e-06   2.888357e-08
 9.609800e+04   1.050279e-06   4.953378e-08
 9.611000e+04   1.100586e-06   5.787004e-08
 9.612200e+04   1.118472e-06   5.942904e-08
 9.613400e+04   1.155262e-06   6.067365e-08
 9.614600e+04   9.591379e-07   5.312311e-08
 9.615800e+04   1.082821e-06   3.079806e-08
 9.617000e+04   1.176292e-06   4.301772e-08
 9.618200e+04   1.064945e-06   4.156835e-08
 9.619400e+04   1.131914e-06   3.609144e-08
 9.620600e+04   1.070989e-06   4.766983e-08
 9.621800e+04   1.042756e-06   3.764485e-08
 9.623000e+04   1.102111e-06   3.556166e-08
 9.624200e+04   1.112653e-06   6.258903e-08
 9.625400e+04   1.095832e-06   5.804791e-08
 9.626600e+04   1.169790e-06   5.623057e-08
 9.627800e+04   1.192586e-06   4.042759e-08
 9.629000e+04   1.103375e-06   4.636827e-08
 9.630200e+04   1.195204e-06   8.011872e-08
 9.631400e+04   1.065635e-06   3.338791e-08
 9.632600e+04   1.092763e-06   4.919261e-08
 9.633800e+04   1.180490e-06   5.669094e-08
 9.635000e+04   1.141789e-06   4.956609e-08
 9.636200e+04   1.153134e-06   5.318010e-08
 9.637400e+04   1.123995e-06   4.290952e-08
 9.638600e+04   1.064953e-06   3.774511e-08
 9.639800e+04   1.122624e-06   3.987799e-08
 9.641000e+04   1.205444e-06   6.553180e-08
 9.642200e+04   1.156887e-06   4.794381e-08
 9.643400e+04   1.135903e-06   1.148193e-07
 9.644600e+04   1.124902e-06   4.423091e-08
 9.645800e+04   1.162771e-06   5.476935e-08
 9.647000e+04   1.169296e-06   5.199138e-08
 9.648200e+04   1.279100e-06   4.534543e-08
 9.649400e+04   1.088956e-06   3.615634e-08
 9.650600e+04   1.074870e-06   6.482748e-08
 9.651800e+04   1.123727e-06   1.031724e-07
 9.653000e+04   1.133285e-06   6.062367e-08
 9.654200e+04   1.218834e-06   3.970824e-08
 9.655400e+04   1.189662e-06   5.148945e-08
 9.656600e+04   1.141448e-06   7.383007e-08
 9.657800e+04   1.177894e-06   4.850655e-08
 9.659000e+04   1.231358e-06   6.023082e-08
 9.660200e+04   1.149186e-06   3.765017e-08
 9.661400e+04   1.295685e-06   5.457234e-08
 9.662600e+04   1.256141e-06   5.033947e-08
 9.663800e+04   1.220752e-06   5.466623e-08
 9.665000e+04   1.247168e-06   5.492822e-08
 9.666200e+04   1.213402e-06   4.653088e-08
 9.667400e+04   1.142574e-06   4.104268e-08
 9.668600e+04   1.167510e-06   3.964918e-08
 9.669800e+04   1.281471e-06   4.603434e-08
 9.671000e+04   1.017079e-06   8.374103e-08
 9.672200e+04   1.210978e-06   5.950419e-08
 9.673400e+04   1.221351e-06   7.441620e-08
 9.674600e+04   1.145450e-06   5.636512e-08
 9.675800e+04   1.281383e-06   8.641577e-08
 9.677000e+04   1.314339e-06   6.252018e-08
 9.678200e+04   1.219651e-06   5.265644e-08
 9.679400e+04   1.356912e-06   8.142664e-08
 9.680600e+04   1.204993e-06   6.440358e-08
 9.681800e+04   1.170677e-06   5.305379e-08
 9.683000e+04   1.292650e-06   5.598861e-08
 9.684200e+04   1.221244e-06   4.218795e-08
 9.685400e+04   1.101920e-06   4.642393e-08
 9.686600e+04   1.265007e-06   4.370921e-08
 9.687800e+04   1.173881e-06   6.897809e-08
 9.689000e+04   1.193838e-06   4.174099e-08
 9.690200e+04   1.255858e-06   4.523471e-08
 9.691400e+04   1.415709e-06   9.935763e-08
 9.692600e+04   1.310604e-06   7.044062e-08
 9.693800e+04   1.211654e-06   8.600856e-08
 9.695000e+04   1.171638e-06   4.215412e-08
 9.696200e+04   1.333743e-06   6.900363e-08
 9.697400e+04   1.155738e-06   3.518170e-08
 9.698600e+04   1.290702e-06   5.236731e-08
 9.699800e+04   1.176795e-06   4.796476e-08
 9.701000e+04   1.318022e-06   4.088756e-08
 9.702200e+04   1.236149e-06   4.187602e-08
