Emu_lab bin centers    value    Error 
-inf   3.204411e-01   8.430786e-04
 9.500600e+04   2.261655e-05   5.187926e-07
 9.501800e+04   2.138842e-05   4.028655e-07
 9.503000e+04   2.144252e-05   5.459967e-07
 9.504200e+04   2.171057e-05   3.540679e-07
 9.505400e+04   2.144604e-05   6.114919e-07
 9.506600e+04   2.258777e-05   5.776768e-07
 9.507800e+04   2.189267e-05   5.156774e-07
 9.509000e+04   2.231266e-05   4.088963e-07
 9.510200e+04   2.212766e-05   4.988044e-07
 9.511400e+04   2.152749e-05   3.973611e-07
 9.512600e+04   2.274473e-05   4.076039e-07
 9.513800e+04   2.227898e-05   4.350788e-07
 9.515000e+04   2.295276e-05   3.563865e-07
 9.516200e+04   2.141368e-05   4.113727e-07
 9.517400e+04   2.190250e-05   3.391314e-07
 9.518600e+04   2.222931e-05   4.455030e-07
 9.519800e+04   2.258859e-05   4.684252e-07
 9.521000e+04   2.267425e-05   4.355032e-07
 9.522200e+04   2.289123e-05   4.203638e-07
 9.523400e+04   2.291333e-05   3.624244e-07
 9.524600e+04   2.285795e-05   3.206420e-07
 9.525800e+04   2.349006e-05   6.734019e-07
 9.527000e+04   2.274190e-05   4.552882e-07
 9.528200e+04   2.333948e-05   5.437632e-07
 9.529400e+04   2.303649e-05   5.740559e-07
 9.530600e+04   2.257194e-05   4.313531e-07
 9.531800e+04   2.280675e-05   3.982529e-07
 9.533000e+04   2.322573e-05   3.851151e-07
 9.534200e+04   2.248697e-05   4.563805e-07
 9.535400e+04   2.432011e-05   5.992616e-07
 9.536600e+04   2.321894e-05   3.592144e-07
 9.537800e+04   2.352387e-05   4.779729e-07
 9.539000e+04   2.341702e-05   4.422335e-07
 9.540200e+04   2.234575e-05   3.774282e-07
 9.541400e+04   2.267708e-05   3.278450e-07
 9.542600e+04   2.338552e-05   3.820985e-07
 9.543800e+04   2.449283e-05   3.856190e-07
 9.545000e+04   2.367869e-05   3.306204e-07
 9.546200e+04   2.380024e-05   3.529536e-07
 9.547400e+04   2.326970e-05   2.210337e-07
 9.548600e+04   2.400140e-05   3.969201e-07
 9.549800e+04   2.367298e-05   3.712567e-07
 9.551000e+04   2.357587e-05   3.619286e-07
 9.552200e+04   2.308689e-05   3.732035e-07
 9.553400e+04   2.412980e-05   3.895525e-07
 9.554600e+04   2.364859e-05   4.196323e-07
 9.555800e+04   2.396631e-05   4.180568e-07
 9.557000e+04   2.476604e-05   3.143413e-07
 9.558200e+04   2.422053e-05   4.907516e-07
 9.559400e+04   2.457887e-05   5.675310e-07
 9.560600e+04   2.419154e-05   4.659221e-07
 9.561800e+04   2.464716e-05   3.379536e-07
 9.563000e+04   2.468343e-05   4.190637e-07
 9.564200e+04   2.460099e-05   3.770428e-07
 9.565400e+04   2.450174e-05   3.680331e-07
 9.566600e+04   2.399417e-05   4.286566e-07
 9.567800e+04   2.507819e-05   5.983931e-07
 9.569000e+04   2.430948e-05   4.512394e-07
 9.570200e+04   2.449455e-05   4.988837e-07
 9.571400e+04   2.471478e-05   4.171740e-07
 9.572600e+04   2.493707e-05   5.299921e-07
 9.573800e+04   2.368032e-05   4.156211e-07
 9.575000e+04   2.453640e-05   2.945164e-07
 9.576200e+04   2.462893e-05   3.667488e-07
 9.577400e+04   2.494192e-05   5.009674e-07
 9.578600e+04   2.543344e-05   3.839623e-07
 9.579800e+04   2.557980e-05   4.413811e-07
 9.581000e+04   2.465508e-05   4.439278e-07
 9.582200e+04   2.586272e-05   4.067018e-07
 9.583400e+04   2.476993e-05   5.457566e-07
 9.584600e+04   2.470855e-05   5.561144e-07
 9.585800e+04   2.546801e-05   4.695568e-07
 9.587000e+04   2.631934e-05   4.951513e-07
 9.588200e+04   2.565445e-05   4.582174e-07
 9.589400e+04   2.564182e-05   3.930177e-07
 9.590600e+04   2.484157e-05   4.895243e-07
 9.591800e+04   2.731080e-05   5.800032e-07
 9.593000e+04   2.537263e-05   3.950855e-07
 9.594200e+04   2.653407e-05   5.287076e-07
 9.595400e+04   2.573564e-05   5.161770e-07
 9.596600e+04   2.674220e-05   4.430257e-07
 9.597800e+04   2.599000e-05   4.053349e-07
 9.599000e+04   2.658306e-05   4.344850e-07
 9.600200e+04   2.540329e-05   3.929343e-07
 9.601400e+04   2.681512e-05   5.019600e-07
 9.602600e+04   2.573486e-05   4.123703e-07
 9.603800e+04   2.602689e-05   7.314433e-07
 9.605000e+04   2.582926e-05   5.622830e-07
 9.606200e+04   2.680830e-05   3.374328e-07
 9.607400e+04   2.682453e-05   5.166854e-07
 9.608600e+04   2.634576e-05   5.272993e-07
 9.609800e+04   2.694931e-05   3.925042e-07
 9.611000e+04   2.692651e-05   5.032646e-07
 9.612200e+04   2.646498e-05   4.335560e-07
 9.613400e+04   2.709732e-05   5.094525e-07
 9.614600e+04   2.700137e-05   4.654637e-07
 9.615800e+04   2.699931e-05   4.457040e-07
 9.617000e+04   2.863083e-05   5.113876e-07
 9.618200e+04   2.767294e-05   4.605151e-07
 9.619400e+04   2.746290e-05   4.169070e-07
 9.620600e+04   2.803561e-05   4.716712e-07
 9.621800e+04   2.727263e-05   3.354865e-07
 9.623000e+04   2.875965e-05   4.091894e-07
 9.624200e+04   2.736610e-05   5.099284e-07
 9.625400e+04   2.833333e-05   4.145279e-07
 9.626600e+04   2.793235e-05   4.233667e-07
 9.627800e+04   2.854313e-05   5.688528e-07
 9.629000e+04   2.888259e-05   6.529427e-07
 9.630200e+04   2.789823e-05   6.706319e-07
 9.631400e+04   2.870566e-05   4.748202e-07
 9.632600e+04   2.839773e-05   5.099697e-07
 9.633800e+04   2.887465e-05   5.405549e-07
 9.635000e+04   2.872672e-05   5.613313e-07
 9.636200e+04   2.926810e-05   4.947416e-07
