Emu_lab bin centers    value    Error 
-inf   2.209706e-02   6.830873e-06
 9.501500e+04   1.968665e-06   1.379952e-08
 9.504500e+04   2.007448e-06   1.248438e-08
 9.507500e+04   2.035250e-06   1.300737e-08
 9.510500e+04   2.045538e-06   1.128011e-08
 9.513500e+04   2.050057e-06   1.542859e-08
 9.516500e+04   2.084168e-06   1.165429e-08
 9.519500e+04   2.088929e-06   1.388910e-08
 9.522500e+04   2.124738e-06   1.166958e-08
 9.525500e+04   2.101974e-06   1.376952e-08
 9.528500e+04   2.142035e-06   1.270628e-08
 9.531500e+04   2.142394e-06   1.424663e-08
 9.534500e+04   2.154322e-06   1.380555e-08
 9.537500e+04   2.184416e-06   1.250208e-08
 9.540500e+04   2.204403e-06   1.521891e-08
 9.543500e+04   2.203631e-06   1.405493e-08
 9.546500e+04   2.242477e-06   1.980144e-08
 9.549500e+04   2.217742e-06   1.520360e-08
 9.552500e+04   2.254235e-06   1.921070e-08
 9.555500e+04   2.248564e-06   1.054858e-08
 9.558500e+04   2.283339e-06   1.586908e-08
 9.561500e+04   2.323907e-06   1.464779e-08
 9.564500e+04   2.309208e-06   1.425192e-08
 9.567500e+04   2.337870e-06   1.319058e-08
 9.570500e+04   2.313354e-06   1.306010e-08
 9.573500e+04   2.351095e-06   1.781797e-08
 9.576500e+04   2.407366e-06   1.576846e-08
 9.579500e+04   2.399863e-06   1.898689e-08
 9.582500e+04   2.393592e-06   1.622480e-08
 9.585500e+04   2.437571e-06   1.467570e-08
 9.588500e+04   2.458313e-06   1.295953e-08
 9.591500e+04   2.473576e-06   1.667683e-08
 9.594500e+04   2.481843e-06   1.909879e-08
 9.597500e+04   2.512633e-06   1.359291e-08
 9.600500e+04   2.514702e-06   1.579609e-08
 9.603500e+04   2.541641e-06   2.008293e-08
 9.606500e+04   2.548715e-06   1.397604e-08
 9.609500e+04   2.579833e-06   1.834646e-08
 9.612500e+04   2.594531e-06   1.523304e-08
 9.615500e+04   2.638236e-06   1.350039e-08
 9.618500e+04   2.692546e-06   1.722704e-08
 9.621500e+04   2.634603e-06   2.039880e-08
 9.624500e+04   2.665872e-06   1.331208e-08
 9.627500e+04   2.696691e-06   1.462710e-08
 9.630500e+04   2.720950e-06   1.607909e-08
 9.633500e+04   2.780619e-06   1.755009e-08
 9.636500e+04   2.759068e-06   1.492986e-08
 9.639500e+04   2.791666e-06   1.307777e-08
 9.642500e+04   2.815227e-06   1.812912e-08
 9.645500e+04   2.851101e-06   1.544330e-08
 9.648500e+04   2.889029e-06   1.759247e-08
 9.651500e+04   2.878987e-06   1.539953e-08
 9.654500e+04   2.916145e-06   1.577332e-08
 9.657500e+04   2.961188e-06   1.760054e-08
 9.660500e+04   2.958993e-06   1.768987e-08
 9.663500e+04   2.959221e-06   1.967383e-08
 9.666500e+04   3.043322e-06   2.333147e-08
 9.669500e+04   3.074924e-06   1.608299e-08
 9.672500e+04   3.106026e-06   1.980190e-08
 9.675500e+04   3.131642e-06   1.875696e-08
 9.678500e+04   3.128770e-06   2.271180e-08
 9.681500e+04   3.146022e-06   1.834462e-08
 9.684500e+04   3.199326e-06   2.408539e-08
 9.687500e+04   3.260797e-06   2.016628e-08
 9.690500e+04   3.256017e-06   1.587530e-08
 9.693500e+04   3.333355e-06   2.312821e-08
 9.696500e+04   3.318686e-06   1.920865e-08
 9.699500e+04   3.393284e-06   1.853737e-08
 9.702500e+04   3.397162e-06   2.369047e-08
 9.705500e+04   3.420048e-06   1.930862e-08
 9.708500e+04   3.443920e-06   2.182944e-08
 9.711500e+04   3.492143e-06   1.796308e-08
 9.714500e+04   3.562469e-06   1.570031e-08
 9.717500e+04   3.550860e-06   1.669730e-08
 9.720500e+04   3.625438e-06   1.915271e-08
 9.723500e+04   3.676906e-06   1.801416e-08
 9.726500e+04   3.754246e-06   2.057182e-08
 9.729500e+04   3.745803e-06   1.647359e-08
 9.732500e+04   3.741567e-06   3.149045e-08
 9.735500e+04   3.837903e-06   2.283728e-08
 9.738500e+04   3.888412e-06   1.973866e-08
 9.741500e+04   3.931623e-06   1.715073e-08
 9.744500e+04   3.954341e-06   2.333191e-08
 9.747500e+04   4.030665e-06   2.879955e-08
 9.750500e+04   4.046059e-06   1.513556e-08
 9.753500e+04   4.132033e-06   2.388106e-08
 9.756500e+04   4.193966e-06   2.670367e-08
 9.759500e+04   4.238523e-06   2.387680e-08
 9.762500e+04   4.272228e-06   2.521795e-08
 9.765500e+04   4.356428e-06   2.516811e-08
 9.768500e+04   4.375214e-06   3.186641e-08
 9.771500e+04   4.485270e-06   1.834644e-08
 9.774500e+04   4.528320e-06   3.634340e-08
 9.777500e+04   4.577576e-06   2.275903e-08
 9.780500e+04   4.645400e-06   2.665229e-08
 9.783500e+04   4.692658e-06   2.061661e-08
 9.786500e+04   4.779699e-06   2.730819e-08
 9.789500e+04   4.890938e-06   2.488323e-08
 9.792500e+04   4.922481e-06   2.933312e-08
 9.795500e+04   4.934864e-06   3.178505e-08
 9.798500e+04   5.079057e-06   2.752176e-08
 9.801500e+04   5.178352e-06   2.580301e-08
 9.804500e+04   5.210441e-06   2.857769e-08
 9.807500e+04   5.308505e-06   2.320518e-08
 9.810500e+04   5.433647e-06   3.232173e-08
 9.813500e+04   5.494844e-06   2.287109e-08
 9.816500e+04   5.498567e-06   2.837885e-08
 9.819500e+04   5.681484e-06   3.440310e-08
 9.822500e+04   5.796203e-06   2.619555e-08
 9.825500e+04   5.870149e-06   2.621985e-08
 9.828500e+04   5.963654e-06   3.797128e-08
 9.831500e+04   6.060102e-06   3.487692e-08
 9.834500e+04   6.190478e-06   2.486589e-08
 9.837500e+04   6.371227e-06   3.249648e-08
 9.840500e+04   6.389246e-06   2.475937e-08
 9.843500e+04   6.600849e-06   2.719737e-08
 9.846500e+04   6.659015e-06   4.134617e-08
 9.849500e+04   6.792831e-06   3.517335e-08
 9.852500e+04   6.930812e-06   3.217055e-08
 9.855500e+04   7.078833e-06   3.838820e-08
 9.858500e+04   7.229211e-06   2.754610e-08
 9.861500e+04   7.422520e-06   2.572084e-08
 9.864500e+04   7.545912e-06   3.611148e-08
 9.867500e+04   7.741114e-06   3.157383e-08
 9.870500e+04   7.989199e-06   4.366619e-08
 9.873500e+04   8.085079e-06   3.538692e-08
 9.876500e+04   8.221910e-06   4.686514e-08
 9.879500e+04   8.435200e-06   4.331067e-08
 9.882500e+04   8.785901e-06   4.781873e-08
 9.885500e+04   9.014626e-06   4.256749e-08
 9.888500e+04   9.244161e-06   3.663578e-08
 9.891500e+04   9.557485e-06   4.760987e-08
 9.894500e+04   9.760100e-06   2.768572e-08
 9.897500e+04   1.007540e-05   3.714780e-08
 9.900500e+04   1.031589e-05   3.786986e-08
 9.903500e+04   1.066940e-05   5.060372e-08
 9.906500e+04   1.110140e-05   4.901376e-08
 9.909500e+04   1.149425e-05   4.166058e-08
 9.912500e+04   1.189957e-05   7.130712e-08
 9.915500e+04   1.233535e-05   4.422827e-08
 9.918500e+04   1.276705e-05   4.521258e-08
 9.921500e+04   1.319339e-05   3.854291e-08
 9.924500e+04   1.366067e-05   5.330405e-08
 9.927500e+04   1.433341e-05   3.878005e-08
 9.930500e+04   1.488189e-05   7.913630e-08
 9.933500e+04   1.564707e-05   7.668946e-08
 9.936500e+04   1.651756e-05   7.175433e-08
 9.939500e+04   1.726889e-05   6.395626e-08
 9.942500e+04   1.824346e-05   7.702227e-08
 9.945500e+04   1.914414e-05   6.549077e-08
 9.948500e+04   2.029684e-05   8.224338e-08
 9.951500e+04   2.168032e-05   8.553481e-08
 9.954500e+04   2.324166e-05   9.274195e-08
 9.957500e+04   2.476049e-05   8.172123e-08
 9.960500e+04   2.677201e-05   9.327746e-08
 9.963500e+04   2.908115e-05   8.412516e-08
 9.966500e+04   3.175106e-05   1.039292e-07
 9.969500e+04   3.484230e-05   9.617030e-08
 9.972500e+04   3.926954e-05   9.877160e-08
 9.975500e+04   4.410324e-05   1.472338e-07
 9.978500e+04   5.077291e-05   1.245206e-07
 9.981500e+04   6.036759e-05   1.946585e-07
 9.984500e+04   7.308633e-05   2.182365e-07
 9.987500e+04   9.295533e-05   1.658954e-07
 9.990500e+04   1.269753e-04   3.714314e-07
 9.993500e+04   2.029761e-04   6.331646e-07
 9.996500e+04   5.399285e-04   1.589493e-06
 9.999500e+04   1.445283e-01   3.652752e-05
 1.000250e+05   0.000000e+00   0.000000e+00
 1.000550e+05   0.000000e+00   0.000000e+00
 1.000850e+05   0.000000e+00   0.000000e+00
 1.001150e+05   0.000000e+00   0.000000e+00
 1.001450e+05   0.000000e+00   0.000000e+00
 1.001750e+05   0.000000e+00   0.000000e+00
 1.002050e+05   0.000000e+00   0.000000e+00
 1.002350e+05   0.000000e+00   0.000000e+00
 1.002650e+05   0.000000e+00   0.000000e+00
 1.002950e+05   0.000000e+00   0.000000e+00
 1.003250e+05   0.000000e+00   0.000000e+00
 1.003550e+05   0.000000e+00   0.000000e+00
 1.003850e+05   0.000000e+00   0.000000e+00
 1.004150e+05   0.000000e+00   0.000000e+00
 1.004450e+05   0.000000e+00   0.000000e+00
 1.004750e+05   0.000000e+00   0.000000e+00
 1.005050e+05   0.000000e+00   0.000000e+00
 1.005350e+05   0.000000e+00   0.000000e+00
 1.005650e+05   0.000000e+00   0.000000e+00
 1.005950e+05   0.000000e+00   0.000000e+00
 1.006250e+05   0.000000e+00   0.000000e+00
 1.006550e+05   0.000000e+00   0.000000e+00
 1.006850e+05   0.000000e+00   0.000000e+00
 1.007150e+05   0.000000e+00   0.000000e+00
 1.007450e+05   0.000000e+00   0.000000e+00
 1.007750e+05   0.000000e+00   0.000000e+00
 1.008050e+05   0.000000e+00   0.000000e+00
 1.008350e+05   0.000000e+00   0.000000e+00
 1.008650e+05   0.000000e+00   0.000000e+00
 1.008950e+05   0.000000e+00   0.000000e+00
 1.009250e+05   0.000000e+00   0.000000e+00
 1.009550e+05   0.000000e+00   0.000000e+00
 1.009850e+05   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
