Emu_lab bin centers    value    Error 
-inf   2.209952e-02   7.142408e-06
 9.501500e+04   2.009647e-06   1.311839e-08
 9.504500e+04   2.005105e-06   1.562707e-08
 9.507500e+04   2.028975e-06   1.129495e-08
 9.510500e+04   2.071125e-06   1.081031e-08
 9.513500e+04   2.062800e-06   1.215404e-08
 9.516500e+04   2.066723e-06   1.220179e-08
 9.519500e+04   2.128209e-06   1.130193e-08
 9.522500e+04   2.113951e-06   1.421632e-08
 9.525500e+04   2.125230e-06   1.235378e-08
 9.528500e+04   2.169267e-06   9.961726e-09
 9.531500e+04   2.156402e-06   1.439243e-08
 9.534500e+04   2.149468e-06   1.061214e-08
 9.537500e+04   2.144907e-06   1.570731e-08
 9.540500e+04   2.201519e-06   1.216933e-08
 9.543500e+04   2.175569e-06   1.309398e-08
 9.546500e+04   2.223911e-06   1.345163e-08
 9.549500e+04   2.237841e-06   1.554938e-08
 9.552500e+04   2.251547e-06   1.571086e-08
 9.555500e+04   2.258423e-06   1.189274e-08
 9.558500e+04   2.259805e-06   1.241587e-08
 9.561500e+04   2.306041e-06   1.924446e-08
 9.564500e+04   2.301807e-06   1.372439e-08
 9.567500e+04   2.348312e-06   1.300736e-08
 9.570500e+04   2.348648e-06   1.577623e-08
 9.573500e+04   2.355629e-06   1.439997e-08
 9.576500e+04   2.397144e-06   1.191576e-08
 9.579500e+04   2.413318e-06   1.756104e-08
 9.582500e+04   2.391091e-06   1.051425e-08
 9.585500e+04   2.461514e-06   1.280577e-08
 9.588500e+04   2.466231e-06   1.503756e-08
 9.591500e+04   2.459809e-06   1.522351e-08
 9.594500e+04   2.515139e-06   1.293243e-08
 9.597500e+04   2.485913e-06   1.846978e-08
 9.600500e+04   2.504672e-06   1.588025e-08
 9.603500e+04   2.538178e-06   1.255059e-08
 9.606500e+04   2.562317e-06   1.476472e-08
 9.609500e+04   2.593475e-06   1.285385e-08
 9.612500e+04   2.613954e-06   1.565756e-08
 9.615500e+04   2.633708e-06   1.688387e-08
 9.618500e+04   2.639445e-06   1.621966e-08
 9.621500e+04   2.674036e-06   1.562195e-08
 9.624500e+04   2.691821e-06   1.452728e-08
 9.627500e+04   2.729329e-06   1.638402e-08
 9.630500e+04   2.734577e-06   1.344844e-08
 9.633500e+04   2.752532e-06   1.711051e-08
 9.636500e+04   2.794429e-06   1.433068e-08
 9.639500e+04   2.820155e-06   1.578877e-08
 9.642500e+04   2.824634e-06   1.759221e-08
 9.645500e+04   2.837869e-06   1.651055e-08
 9.648500e+04   2.868515e-06   1.475325e-08
 9.651500e+04   2.899264e-06   1.493917e-08
 9.654500e+04   2.946810e-06   1.302464e-08
 9.657500e+04   2.962688e-06   1.713611e-08
 9.660500e+04   2.989430e-06   1.394176e-08
 9.663500e+04   3.006359e-06   1.700147e-08
 9.666500e+04   2.980599e-06   1.650280e-08
 9.669500e+04   3.057071e-06   1.342759e-08
 9.672500e+04   3.071569e-06   1.678268e-08
 9.675500e+04   3.131465e-06   2.009298e-08
 9.678500e+04   3.148056e-06   1.497147e-08
 9.681500e+04   3.179247e-06   1.646579e-08
 9.684500e+04   3.209300e-06   1.495970e-08
 9.687500e+04   3.238963e-06   2.029879e-08
 9.690500e+04   3.311911e-06   1.505331e-08
 9.693500e+04   3.319615e-06   1.624927e-08
 9.696500e+04   3.337028e-06   1.823019e-08
 9.699500e+04   3.372428e-06   1.923583e-08
 9.702500e+04   3.436741e-06   2.006585e-08
 9.705500e+04   3.428150e-06   1.460415e-08
 9.708500e+04   3.490260e-06   1.862963e-08
 9.711500e+04   3.490856e-06   1.599730e-08
 9.714500e+04   3.515932e-06   1.455019e-08
 9.717500e+04   3.584978e-06   1.723123e-08
 9.720500e+04   3.632018e-06   2.160130e-08
 9.723500e+04   3.695865e-06   1.783287e-08
 9.726500e+04   3.751270e-06   1.919391e-08
 9.729500e+04   3.744705e-06   1.969348e-08
 9.732500e+04   3.855405e-06   1.239767e-08
 9.735500e+04   3.827214e-06   1.725032e-08
 9.738500e+04   3.878902e-06   2.026558e-08
 9.741500e+04   3.903027e-06   1.632455e-08
 9.744500e+04   3.971857e-06   1.655188e-08
 9.747500e+04   4.046713e-06   1.843479e-08
 9.750500e+04   4.063772e-06   1.502187e-08
 9.753500e+04   4.119589e-06   2.391523e-08
 9.756500e+04   4.168362e-06   1.443029e-08
 9.759500e+04   4.234533e-06   1.987857e-08
 9.762500e+04   4.268991e-06   2.519680e-08
 9.765500e+04   4.340069e-06   2.277792e-08
 9.768500e+04   4.402009e-06   2.220337e-08
 9.771500e+04   4.426716e-06   1.582947e-08
 9.774500e+04   4.482335e-06   1.865770e-08
 9.777500e+04   4.588927e-06   1.931196e-08
 9.780500e+04   4.644200e-06   2.158843e-08
 9.783500e+04   4.722207e-06   2.272952e-08
 9.786500e+04   4.776410e-06   2.137509e-08
 9.789500e+04   4.815069e-06   2.446490e-08
 9.792500e+04   4.859564e-06   2.306274e-08
 9.795500e+04   4.990159e-06   2.369000e-08
 9.798500e+04   5.064552e-06   2.284928e-08
 9.801500e+04   5.181460e-06   2.464274e-08
 9.804500e+04   5.220536e-06   2.227427e-08
 9.807500e+04   5.385014e-06   2.020354e-08
 9.810500e+04   5.375289e-06   2.042872e-08
 9.813500e+04   5.452718e-06   2.575478e-08
 9.816500e+04   5.622672e-06   2.362896e-08
 9.819500e+04   5.672397e-06   2.809322e-08
 9.822500e+04   5.744000e-06   1.892131e-08
 9.825500e+04   5.875430e-06   2.713378e-08
 9.828500e+04   6.024286e-06   3.211638e-08
 9.831500e+04   6.102846e-06   2.589985e-08
 9.834500e+04   6.179376e-06   1.603410e-08
 9.837500e+04   6.297064e-06   2.760642e-08
 9.840500e+04   6.430368e-06   2.924728e-08
 9.843500e+04   6.467293e-06   3.373120e-08
 9.846500e+04   6.650273e-06   2.735594e-08
 9.849500e+04   6.793149e-06   2.934895e-08
 9.852500e+04   6.942922e-06   2.127705e-08
 9.855500e+04   7.086189e-06   3.201966e-08
 9.858500e+04   7.244811e-06   3.117508e-08
 9.861500e+04   7.373905e-06   2.455705e-08
 9.864500e+04   7.583885e-06   3.951603e-08
 9.867500e+04   7.741539e-06   2.838955e-08
 9.870500e+04   7.960163e-06   3.012815e-08
 9.873500e+04   8.121152e-06   3.653775e-08
 9.876500e+04   8.372944e-06   3.918118e-08
 9.879500e+04   8.474249e-06   4.883012e-08
 9.882500e+04   8.828572e-06   4.163633e-08
 9.885500e+04   8.991271e-06   3.219179e-08
 9.888500e+04   9.198028e-06   4.052216e-08
 9.891500e+04   9.521517e-06   3.660058e-08
 9.894500e+04   9.812032e-06   3.367472e-08
 9.897500e+04   1.009830e-05   3.014339e-08
 9.900500e+04   1.036716e-05   4.234792e-08
 9.903500e+04   1.070493e-05   4.867332e-08
 9.906500e+04   1.104464e-05   5.009100e-08
 9.909500e+04   1.145773e-05   4.656391e-08
 9.912500e+04   1.188913e-05   4.530324e-08
 9.915500e+04   1.218025e-05   4.345645e-08
 9.918500e+04   1.272841e-05   5.649580e-08
 9.921500e+04   1.338062e-05   4.148284e-08
 9.924500e+04   1.375426e-05   5.255484e-08
 9.927500e+04   1.439513e-05   5.157277e-08
 9.930500e+04   1.495766e-05   5.022406e-08
 9.933500e+04   1.551384e-05   4.803932e-08
 9.936500e+04   1.643720e-05   3.053017e-08
 9.939500e+04   1.722937e-05   5.871154e-08
 9.942500e+04   1.823813e-05   6.170391e-08
 9.945500e+04   1.923670e-05   7.139181e-08
 9.948500e+04   2.051090e-05   5.922302e-08
 9.951500e+04   2.173594e-05   6.084761e-08
 9.954500e+04   2.304867e-05   5.295262e-08
 9.957500e+04   2.482254e-05   6.972184e-08
 9.960500e+04   2.688340e-05   7.134083e-08
 9.963500e+04   2.900153e-05   9.313976e-08
 9.966500e+04   3.157948e-05   8.836989e-08
 9.969500e+04   3.492729e-05   8.099422e-08
 9.972500e+04   3.907466e-05   8.808760e-08
 9.975500e+04   4.421645e-05   1.415094e-07
 9.978500e+04   5.090324e-05   1.213180e-07
 9.981500e+04   6.009539e-05   1.399744e-07
 9.984500e+04   7.297624e-05   1.627807e-07
 9.987500e+04   9.217210e-05   2.533757e-07
 9.990500e+04   1.267043e-04   2.294893e-07
 9.993500e+04   2.033116e-04   5.364152e-07
 9.996500e+04   5.426904e-04   9.465740e-07
 9.999500e+04   1.444694e-01   2.697357e-05
 1.000250e+05   0.000000e+00   0.000000e+00
 1.000550e+05   0.000000e+00   0.000000e+00
 1.000850e+05   0.000000e+00   0.000000e+00
 1.001150e+05   0.000000e+00   0.000000e+00
 1.001450e+05   0.000000e+00   0.000000e+00
 1.001750e+05   0.000000e+00   0.000000e+00
 1.002050e+05   0.000000e+00   0.000000e+00
 1.002350e+05   0.000000e+00   0.000000e+00
 1.002650e+05   0.000000e+00   0.000000e+00
 1.002950e+05   0.000000e+00   0.000000e+00
 1.003250e+05   0.000000e+00   0.000000e+00
 1.003550e+05   0.000000e+00   0.000000e+00
 1.003850e+05   0.000000e+00   0.000000e+00
 1.004150e+05   0.000000e+00   0.000000e+00
 1.004450e+05   0.000000e+00   0.000000e+00
 1.004750e+05   0.000000e+00   0.000000e+00
 1.005050e+05   0.000000e+00   0.000000e+00
 1.005350e+05   0.000000e+00   0.000000e+00
 1.005650e+05   0.000000e+00   0.000000e+00
 1.005950e+05   0.000000e+00   0.000000e+00
 1.006250e+05   0.000000e+00   0.000000e+00
 1.006550e+05   0.000000e+00   0.000000e+00
 1.006850e+05   0.000000e+00   0.000000e+00
 1.007150e+05   0.000000e+00   0.000000e+00
 1.007450e+05   0.000000e+00   0.000000e+00
 1.007750e+05   0.000000e+00   0.000000e+00
 1.008050e+05   0.000000e+00   0.000000e+00
 1.008350e+05   0.000000e+00   0.000000e+00
 1.008650e+05   0.000000e+00   0.000000e+00
 1.008950e+05   0.000000e+00   0.000000e+00
 1.009250e+05   0.000000e+00   0.000000e+00
 1.009550e+05   0.000000e+00   0.000000e+00
 1.009850e+05   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
