Emu bin centers    value    Error 
-inf   2.017318e-02   2.651998e-04
 9.500600e+04   1.804875e-06   6.163197e-08
 9.501800e+04   1.830496e-06   7.713172e-08
 9.503000e+04   1.749848e-06   7.531255e-08
 9.504200e+04   1.840550e-06   7.759451e-08
 9.505400e+04   1.730386e-06   4.117395e-08
 9.506600e+04   1.911097e-06   1.007764e-07
 9.507800e+04   1.999937e-06   8.607640e-08
 9.509000e+04   1.851370e-06   8.793837e-08
 9.510200e+04   1.821577e-06   5.841620e-08
 9.511400e+04   1.964869e-06   5.801498e-08
 9.512600e+04   2.040833e-06   5.678149e-08
 9.513800e+04   1.839915e-06   9.342279e-08
 9.515000e+04   2.025261e-06   6.827563e-08
 9.516200e+04   1.877211e-06   8.196746e-08
 9.517400e+04   2.016220e-06   9.072633e-08
 9.518600e+04   1.888891e-06   8.578107e-08
 9.519800e+04   1.953036e-06   7.973508e-08
 9.521000e+04   2.044440e-06   6.907337e-08
 9.522200e+04   1.989231e-06   5.494874e-08
 9.523400e+04   2.025585e-06   9.185634e-08
 9.524600e+04   1.993761e-06   7.806681e-08
 9.525800e+04   1.992006e-06   8.923548e-08
 9.527000e+04   1.960517e-06   4.932442e-08
 9.528200e+04   2.107892e-06   8.286591e-08
 9.529400e+04   2.015170e-06   7.421420e-08
 9.530600e+04   2.040865e-06   5.222211e-08
 9.531800e+04   2.066146e-06   6.968512e-08
 9.533000e+04   1.995505e-06   8.022767e-08
 9.534200e+04   1.973379e-06   8.788722e-08
 9.535400e+04   1.958623e-06   6.675496e-08
 9.536600e+04   2.108778e-06   7.350242e-08
 9.537800e+04   1.987037e-06   6.278291e-08
 9.539000e+04   2.122729e-06   9.856585e-08
 9.540200e+04   1.989175e-06   7.273199e-08
 9.541400e+04   2.070290e-06   7.900816e-08
 9.542600e+04   1.941866e-06   8.524516e-08
 9.543800e+04   2.137212e-06   7.857833e-08
 9.545000e+04   2.234612e-06   1.071366e-07
 9.546200e+04   2.133468e-06   7.139724e-08
 9.547400e+04   1.901681e-06   6.532862e-08
 9.548600e+04   2.055067e-06   8.581112e-08
 9.549800e+04   2.025381e-06   7.021236e-08
 9.551000e+04   2.020601e-06   8.110141e-08
 9.552200e+04   2.052507e-06   8.440007e-08
 9.553400e+04   2.136670e-06   6.337723e-08
 9.554600e+04   2.019508e-06   5.371790e-08
 9.555800e+04   2.253391e-06   1.072360e-07
 9.557000e+04   1.975051e-06   7.817307e-08
 9.558200e+04   2.112993e-06   8.125907e-08
 9.559400e+04   2.190737e-06   6.973358e-08
 9.560600e+04   2.045412e-06   1.068103e-07
 9.561800e+04   2.017276e-06   6.646287e-08
 9.563000e+04   2.078569e-06   7.140391e-08
 9.564200e+04   2.328934e-06   8.452108e-08
 9.565400e+04   2.207058e-06   8.993426e-08
 9.566600e+04   2.000807e-06   6.737584e-08
 9.567800e+04   2.091092e-06   9.694818e-08
 9.569000e+04   2.001161e-06   7.988983e-08
 9.570200e+04   2.266466e-06   7.916864e-08
 9.571400e+04   2.170827e-06   6.891319e-08
 9.572600e+04   2.186606e-06   8.777312e-08
 9.573800e+04   2.470434e-06   1.201208e-07
 9.575000e+04   2.170525e-06   8.378930e-08
 9.576200e+04   2.030229e-06   7.903817e-08
 9.577400e+04   2.207404e-06   1.018762e-07
 9.578600e+04   2.239554e-06   6.449855e-08
 9.579800e+04   2.207989e-06   8.429132e-08
 9.581000e+04   2.218549e-06   6.687339e-08
 9.582200e+04   2.175104e-06   7.128314e-08
 9.583400e+04   2.180681e-06   9.468952e-08
 9.584600e+04   2.188478e-06   1.077179e-07
 9.585800e+04   2.288146e-06   6.647386e-08
 9.587000e+04   2.235273e-06   8.269886e-08
 9.588200e+04   2.175834e-06   9.608579e-08
 9.589400e+04   2.137980e-06   9.125157e-08
 9.590600e+04   2.193434e-06   7.637470e-08
 9.591800e+04   2.276622e-06   8.100293e-08
 9.593000e+04   2.227732e-06   1.342639e-07
 9.594200e+04   2.322084e-06   1.021554e-07
 9.595400e+04   2.304248e-06   7.753481e-08
 9.596600e+04   2.435070e-06   9.041146e-08
 9.597800e+04   2.391449e-06   8.837483e-08
 9.599000e+04   2.310705e-06   7.039203e-08
 9.600200e+04   2.467147e-06   1.105076e-07
 9.601400e+04   2.317243e-06   4.012456e-08
 9.602600e+04   2.415428e-06   5.236202e-08
 9.603800e+04   2.511884e-06   9.344054e-08
 9.605000e+04   2.463997e-06   6.415387e-08
 9.606200e+04   2.257053e-06   6.146467e-08
 9.607400e+04   2.311442e-06   6.931217e-08
 9.608600e+04   2.362460e-06   5.982213e-08
 9.609800e+04   2.341283e-06   1.017442e-07
 9.611000e+04   2.443406e-06   8.058559e-08
 9.612200e+04   2.651768e-06   8.633475e-08
 9.613400e+04   2.557276e-06   1.093418e-07
 9.614600e+04   2.293386e-06   7.399474e-08
 9.615800e+04   2.354353e-06   7.453278e-08
 9.617000e+04   2.345598e-06   8.555949e-08
 9.618200e+04   2.670942e-06   1.458964e-07
 9.619400e+04   2.363207e-06   9.599010e-08
 9.620600e+04   2.588281e-06   9.144984e-08
 9.621800e+04   2.564441e-06   7.926166e-08
 9.623000e+04   2.600898e-06   8.558660e-08
 9.624200e+04   2.446692e-06   6.707180e-08
 9.625400e+04   2.348404e-06   7.896236e-08
 9.626600e+04   2.328577e-06   1.113486e-07
 9.627800e+04   2.540337e-06   1.177808e-07
 9.629000e+04   2.397940e-06   7.472361e-08
 9.630200e+04   2.426690e-06   9.350524e-08
 9.631400e+04   2.536433e-06   9.020795e-08
 9.632600e+04   2.605560e-06   8.604825e-08
 9.633800e+04   2.673422e-06   8.117896e-08
 9.635000e+04   2.697148e-06   1.054880e-07
 9.636200e+04   2.537975e-06   6.244873e-08
 9.637400e+04   2.578410e-06   1.002083e-07
 9.638600e+04   2.646042e-06   7.589980e-08
 9.639800e+04   2.603696e-06   9.493165e-08
 9.641000e+04   2.492898e-06   8.511490e-08
 9.642200e+04   2.699671e-06   9.049697e-08
 9.643400e+04   2.735810e-06   1.066267e-07
 9.644600e+04   2.570615e-06   1.183892e-07
 9.645800e+04   2.614645e-06   1.251668e-07
 9.647000e+04   2.614536e-06   8.476747e-08
 9.648200e+04   2.732321e-06   1.095648e-07
 9.649400e+04   2.930137e-06   1.091514e-07
 9.650600e+04   2.570096e-06   6.834289e-08
 9.651800e+04   2.737646e-06   9.512152e-08
 9.653000e+04   2.788652e-06   1.132621e-07
 9.654200e+04   2.629159e-06   1.008892e-07
 9.655400e+04   2.555410e-06   9.143054e-08
 9.656600e+04   2.750959e-06   1.291311e-07
 9.657800e+04   2.816336e-06   6.503548e-08
 9.659000e+04   2.917513e-06   1.148107e-07
