Eph_lab bin centers    value    Error 
-inf   3.758548e+00   4.321893e-02
 1.099000e+03   9.058947e-06   1.137782e-07
 1.297000e+03   7.638837e-06   1.390856e-07
 1.495000e+03   6.427746e-06   9.250922e-08
 1.693000e+03   5.788937e-06   1.001889e-07
 1.891000e+03   4.973867e-06   7.951624e-08
 2.089000e+03   4.605320e-06   9.793326e-08
 2.287000e+03   4.097128e-06   9.064776e-08
 2.485000e+03   3.816135e-06   4.299678e-08
 2.683000e+03   3.643881e-06   5.565020e-08
 2.881000e+03   3.221447e-06   5.856580e-08
 3.079000e+03   3.112861e-06   5.028905e-08
 3.277000e+03   2.999384e-06   7.573688e-08
 3.475000e+03   2.775397e-06   5.378479e-08
 3.673000e+03   2.578689e-06   4.449387e-08
 3.871000e+03   2.484350e-06   6.923405e-08
 4.069000e+03   2.326050e-06   3.408482e-08
 4.267000e+03   2.271810e-06   6.212640e-08
 4.465000e+03   2.083641e-06   4.126382e-08
 4.663000e+03   2.150377e-06   5.871608e-08
 4.861000e+03   1.910711e-06   4.149089e-08
 5.059000e+03   1.899815e-06   4.438163e-08
 5.257000e+03   1.842025e-06   4.993900e-08
 5.455000e+03   1.707943e-06   3.443040e-08
 5.653000e+03   1.717446e-06   5.065134e-08
 5.851000e+03   1.640980e-06   4.373951e-08
 6.049000e+03   1.580509e-06   2.304545e-08
 6.247000e+03   1.544294e-06   3.184016e-08
 6.445000e+03   1.473670e-06   4.406812e-08
 6.643000e+03   1.447563e-06   2.923963e-08
 6.841000e+03   1.435657e-06   5.377394e-08
 7.039000e+03   1.309943e-06   2.455744e-08
 7.237000e+03   1.308216e-06   3.069481e-08
 7.435000e+03   1.211990e-06   1.800690e-08
 7.633000e+03   1.253470e-06   4.055324e-08
 7.831000e+03   1.145207e-06   2.484987e-08
 8.029000e+03   1.185368e-06   3.227134e-08
 8.227000e+03   1.156430e-06   3.051580e-08
 8.425000e+03   1.102410e-06   2.837117e-08
 8.623000e+03   1.135927e-06   4.513577e-08
 8.821000e+03   1.097016e-06   2.097622e-08
 9.019000e+03   1.018231e-06   2.766963e-08
 9.217000e+03   1.008348e-06   3.009327e-08
 9.415000e+03   9.550363e-07   3.401590e-08
 9.613000e+03   1.053114e-06   2.656468e-08
 9.811000e+03   9.429179e-07   2.319881e-08
 1.000900e+04   1.001414e-06   4.196744e-08
 1.020700e+04   9.471347e-07   3.825941e-08
 1.040500e+04   9.479071e-07   2.428522e-08
 1.060300e+04   8.905899e-07   2.429981e-08
 1.080100e+04   8.274808e-07   2.996273e-08
 1.099900e+04   8.502405e-07   2.448356e-08
 1.119700e+04   8.581152e-07   3.156378e-08
 1.139500e+04   7.989232e-07   2.171017e-08
 1.159300e+04   7.405179e-07   2.233599e-08
 1.179100e+04   7.513423e-07   2.933364e-08
 1.198900e+04   8.197958e-07   3.051429e-08
 1.218700e+04   8.236466e-07   3.064595e-08
 1.238500e+04   7.327248e-07   2.408945e-08
 1.258300e+04   7.624371e-07   2.163289e-08
 1.278100e+04   6.410141e-07   2.548101e-08
 1.297900e+04   7.504145e-07   3.275053e-08
 1.317700e+04   6.831023e-07   2.158458e-08
 1.337500e+04   7.878467e-07   3.873670e-08
 1.357300e+04   6.748161e-07   3.557999e-08
 1.377100e+04   6.113785e-07   4.599538e-08
 1.396900e+04   6.573031e-07   2.654075e-08
 1.416700e+04   6.595355e-07   3.524208e-08
 1.436500e+04   6.153715e-07   3.460462e-08
 1.456300e+04   6.948939e-07   1.743599e-08
 1.476100e+04   6.874510e-07   2.916538e-08
 1.495900e+04   6.849035e-07   1.399412e-08
 1.515700e+04   6.295548e-07   2.957230e-08
 1.535500e+04   6.558318e-07   5.145572e-08
 1.555300e+04   6.214507e-07   1.823926e-08
 1.575100e+04   5.452083e-07   1.890344e-08
 1.594900e+04   6.076552e-07   1.689166e-08
 1.614700e+04   6.049625e-07   2.719633e-08
 1.634500e+04   5.986436e-07   3.892305e-08
 1.654300e+04   5.885669e-07   2.608996e-08
 1.674100e+04   6.526672e-07   3.229559e-08
 1.693900e+04   5.622951e-07   3.027562e-08
 1.713700e+04   5.337174e-07   4.212091e-08
 1.733500e+04   5.409550e-07   2.587618e-08
 1.753300e+04   5.707946e-07   3.527332e-08
 1.773100e+04   5.271585e-07   3.078333e-08
 1.792900e+04   5.709597e-07   2.190485e-08
 1.812700e+04   4.149294e-07   2.639440e-08
 1.832500e+04   4.487196e-07   3.138258e-08
 1.852300e+04   5.696819e-07   3.696768e-08
 1.872100e+04   5.321545e-07   3.775040e-08
 1.891900e+04   5.730148e-07   4.477009e-08
 1.911700e+04   5.399549e-07   3.848507e-08
 1.931500e+04   5.101384e-07   5.426281e-08
 1.951300e+04   5.516452e-07   4.790373e-08
 1.971100e+04   4.463866e-07   3.276987e-08
 1.990900e+04   4.867526e-07   3.177645e-08
 2.010700e+04   4.281596e-07   2.137013e-08
 2.030500e+04   4.721342e-07   3.253282e-08
 2.050300e+04   4.434600e-07   2.732518e-08
 2.070100e+04   4.918145e-07   4.430549e-08
 2.089900e+04   4.405276e-07   2.701533e-08
 2.109700e+04   5.515419e-07   4.692984e-08
