Eph bin centers    value    Error 
-inf   3.898284e+00   1.868484e-02
 1.099000e+03   8.954722e-06   9.477143e-08
 1.297000e+03   7.526112e-06   5.623074e-08
 1.495000e+03   6.614445e-06   7.341637e-08
 1.693000e+03   5.753706e-06   5.771455e-08
 1.891000e+03   5.299681e-06   5.251721e-08
 2.089000e+03   4.636840e-06   5.514779e-08
 2.287000e+03   4.334251e-06   4.544031e-08
 2.485000e+03   3.942905e-06   3.540810e-08
 2.683000e+03   3.576126e-06   2.504684e-08
 2.881000e+03   3.347569e-06   4.024762e-08
 3.079000e+03   3.112084e-06   3.499837e-08
 3.277000e+03   2.962616e-06   3.745314e-08
 3.475000e+03   2.876600e-06   4.072552e-08
 3.673000e+03   2.623795e-06   3.131198e-08
 3.871000e+03   2.507909e-06   3.059235e-08
 4.069000e+03   2.398729e-06   3.236144e-08
 4.267000e+03   2.211379e-06   2.082111e-08
 4.465000e+03   2.196076e-06   3.378398e-08
 4.663000e+03   2.087439e-06   2.493237e-08
 4.861000e+03   1.973860e-06   2.628507e-08
 5.059000e+03   1.928636e-06   2.737211e-08
 5.257000e+03   1.835615e-06   2.838316e-08
 5.455000e+03   1.717180e-06   2.089853e-08
 5.653000e+03   1.675337e-06   2.237621e-08
 5.851000e+03   1.635201e-06   2.433903e-08
 6.049000e+03   1.583216e-06   2.628320e-08
 6.247000e+03   1.464526e-06   3.374495e-08
 6.445000e+03   1.491122e-06   3.014715e-08
 6.643000e+03   1.475496e-06   2.803914e-08
 6.841000e+03   1.380113e-06   1.680778e-08
 7.039000e+03   1.371265e-06   2.223789e-08
 7.237000e+03   1.282512e-06   1.577470e-08
 7.435000e+03   1.272510e-06   2.409392e-08
 7.633000e+03   1.242478e-06   2.275701e-08
 7.831000e+03   1.231133e-06   1.415095e-08
 8.029000e+03   1.223923e-06   1.777377e-08
 8.227000e+03   1.180967e-06   2.413372e-08
 8.425000e+03   1.106469e-06   2.317971e-08
 8.623000e+03   1.126271e-06   2.037016e-08
 8.821000e+03   1.087283e-06   2.070068e-08
 9.019000e+03   1.082831e-06   2.047126e-08
 9.217000e+03   1.015744e-06   2.271941e-08
 9.415000e+03   1.051962e-06   1.400013e-08
 9.613000e+03   1.004843e-06   1.884986e-08
 9.811000e+03   9.785500e-07   1.696717e-08
 1.000900e+04   9.672767e-07   1.812625e-08
 1.020700e+04   9.014119e-07   1.524098e-08
 1.040500e+04   9.066138e-07   2.594340e-08
 1.060300e+04   9.211042e-07   2.497267e-08
 1.080100e+04   8.728726e-07   1.736639e-08
 1.099900e+04   8.862437e-07   2.367322e-08
 1.119700e+04   8.283952e-07   1.896882e-08
 1.139500e+04   8.450499e-07   2.780131e-08
 1.159300e+04   8.218243e-07   1.429998e-08
 1.179100e+04   8.441947e-07   2.115142e-08
 1.198900e+04   8.034850e-07   2.169009e-08
 1.218700e+04   8.071308e-07   2.323824e-08
 1.238500e+04   8.675262e-07   2.579334e-08
 1.258300e+04   7.779016e-07   2.187247e-08
 1.278100e+04   7.577724e-07   2.215216e-08
 1.297900e+04   7.661794e-07   1.825435e-08
 1.317700e+04   7.412067e-07   2.668462e-08
 1.337500e+04   7.455021e-07   1.994953e-08
 1.357300e+04   7.339384e-07   2.163795e-08
 1.377100e+04   7.570620e-07   1.788912e-08
 1.396900e+04   6.973176e-07   2.042361e-08
 1.416700e+04   6.571189e-07   1.539511e-08
 1.436500e+04   6.768522e-07   1.951245e-08
 1.456300e+04   7.621642e-07   5.110952e-08
 1.476100e+04   6.348321e-07   1.767976e-08
 1.495900e+04   6.124545e-07   1.347279e-08
 1.515700e+04   6.412519e-07   2.105411e-08
 1.535500e+04   6.070976e-07   1.729189e-08
 1.555300e+04   6.474641e-07   3.010351e-08
 1.575100e+04   6.218477e-07   1.616261e-08
 1.594900e+04   5.928402e-07   2.856499e-08
 1.614700e+04   6.904229e-07   3.576426e-08
 1.634500e+04   6.553609e-07   4.981256e-08
 1.654300e+04   6.121802e-07   3.246931e-08
 1.674100e+04   5.704310e-07   1.807966e-08
 1.693900e+04   5.675585e-07   3.063976e-08
 1.713700e+04   5.528619e-07   1.295095e-08
 1.733500e+04   5.609001e-07   1.593212e-08
 1.753300e+04   4.263814e-07   1.570233e-08
 1.773100e+04   5.479866e-07   1.723941e-08
 1.792900e+04   5.244050e-07   2.065415e-08
 1.812700e+04   5.403868e-07   2.142789e-08
 1.832500e+04   6.122569e-07   2.894454e-08
 1.852300e+04   5.290847e-07   3.294621e-08
 1.872100e+04   5.401020e-07   2.768413e-08
 1.891900e+04   4.990094e-07   2.682441e-08
 1.911700e+04   4.935640e-07   4.609393e-08
 1.931500e+04   4.578702e-07   1.975859e-08
 1.951300e+04   4.931099e-07   1.859772e-08
 1.971100e+04   5.539844e-07   5.311765e-08
 1.990900e+04   5.013408e-07   3.489561e-08
 2.010700e+04   5.158665e-07   2.250307e-08
 2.030500e+04   5.457014e-07   4.225382e-08
 2.050300e+04   4.623448e-07   2.072483e-08
 2.070100e+04   4.500765e-07   1.796971e-08
 2.089900e+04   4.951634e-07   3.031915e-08
 2.109700e+04   4.725748e-07   4.732647e-08
 2.129500e+04   4.488732e-07   2.780128e-08
 2.149300e+04   4.930175e-07   2.146440e-08
 2.169100e+04   4.727063e-07   2.878339e-08
 2.188900e+04   4.380866e-07   2.828680e-08
 2.208700e+04   4.999742e-07   3.217510e-08
 2.228500e+04   4.032181e-07   2.600553e-08
 2.248300e+04   3.717463e-07   2.605121e-08
 2.268100e+04   3.726898e-07   3.823846e-08
 2.287900e+04   5.329510e-07   3.792180e-08
 2.307700e+04   4.427332e-07   3.433192e-08
 2.327500e+04   4.786962e-07   3.255172e-08
 2.347300e+04   4.316284e-07   2.178153e-08
 2.367100e+04   4.890707e-07   3.841075e-08
 2.386900e+04   3.897307e-07   3.307892e-08
 2.406700e+04   3.572482e-07   2.514200e-08
 2.426500e+04   4.837275e-07   4.002558e-08
 2.446300e+04   3.288380e-07   2.772203e-08
 2.466100e+04   4.432976e-07   2.432340e-08
 2.485900e+04   5.127480e-07   4.117165e-08
 2.505700e+04   4.473229e-07   3.345129e-08
 2.525500e+04   4.038463e-07   3.020494e-08
 2.545300e+04   3.209090e-07   2.455486e-08
 2.565100e+04   4.369573e-07   3.282014e-08
 2.584900e+04   4.142295e-07   3.082959e-08
 2.604700e+04   3.787208e-07   2.564808e-08
 2.624500e+04   3.569083e-07   5.159611e-08
 2.644300e+04   4.134288e-07   4.337070e-08
 2.664100e+04   3.757460e-07   2.712418e-08
 2.683900e+04   4.120718e-07   5.033713e-08
 2.703700e+04   4.037803e-07   4.024631e-08
 2.723500e+04   3.737674e-07   3.355519e-08
 2.743300e+04   3.143456e-07   2.317725e-08
 2.763100e+04   4.571801e-07   3.339755e-08
 2.782900e+04   2.851936e-07   1.998722e-08
 2.802700e+04   3.366476e-07   3.992791e-08
 2.822500e+04   5.098573e-07   5.687780e-08
 2.842300e+04   2.727491e-07   2.778386e-08
 2.862100e+04   3.778712e-07   4.658875e-08
 2.881900e+04   2.990512e-07   3.799877e-08
 2.901700e+04   4.359619e-07   6.555805e-08
 2.921500e+04   3.333829e-07   3.135905e-08
 2.941300e+04   3.903099e-07   4.035980e-08
 2.961100e+04   3.111525e-07   2.406737e-08
 2.980900e+04   3.298040e-07   3.641081e-08
 3.000700e+04   8.851672e-08   1.083558e-08
 3.020500e+04   0.000000e+00   0.000000e+00
 3.040300e+04   0.000000e+00   0.000000e+00
