Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.304205e-03   4.929061e-06
 1.100989e+03   2.181275e-01   1.462017e-05
 1.300987e+03   1.557685e-01   5.637397e-06
 1.500985e+03   1.167998e-01   8.523883e-06
 1.700983e+03   9.083648e-02   1.098032e-05
 1.900981e+03   7.264466e-02   3.625925e-06
 2.100979e+03   5.939661e-02   5.067940e-06
 2.300977e+03   4.948984e-02   5.895176e-06
 2.500975e+03   4.184328e-02   5.313679e-06
 2.700973e+03   3.583948e-02   3.910230e-06
 2.900971e+03   3.104932e-02   4.577967e-06
 3.100969e+03   2.714684e-02   3.032157e-06
 3.300967e+03   2.393954e-02   3.426255e-06
 3.500965e+03   2.127911e-02   6.127343e-06
 3.700963e+03   1.901294e-02   2.698745e-06
 3.900961e+03   1.710349e-02   4.254238e-06
 4.100959e+03   1.546853e-02   2.602383e-06
 4.300957e+03   1.404918e-02   4.955569e-06
 4.500955e+03   1.282226e-02   4.673635e-06
 4.700953e+03   1.173989e-02   2.564904e-06
 4.900951e+03   1.079797e-02   1.342653e-06
 5.100949e+03   9.957840e-03   3.344870e-06
 5.300947e+03   9.220790e-03   2.636914e-06
 5.500945e+03   8.548464e-03   2.682238e-06
 5.700943e+03   7.957851e-03   1.999739e-06
 5.900941e+03   7.418271e-03   2.049573e-06
 6.100939e+03   6.941956e-03   2.862313e-06
 6.300937e+03   6.493246e-03   4.494489e-06
 6.500935e+03   6.105340e-03   3.414904e-06
 6.700933e+03   5.734763e-03   2.467169e-06
 6.900931e+03   5.407727e-03   3.712889e-06
 7.100929e+03   5.100693e-03   3.380745e-06
 7.300927e+03   4.826409e-03   4.754851e-06
 7.500925e+03   4.567983e-03   3.889382e-06
 7.700923e+03   4.325900e-03   1.981465e-06
 7.900921e+03   4.110106e-03   1.830410e-06
 8.100919e+03   3.906807e-03   1.127725e-06
 8.300917e+03   3.718815e-03   2.387763e-06
 8.500915e+03   3.538520e-03   2.394366e-06
 8.700913e+03   3.382750e-03   4.133052e-06
 8.900911e+03   3.227709e-03   3.426184e-06
 9.100909e+03   3.085630e-03   4.492651e-06
 9.300907e+03   2.949227e-03   9.737875e-07
 9.500905e+03   2.826588e-03   4.886393e-06
 9.700903e+03   2.704924e-03   3.746910e-06
 9.900901e+03   2.595437e-03   4.209921e-06
 1.010090e+04   2.499301e-03   3.870069e-06
 1.030090e+04   2.391717e-03   2.844615e-06
 1.050090e+04   2.310423e-03   4.179396e-06
 1.070089e+04   2.216117e-03   4.442380e-06
 1.090089e+04   2.134120e-03   1.571838e-06
 1.110089e+04   2.057988e-03   1.089362e-06
 1.130089e+04   1.985764e-03   2.105685e-06
 1.150089e+04   1.912926e-03   1.449390e-06
 1.170088e+04   1.848727e-03   1.491075e-06
 1.190088e+04   1.784845e-03   2.989938e-06
 1.210088e+04   1.726414e-03   8.880217e-07
 1.230088e+04   1.668656e-03   2.590975e-06
 1.250088e+04   1.611656e-03   2.193873e-06
 1.270087e+04   1.565231e-03   1.739851e-06
 1.290087e+04   1.514704e-03   1.934494e-06
 1.310087e+04   1.466205e-03   1.530391e-06
 1.330087e+04   1.422231e-03   1.216647e-06
 1.350086e+04   1.380565e-03   2.683888e-06
 1.370086e+04   1.338554e-03   1.943546e-06
 1.390086e+04   1.297563e-03   1.851912e-06
 1.410086e+04   1.258616e-03   1.586409e-06
 1.430086e+04   1.229999e-03   2.459817e-06
 1.450085e+04   1.188909e-03   2.470953e-06
 1.470085e+04   1.157125e-03   1.450587e-06
 1.490085e+04   1.128391e-03   1.664934e-06
 1.510085e+04   1.096790e-03   2.349424e-06
 1.530085e+04   1.065833e-03   1.200925e-06
 1.550084e+04   1.038408e-03   7.231081e-07
 1.570084e+04   1.011624e-03   6.744308e-07
 1.590084e+04   9.877265e-04   1.761083e-06
 1.610084e+04   9.572151e-04   2.578611e-06
 1.630084e+04   9.386857e-04   1.714504e-06
 1.650083e+04   9.010056e-04   1.251651e-05
 1.670083e+04   8.903675e-04   1.462361e-06
 1.690083e+04   8.650028e-04   3.724463e-06
 1.710083e+04   8.535246e-04   4.915319e-06
 1.730083e+04   8.254510e-04   2.138965e-06
 1.750083e+04   8.090800e-04   1.731149e-06
 1.770082e+04   7.876418e-04   2.409228e-06
 1.790082e+04   7.734720e-04   1.026868e-06
 1.810082e+04   7.523740e-04   1.239064e-06
 1.830082e+04   7.363774e-04   1.516468e-06
 1.850081e+04   7.235070e-04   1.127858e-06
 1.870081e+04   7.069559e-04   1.384931e-06
 1.890081e+04   6.899856e-04   1.655049e-06
 1.910081e+04   6.738142e-04   1.579628e-06
 1.930081e+04   6.628799e-04   2.443952e-06
 1.950081e+04   6.449996e-04   1.111684e-06
 1.970080e+04   6.321732e-04   1.256350e-06
 1.990080e+04   6.191848e-04   9.858965e-07
 2.010080e+04   6.069675e-04   1.318756e-06
 2.030080e+04   5.942718e-04   2.247724e-06
 2.050079e+04   5.842702e-04   1.515513e-06
 2.070079e+04   5.713053e-04   1.940783e-06
 2.090079e+04   5.610210e-04   1.930675e-06
 2.110079e+04   5.506557e-04   1.879033e-06
 2.130079e+04   5.354825e-04   1.407441e-06
 2.150078e+04   5.300907e-04   1.941235e-06
 2.170078e+04   5.184595e-04   1.889635e-06
 2.190078e+04   5.078990e-04   1.036471e-06
 2.210078e+04   4.975377e-04   9.221062e-07
 2.230078e+04   4.912187e-04   9.178651e-07
 2.250078e+04   4.943629e-04   1.276979e-05
 2.270077e+04   4.717743e-04   1.271291e-06
 2.290077e+04   4.633417e-04   1.150150e-06
 2.310077e+04   4.425764e-04   1.426915e-05
 2.330077e+04   4.448330e-04   2.449389e-06
 2.350076e+04   4.392495e-04   2.025401e-06
 2.370076e+04   4.302632e-04   1.387187e-06
 2.390076e+04   4.231218e-04   9.898372e-07
 2.410076e+04   4.165813e-04   1.623165e-06
 2.430076e+04   4.101067e-04   1.582189e-06
 2.450076e+04   4.025580e-04   1.985184e-06
 2.470075e+04   3.967708e-04   8.704225e-07
 2.490075e+04   3.880887e-04   9.835156e-07
 2.510075e+04   3.836354e-04   1.694403e-06
 2.530075e+04   3.752940e-04   1.249964e-06
 2.550074e+04   3.698203e-04   9.461713e-07
 2.570074e+04   3.640383e-04   9.039130e-07
 2.590074e+04   3.571153e-04   1.086295e-06
 2.610074e+04   3.540066e-04   9.745893e-07
 2.630074e+04   3.502755e-04   4.159032e-06
 2.650074e+04   3.390616e-04   2.561213e-06
 2.670073e+04   3.359467e-04   1.833126e-06
 2.690073e+04   3.308574e-04   8.612004e-07
 2.710073e+04   3.251556e-04   9.117540e-07
 2.730073e+04   3.213921e-04   1.571660e-06
 2.750072e+04   3.154515e-04   9.760861e-07
 2.770072e+04   3.097455e-04   1.799770e-06
 2.790072e+04   3.055552e-04   6.989255e-07
 2.810072e+04   3.034589e-04   1.172378e-06
 2.830072e+04   2.968281e-04   8.720843e-07
 2.850072e+04   2.918140e-04   1.365302e-06
 2.870071e+04   2.881908e-04   8.776738e-07
 2.890071e+04   2.889344e-04   3.780902e-06
 2.910071e+04   2.772308e-04   3.370299e-06
 2.930071e+04   2.757920e-04   6.295033e-07
 2.950071e+04   2.721971e-04   5.808674e-07
 2.970070e+04   2.694045e-04   9.095225e-07
 2.990070e+04   2.651249e-04   9.756622e-07
 3.010070e+04   2.629695e-04   2.801729e-06
 3.030070e+04   2.579205e-04   9.803390e-07
 3.050069e+04   2.535603e-04   7.523304e-07
 3.070069e+04   2.483231e-04   2.597723e-06
 3.090069e+04   2.458265e-04   1.048165e-06
 3.110069e+04   2.426738e-04   5.617148e-07
 3.130069e+04   2.400350e-04   5.781551e-07
 3.150069e+04   2.377777e-04   1.251156e-06
 3.170068e+04   2.421898e-04   7.178787e-06
 3.190068e+04   2.238008e-04   8.295702e-06
 3.210068e+04   2.265913e-04   1.153194e-06
 3.230068e+04   2.274690e-04   2.351890e-06
 3.250067e+04   2.182367e-04   2.946939e-06
 3.270067e+04   2.189242e-04   4.021036e-07
 3.290067e+04   2.158654e-04   5.468612e-07
 3.310067e+04   2.123902e-04   4.686645e-07
 3.330067e+04   2.105938e-04   4.535971e-07
 3.350067e+04   2.078412e-04   4.505533e-07
 3.370066e+04   2.125927e-04   6.086212e-06
 3.390066e+04   2.016961e-04   4.975521e-07
 3.410066e+04   1.933760e-04   5.905244e-06
 3.430066e+04   1.976322e-04   1.801774e-06
 3.450065e+04   1.951769e-04   4.359444e-07
