Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.296446e-03   1.270210e-06
 1.100989e+03   2.181196e-01   7.130028e-07
 1.300987e+03   1.557908e-01   5.594277e-07
 1.500985e+03   1.168209e-01   6.040646e-07
 1.700983e+03   9.083660e-02   5.713929e-07
 1.900981e+03   7.264460e-02   4.333634e-07
 2.100979e+03   5.941331e-02   5.253371e-07
 2.300977e+03   4.949032e-02   4.656960e-07
 2.500975e+03   4.185859e-02   4.450799e-07
 2.700973e+03   3.586245e-02   5.020978e-07
 2.900971e+03   3.106562e-02   4.084347e-07
 3.100969e+03   2.716864e-02   3.634304e-07
 3.300967e+03   2.395994e-02   3.403969e-07
 3.500965e+03   2.128697e-02   3.847733e-07
 3.700963e+03   1.903610e-02   3.909717e-07
 3.900961e+03   1.712270e-02   4.166480e-07
 4.100959e+03   1.548421e-02   3.796510e-07
 4.300957e+03   1.406895e-02   3.547289e-07
 4.500955e+03   1.283787e-02   2.982779e-07
 4.700953e+03   1.176151e-02   3.173804e-07
 4.900951e+03   1.081411e-02   3.266664e-07
 5.100949e+03   9.977119e-03   3.267085e-07
 5.300947e+03   9.232377e-03   3.188421e-07
 5.500945e+03   8.567561e-03   2.765525e-07
 5.700943e+03   7.972162e-03   2.999879e-07
 5.900941e+03   7.436752e-03   2.582779e-07
 6.100939e+03   6.952131e-03   3.321101e-07
 6.300937e+03   6.514514e-03   3.346644e-07
 6.500935e+03   6.115745e-03   3.601366e-07
 6.700933e+03   5.752535e-03   3.042759e-07
 6.900931e+03   5.420535e-03   2.172585e-07
 7.100929e+03   5.116468e-03   2.592653e-07
 7.300927e+03   4.836462e-03   2.574333e-07
 7.500925e+03   4.579396e-03   2.801911e-07
 7.700923e+03   4.341906e-03   2.858182e-07
 7.900921e+03   4.122283e-03   2.634248e-07
 8.100919e+03   3.918355e-03   2.381475e-07
 8.300917e+03   3.730221e-03   2.285623e-07
 8.500915e+03   3.554271e-03   2.830611e-07
 8.700913e+03   3.390406e-03   2.125150e-07
 8.900911e+03   3.237525e-03   2.339559e-07
 9.100909e+03   3.094915e-03   2.607478e-07
 9.300907e+03   2.961842e-03   2.320203e-07
 9.500905e+03   2.836373e-03   2.398550e-07
 9.700903e+03   2.718788e-03   2.129884e-07
 9.900901e+03   2.608840e-03   2.463536e-07
 1.010090e+04   2.503956e-03   2.434678e-07
 1.030090e+04   2.407071e-03   2.362246e-07
 1.050090e+04   2.314546e-03   2.515122e-07
 1.070089e+04   2.227026e-03   2.362745e-07
 1.090089e+04   2.145296e-03   1.983648e-07
 1.110089e+04   2.067374e-03   2.548518e-07
 1.130089e+04   1.993257e-03   2.670955e-07
 1.150089e+04   1.923258e-03   2.492264e-07
 1.170088e+04   1.857371e-03   2.735113e-07
 1.190088e+04   1.793910e-03   2.286175e-07
 1.210088e+04   1.733961e-03   2.244822e-07
 1.230088e+04   1.677322e-03   2.127932e-07
 1.250088e+04   1.622567e-03   2.252477e-07
 1.270087e+04   1.570972e-03   2.285395e-07
 1.290087e+04   1.521823e-03   2.738765e-07
 1.310087e+04   1.474594e-03   2.297597e-07
 1.330087e+04   1.429604e-03   2.052222e-07
 1.350086e+04   1.386888e-03   1.878063e-07
 1.370086e+04   1.345588e-03   2.196162e-07
 1.390086e+04   1.306597e-03   2.515971e-07
 1.410086e+04   1.268684e-03   2.853011e-07
 1.430086e+04   1.232555e-03   2.117921e-07
 1.450085e+04   1.198363e-03   2.264367e-07
 1.470085e+04   1.164941e-03   2.575738e-07
 1.490085e+04   1.133397e-03   2.016908e-07
 1.510085e+04   1.102873e-03   2.160485e-07
 1.530085e+04   1.073339e-03   2.202867e-07
 1.550084e+04   1.044949e-03   1.924094e-07
 1.570084e+04   1.018378e-03   2.721600e-07
 1.590084e+04   9.919248e-04   2.844849e-07
 1.610084e+04   9.667213e-04   2.306052e-07
 1.630084e+04   9.428168e-04   2.435814e-07
 1.650083e+04   9.189347e-04   2.366488e-07
 1.670083e+04   8.973349e-04   1.851057e-07
 1.690083e+04   8.749572e-04   1.784884e-07
 1.710083e+04   8.544740e-04   1.983057e-07
 1.730083e+04   8.338352e-04   1.894005e-07
 1.750083e+04   8.143835e-04   2.025076e-07
 1.770082e+04   7.961212e-04   2.044746e-07
 1.790082e+04   7.773114e-04   2.128520e-07
 1.810082e+04   7.602140e-04   1.716589e-07
 1.830082e+04   7.430964e-04   1.620775e-07
 1.850081e+04   7.265710e-04   1.616711e-07
 1.870081e+04   7.105886e-04   1.721451e-07
 1.890081e+04   6.955652e-04   1.906304e-07
 1.910081e+04   6.802900e-04   1.639272e-07
 1.930081e+04   6.657172e-04   2.330258e-07
 1.950081e+04   6.517214e-04   1.953854e-07
 1.970080e+04   6.384116e-04   1.776075e-07
 1.990080e+04   6.248840e-04   1.774115e-07
 2.010080e+04   6.124064e-04   2.219438e-07
 2.030080e+04   5.999489e-04   1.633203e-07
 2.050079e+04   5.880449e-04   1.687504e-07
 2.070079e+04   5.762239e-04   1.312373e-07
 2.090079e+04   5.648808e-04   1.571493e-07
 2.110079e+04   5.538159e-04   1.609504e-07
 2.130079e+04   5.430998e-04   1.597584e-07
 2.150078e+04   5.328310e-04   2.001993e-07
 2.170078e+04   5.227935e-04   1.893149e-07
 2.190078e+04   5.128300e-04   2.030748e-07
 2.210078e+04   5.031772e-04   2.160271e-07
 2.230078e+04   4.940221e-04   2.715866e-07
 2.250078e+04   4.842865e-04   2.116721e-07
 2.270077e+04   4.763223e-04   2.183242e-07
 2.290077e+04   4.673880e-04   2.309339e-07
 2.310077e+04   4.592461e-04   1.968801e-07
 2.330077e+04   4.508069e-04   1.590502e-07
 2.350076e+04   4.429248e-04   1.600598e-07
 2.370076e+04   4.353137e-04   1.516813e-07
 2.390076e+04   4.277806e-04   1.935401e-07
 2.410076e+04   4.203663e-04   2.367777e-07
 2.430076e+04   4.130438e-04   2.001670e-07
 2.450076e+04   4.059581e-04   2.146840e-07
 2.470075e+04   3.994437e-04   2.030785e-07
 2.490075e+04   3.926556e-04   2.043021e-07
 2.510075e+04   3.864928e-04   1.885118e-07
 2.530075e+04   3.801399e-04   1.623534e-07
 2.550074e+04   3.733389e-04   1.397474e-07
 2.570074e+04   3.673077e-04   1.581553e-07
 2.590074e+04   3.611258e-04   1.589778e-07
 2.610074e+04   3.548691e-04   1.403842e-07
 2.630074e+04   3.498325e-04   1.957905e-07
 2.650074e+04   3.438942e-04   1.667569e-07
 2.670073e+04   3.380333e-04   1.697436e-07
 2.690073e+04   3.329738e-04   1.478484e-07
 2.710073e+04   3.276975e-04   1.165347e-07
 2.730073e+04   3.225522e-04   1.892148e-07
 2.750072e+04   3.177489e-04   2.050457e-07
 2.770072e+04   3.126323e-04   1.718966e-07
 2.790072e+04   3.082703e-04   1.397926e-07
 2.810072e+04   3.031972e-04   1.243775e-07
 2.830072e+04   2.990504e-04   1.341007e-07
 2.850072e+04   2.943591e-04   1.287943e-07
 2.870071e+04   2.901920e-04   1.384637e-07
 2.890071e+04   2.858212e-04   1.196028e-07
 2.910071e+04   2.818554e-04   1.620744e-07
 2.930071e+04   2.775837e-04   1.185672e-07
 2.950071e+04   2.737679e-04   1.609017e-07
 2.970070e+04   2.695235e-04   1.716152e-07
 2.990070e+04   2.660068e-04   1.882567e-07
 3.010070e+04   2.622165e-04   1.788119e-07
 3.030070e+04   2.581446e-04   1.439858e-07
 3.050069e+04   2.552801e-04   1.614061e-07
 3.070069e+04   2.512612e-04   1.206637e-07
 3.090069e+04   2.481207e-04   1.336093e-07
 3.110069e+04   2.445763e-04   1.323178e-07
 3.130069e+04   2.411638e-04   1.783345e-07
 3.150069e+04   2.381796e-04   1.984735e-07
 3.170068e+04   2.346325e-04   1.394793e-07
 3.190068e+04   2.317968e-04   1.473729e-07
 3.210068e+04   2.286204e-04   2.207870e-07
 3.230068e+04   2.256461e-04   1.388070e-07
 3.250067e+04   2.224389e-04   9.929455e-08
 3.270067e+04   2.199171e-04   2.204760e-07
 3.290067e+04   2.169290e-04   1.495227e-07
 3.310067e+04   2.139788e-04   1.306551e-07
 3.330067e+04   2.111461e-04   1.261676e-07
 3.350067e+04   2.086243e-04   1.390414e-07
 3.370066e+04   2.060011e-04   1.658785e-07
 3.390066e+04   2.033106e-04   1.406876e-07
 3.410066e+04   2.007067e-04   1.254671e-07
 3.430066e+04   1.981054e-04   1.393651e-07
 3.450065e+04   1.957779e-04   1.221367e-07
