Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   3.342545e-05   1.050538e-06
 9.500000e+02   2.914146e-01   2.986723e-05
 1.050000e+03   2.383700e-01   1.203441e-05
 1.150000e+03   1.986259e-01   7.651275e-06
 1.250000e+03   1.680562e-01   7.927934e-06
 1.350000e+03   1.440106e-01   7.971328e-06
 1.450000e+03   1.247998e-01   9.227081e-06
 1.550000e+03   1.091459e-01   8.435811e-06
 1.650000e+03   9.631580e-02   1.035180e-05
 1.750000e+03   8.556426e-02   1.228203e-05
 1.850000e+03   7.656209e-02   5.591523e-06
 1.950000e+03   6.887398e-02   9.998248e-06
 2.050000e+03   6.230823e-02   1.111766e-05
 2.150000e+03   5.662343e-02   6.034781e-06
 2.250000e+03   5.168122e-02   8.624812e-06
 2.350000e+03   4.737635e-02   7.342828e-06
 2.450000e+03   4.355658e-02   6.215210e-06
 2.550000e+03   4.020269e-02   1.088720e-05
 2.650000e+03   3.720573e-02   1.231853e-05
 2.750000e+03   3.454038e-02   4.619922e-06
 2.850000e+03   3.215074e-02   6.051922e-06
 2.950000e+03   2.999993e-02   6.486214e-06
 3.050000e+03   2.804167e-02   6.949902e-06
 3.150000e+03   2.629300e-02   5.395074e-06
 3.250000e+03   2.469191e-02   3.642467e-06
 3.350000e+03   2.322664e-02   6.328406e-06
 3.450000e+03   2.189839e-02   8.247419e-06
 3.550000e+03   2.066917e-02   4.886749e-06
 3.650000e+03   1.954267e-02   4.763413e-06
 3.750000e+03   1.852390e-02   5.366302e-06
 3.850000e+03   1.755047e-02   4.408866e-06
 3.950000e+03   1.667799e-02   4.673195e-06
 4.050000e+03   1.585115e-02   2.820339e-06
 4.150000e+03   1.509891e-02   4.782075e-06
 4.250000e+03   1.438820e-02   5.437685e-06
 4.350000e+03   1.373141e-02   4.500531e-06
 4.450000e+03   1.311499e-02   2.883422e-06
 4.550000e+03   1.254242e-02   5.039765e-06
 4.650000e+03   1.200370e-02   4.730802e-06
 4.750000e+03   1.149595e-02   3.464780e-06
 4.850000e+03   1.102245e-02   3.222079e-06
 4.950000e+03   1.057741e-02   3.879692e-06
 5.050000e+03   1.016496e-02   3.451647e-06
 5.150000e+03   9.767069e-03   4.525223e-06
 5.250000e+03   9.405315e-03   6.925143e-06
 5.350000e+03   9.041594e-03   5.732234e-06
 5.450000e+03   8.715312e-03   5.157212e-06
 5.550000e+03   8.401346e-03   3.689229e-06
 5.650000e+03   8.103335e-03   5.292376e-06
 5.750000e+03   7.821462e-03   5.701228e-06
 5.850000e+03   7.551688e-03   4.262906e-06
 5.950000e+03   7.298138e-03   1.893990e-06
