Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   3.186254e-05   1.420322e-06
 9.500000e+02   2.913841e-01   2.682234e-05
 1.050000e+03   2.383855e-01   1.031766e-05
 1.150000e+03   1.986399e-01   1.521716e-05
 1.250000e+03   1.680272e-01   1.459259e-05
 1.350000e+03   1.440401e-01   1.389826e-05
 1.450000e+03   1.247697e-01   9.149950e-06
 1.550000e+03   1.091753e-01   9.946088e-06
 1.650000e+03   9.630046e-02   6.519672e-06
 1.750000e+03   8.558784e-02   7.047800e-06
 1.850000e+03   7.655279e-02   7.203457e-06
 1.950000e+03   6.887615e-02   1.195122e-05
 2.050000e+03   6.229850e-02   9.249819e-06
 2.150000e+03   5.663721e-02   1.343117e-05
 2.250000e+03   5.168397e-02   5.724269e-06
 2.350000e+03   4.735215e-02   1.010906e-05
 2.450000e+03   4.357560e-02   8.902972e-06
 2.550000e+03   4.020358e-02   9.327902e-06
 2.650000e+03   3.721011e-02   9.339896e-06
 2.750000e+03   3.453306e-02   5.897065e-06
 2.850000e+03   3.215589e-02   9.517869e-06
 2.950000e+03   2.999944e-02   1.038864e-05
 3.050000e+03   2.805148e-02   7.837508e-06
 3.150000e+03   2.627881e-02   1.093120e-05
 3.250000e+03   2.469406e-02   5.022420e-06
 3.350000e+03   2.322713e-02   4.852494e-06
 3.450000e+03   2.188498e-02   1.036663e-05
 3.550000e+03   2.067850e-02   6.516273e-06
 3.650000e+03   1.954823e-02   6.592926e-06
 3.750000e+03   1.851337e-02   7.056330e-06
 3.850000e+03   1.755887e-02   6.886662e-06
 3.950000e+03   1.667678e-02   5.077800e-06
 4.050000e+03   1.585218e-02   5.212762e-06
 4.150000e+03   1.508905e-02   5.283294e-06
 4.250000e+03   1.439168e-02   4.577929e-06
 4.350000e+03   1.371480e-02   8.313599e-06
 4.450000e+03   1.314067e-02   1.144977e-05
 4.550000e+03   1.254008e-02   6.161904e-06
 4.650000e+03   1.199319e-02   7.373025e-06
 4.750000e+03   1.150087e-02   4.466562e-06
 4.850000e+03   1.102089e-02   3.948981e-06
 4.950000e+03   1.058724e-02   5.379339e-06
 5.050000e+03   1.015853e-02   6.632936e-06
 5.150000e+03   9.775850e-03   5.049636e-06
 5.250000e+03   9.385606e-03   3.948072e-06
 5.350000e+03   9.045399e-03   4.500204e-06
 5.450000e+03   8.715203e-03   8.740886e-06
 5.550000e+03   8.405359e-03   8.560313e-06
 5.650000e+03   8.102200e-03   5.877015e-06
 5.750000e+03   7.812643e-03   3.577905e-06
 5.850000e+03   7.553133e-03   4.429143e-06
 5.950000e+03   7.298568e-03   5.960766e-06
