Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   0.000000e+00   0.000000e+00
 9.500000e+02   0.000000e+00   0.000000e+00
 1.050000e+03   2.383678e-01   9.865246e-06
 1.150000e+03   1.985838e-01   8.007194e-06
 1.250000e+03   1.680076e-01   6.102131e-06
 1.350000e+03   1.439998e-01   7.224969e-06
 1.450000e+03   1.247407e-01   4.926542e-06
 1.550000e+03   1.091483e-01   4.127990e-06
 1.650000e+03   9.627823e-02   6.942650e-06
 1.750000e+03   8.555106e-02   5.149985e-06
 1.850000e+03   7.653397e-02   6.927051e-06
 1.950000e+03   6.885081e-02   7.433621e-06
 2.050000e+03   6.227638e-02   5.417739e-06
 2.150000e+03   5.661536e-02   6.839994e-06
 2.250000e+03   5.167033e-02   5.247615e-06
 2.350000e+03   4.733462e-02   5.682156e-06
 2.450000e+03   4.354511e-02   3.649885e-06
 2.550000e+03   4.018312e-02   5.517977e-06
 2.650000e+03   3.718360e-02   5.951039e-06
 2.750000e+03   3.452684e-02   5.182700e-06
 2.850000e+03   3.213069e-02   4.119932e-06
 2.950000e+03   2.998563e-02   5.142988e-06
 3.050000e+03   2.803118e-02   3.786723e-06
 3.150000e+03   2.628389e-02   4.719748e-06
 3.250000e+03   2.467397e-02   3.487954e-06
 3.350000e+03   2.321904e-02   4.577402e-06
 3.450000e+03   2.187872e-02   4.178696e-06
 3.550000e+03   2.066361e-02   3.758250e-06
 3.650000e+03   1.953903e-02   4.068304e-06
 3.750000e+03   1.849614e-02   5.134312e-06
 3.850000e+03   1.755037e-02   5.176483e-06
 3.950000e+03   1.665734e-02   4.686516e-06
 4.050000e+03   1.583788e-02   2.709262e-06
 4.150000e+03   1.509017e-02   2.972467e-06
 4.250000e+03   1.437695e-02   2.889657e-06
 4.350000e+03   1.371681e-02   3.490421e-06
 4.450000e+03   1.310304e-02   3.636750e-06
 4.550000e+03   1.253583e-02   2.548760e-06
 4.650000e+03   1.199327e-02   4.596271e-06
 4.750000e+03   1.148586e-02   2.665750e-06
 4.850000e+03   1.101858e-02   3.364137e-06
 4.950000e+03   1.057365e-02   3.822878e-06
 5.050000e+03   1.015316e-02   2.454008e-06
 5.150000e+03   9.758809e-03   3.681842e-06
 5.250000e+03   9.388844e-03   4.720382e-06
 5.350000e+03   9.042143e-03   3.571861e-06
 5.450000e+03   8.704554e-03   2.930648e-06
 5.550000e+03   8.387406e-03   3.309363e-06
 5.650000e+03   8.088933e-03   1.534164e-06
 5.750000e+03   7.812585e-03   2.014587e-06
 5.850000e+03   7.546646e-03   4.457473e-06
 5.950000e+03   7.289492e-03   3.032845e-06
