Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.296727e-03   1.051235e-06
 1.100989e+03   2.180353e-01   2.770604e-06
 1.300987e+03   1.557166e-01   2.270359e-06
 1.500985e+03   1.167553e-01   2.937626e-06
 1.700983e+03   9.077968e-02   1.622062e-06
 1.900981e+03   7.259283e-02   1.775093e-06
 2.100979e+03   5.936238e-02   2.129321e-06
 2.300977e+03   4.944282e-02   1.495787e-06
 2.500975e+03   4.181075e-02   1.450533e-06
 2.700973e+03   3.581276e-02   2.118991e-06
 2.900971e+03   3.101827e-02   1.119277e-06
 3.100969e+03   2.712415e-02   1.435668e-06
 3.300967e+03   2.391646e-02   1.053877e-06
 3.500965e+03   2.124371e-02   1.024870e-06
 3.700963e+03   1.899529e-02   8.078173e-07
 3.900961e+03   1.708252e-02   9.230054e-07
 4.100959e+03   1.544570e-02   8.068025e-07
 4.300957e+03   1.403002e-02   1.114238e-06
 4.500955e+03   1.280162e-02   7.661201e-07
 4.700953e+03   1.172629e-02   7.105990e-07
 4.900951e+03   1.077924e-02   1.230435e-06
 5.100949e+03   9.944701e-03   6.800945e-07
 5.300947e+03   9.200481e-03   7.082522e-07
 5.500945e+03   8.536324e-03   6.877547e-07
 5.700943e+03   7.941460e-03   7.011013e-07
 5.900941e+03   7.406897e-03   6.874035e-07
 6.100939e+03   6.923717e-03   6.445110e-07
 6.300937e+03   6.486108e-03   6.763651e-07
 6.500935e+03   6.088247e-03   5.256133e-07
 6.700933e+03   5.727073e-03   5.571515e-07
 6.900931e+03   5.393406e-03   6.122160e-07
 7.100929e+03   5.090519e-03   8.126357e-07
 7.300927e+03   4.812817e-03   5.856272e-07
 7.500925e+03   4.555553e-03   6.150729e-07
 7.700923e+03   4.318392e-03   4.903876e-07
 7.900921e+03   4.099949e-03   4.711481e-07
 8.100919e+03   3.895694e-03   5.785264e-07
 8.300917e+03   3.707647e-03   4.460124e-07
 8.500915e+03   3.532456e-03   7.352764e-07
 8.700913e+03   3.368930e-03   5.060898e-07
 8.900911e+03   3.217249e-03   5.217377e-07
 9.100909e+03   3.075515e-03   5.026006e-07
 9.300907e+03   2.941870e-03   4.988187e-07
 9.500905e+03   2.817152e-03   5.018183e-07
 9.700903e+03   2.699684e-03   4.325324e-07
 9.900901e+03   2.590342e-03   4.428236e-07
 1.010090e+04   2.486940e-03   4.832957e-07
 1.030090e+04   2.389477e-03   5.126959e-07
 1.050090e+04   2.296617e-03   4.937123e-07
 1.070089e+04   2.210253e-03   4.195045e-07
 1.090089e+04   2.128353e-03   3.840890e-07
 1.110089e+04   2.051525e-03   5.393280e-07
 1.130089e+04   1.975817e-03   6.958615e-07
 1.150089e+04   1.908402e-03   5.578103e-07
 1.170088e+04   1.840383e-03   5.985407e-07
 1.190088e+04   1.779427e-03   5.892243e-07
 1.210088e+04   1.719116e-03   4.416356e-07
 1.230088e+04   1.661717e-03   4.597408e-07
 1.250088e+04   1.608130e-03   3.754132e-07
 1.270087e+04   1.556978e-03   3.693480e-07
 1.290087e+04   1.507358e-03   3.743852e-07
 1.310087e+04   1.460645e-03   4.369325e-07
 1.330087e+04   1.415583e-03   3.580675e-07
 1.350086e+04   1.373391e-03   3.445695e-07
 1.370086e+04   1.331700e-03   4.133156e-07
 1.390086e+04   1.293287e-03   3.527261e-07
 1.410086e+04   1.256141e-03   4.062144e-07
 1.430086e+04   1.220224e-03   2.921606e-07
 1.450085e+04   1.186087e-03   3.141450e-07
 1.470085e+04   1.152977e-03   3.672993e-07
 1.490085e+04   1.120814e-03   2.822739e-07
 1.510085e+04   1.090621e-03   3.331009e-07
 1.530085e+04   1.061569e-03   3.294881e-07
 1.550084e+04   1.034111e-03   3.283210e-07
 1.570084e+04   1.006408e-03   3.117670e-07
 1.590084e+04   9.804120e-04   2.897561e-07
 1.610084e+04   9.559278e-04   3.361749e-07
 1.630084e+04   9.313412e-04   3.434031e-07
 1.650083e+04   9.081757e-04   4.008728e-07
 1.670083e+04   8.858810e-04   2.792109e-07
 1.690083e+04   8.647599e-04   2.683916e-07
 1.710083e+04   8.438973e-04   2.548058e-07
 1.730083e+04   8.239661e-04   2.322692e-07
 1.750083e+04   8.045688e-04   2.200545e-07
 1.770082e+04   7.854979e-04   2.714075e-07
 1.790082e+04   7.673879e-04   3.201869e-07
 1.810082e+04   7.502287e-04   2.663526e-07
 1.830082e+04   7.324165e-04   4.301837e-07
 1.850081e+04   7.169070e-04   3.060588e-07
 1.870081e+04   7.009638e-04   2.648933e-07
 1.890081e+04   6.854153e-04   2.512106e-07
 1.910081e+04   6.712751e-04   2.086587e-07
 1.930081e+04   6.566959e-04   2.775493e-07
 1.950081e+04   6.426348e-04   2.986356e-07
 1.970080e+04   6.293987e-04   2.258603e-07
 1.990080e+04   6.159427e-04   2.688400e-07
 2.010080e+04   6.031600e-04   2.988711e-07
 2.030080e+04   5.911335e-04   2.603209e-07
 2.050079e+04   5.794220e-04   2.688280e-07
 2.070079e+04   5.674038e-04   2.390664e-07
 2.090079e+04   5.565791e-04   2.109457e-07
 2.110079e+04   5.453654e-04   2.213533e-07
 2.130079e+04   5.351673e-04   2.133332e-07
 2.150078e+04   5.244423e-04   2.461245e-07
 2.170078e+04   5.147160e-04   2.123618e-07
 2.190078e+04   5.048618e-04   2.063667e-07
 2.210078e+04   4.951478e-04   2.120448e-07
 2.230078e+04   4.862233e-04   2.059315e-07
 2.250078e+04   4.770577e-04   2.084850e-07
 2.270077e+04   4.683478e-04   1.697430e-07
 2.290077e+04   4.595258e-04   1.981107e-07
 2.310077e+04   4.519492e-04   1.838601e-07
 2.330077e+04   4.431364e-04   2.116287e-07
 2.350076e+04   4.355506e-04   1.901136e-07
 2.370076e+04   4.283206e-04   2.310320e-07
 2.390076e+04   4.205992e-04   2.092419e-07
 2.410076e+04   4.132311e-04   1.783545e-07
 2.430076e+04   4.065337e-04   2.501712e-07
 2.450076e+04   3.989247e-04   2.747851e-07
 2.470075e+04   3.926696e-04   2.049099e-07
 2.490075e+04   3.858108e-04   1.983034e-07
 2.510075e+04   3.792482e-04   1.771283e-07
 2.530075e+04   3.734177e-04   2.203730e-07
 2.550074e+04   3.670331e-04   2.079945e-07
 2.570074e+04   3.613495e-04   1.647049e-07
 2.590074e+04   3.551368e-04   1.646940e-07
 2.610074e+04   3.497531e-04   1.772811e-07
 2.630074e+04   3.437125e-04   1.975512e-07
 2.650074e+04   3.386252e-04   1.392880e-07
 2.670073e+04   3.331989e-04   1.690073e-07
 2.690073e+04   3.282630e-04   1.948654e-07
 2.710073e+04   3.228332e-04   2.168316e-07
 2.730073e+04   3.179959e-04   1.603677e-07
 2.750072e+04   3.131944e-04   1.632857e-07
 2.770072e+04   3.085458e-04   1.774929e-07
 2.790072e+04   3.037431e-04   2.122150e-07
 2.810072e+04   2.993256e-04   1.699075e-07
 2.830072e+04   2.951618e-04   2.211059e-07
 2.850072e+04   2.902327e-04   1.982684e-07
 2.870071e+04   2.860382e-04   2.169076e-07
 2.890071e+04   2.821935e-04   1.731929e-07
 2.910071e+04   2.780603e-04   1.914028e-07
 2.930071e+04   2.739209e-04   1.651034e-07
 2.950071e+04   2.699435e-04   1.956754e-07
 2.970070e+04   2.662317e-04   1.630386e-07
 2.990070e+04   2.623119e-04   1.358463e-07
 3.010070e+04   2.589520e-04   1.942762e-07
 3.030070e+04   2.549940e-04   2.349454e-07
 3.050069e+04   2.514019e-04   2.218396e-07
 3.070069e+04   2.475576e-04   3.513024e-07
 3.090069e+04   2.446068e-04   1.963400e-07
 3.110069e+04   2.409375e-04   2.756636e-07
 3.130069e+04   2.381255e-04   2.188969e-07
 3.150069e+04   2.350951e-04   2.659826e-07
 3.170068e+04   2.313133e-04   2.523755e-07
 3.190068e+04   2.289054e-04   1.933282e-07
 3.210068e+04   2.255988e-04   2.151564e-07
 3.230068e+04   2.227614e-04   2.453486e-07
 3.250067e+04   2.195321e-04   2.719074e-07
 3.270067e+04   2.171000e-04   2.501868e-07
 3.290067e+04   2.138147e-04   3.105291e-07
 3.310067e+04   2.112964e-04   1.793239e-07
 3.330067e+04   2.084671e-04   2.322873e-07
 3.350067e+04   2.057803e-04   1.995474e-07
 3.370066e+04   2.032373e-04   1.694808e-07
 3.390066e+04   2.007643e-04   2.856908e-07
 3.410066e+04   1.982437e-04   2.930420e-07
 3.430066e+04   1.959077e-04   1.831322e-07
 3.450065e+04   1.936875e-04   2.493258e-07
