Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   0.000000e+00   0.000000e+00
 9.500000e+02   0.000000e+00   0.000000e+00
 1.050000e+03   2.383685e-01   2.981758e-05
 1.150000e+03   1.985887e-01   6.170899e-06
 1.250000e+03   1.680211e-01   9.999502e-06
 1.350000e+03   1.439840e-01   9.305905e-06
 1.450000e+03   1.247406e-01   7.905367e-06
 1.550000e+03   1.091534e-01   7.721182e-06
 1.650000e+03   9.626301e-02   7.525511e-06
 1.750000e+03   8.556116e-02   8.636293e-06
 1.850000e+03   7.652635e-02   6.871192e-06
 1.950000e+03   6.886515e-02   6.718872e-06
 2.050000e+03   6.228222e-02   5.088675e-06
 2.150000e+03   5.660474e-02   7.939194e-06
 2.250000e+03   5.167052e-02   7.015423e-06
 2.350000e+03   4.735337e-02   6.123910e-06
 2.450000e+03   4.354368e-02   4.820251e-06
 2.550000e+03   4.019258e-02   5.801267e-06
 2.650000e+03   3.718520e-02   6.620710e-06
 2.750000e+03   3.452117e-02   5.963550e-06
 2.850000e+03   3.213166e-02   6.306340e-06
 2.950000e+03   2.998343e-02   5.665729e-06
 3.050000e+03   2.803041e-02   6.375938e-06
 3.150000e+03   2.627854e-02   5.334998e-06
 3.250000e+03   2.468064e-02   6.189879e-06
 3.350000e+03   2.320593e-02   4.242231e-06
 3.450000e+03   2.189356e-02   6.115447e-06
 3.550000e+03   2.065075e-02   5.978472e-06
 3.650000e+03   1.954656e-02   5.292209e-06
 3.750000e+03   1.849752e-02   5.288771e-06
 3.850000e+03   1.753872e-02   5.040637e-06
 3.950000e+03   1.667540e-02   5.005730e-06
 4.050000e+03   1.584402e-02   5.119636e-06
 4.150000e+03   1.508461e-02   4.362527e-06
 4.250000e+03   1.437697e-02   3.998578e-06
 4.350000e+03   1.372104e-02   5.355690e-06
 4.450000e+03   1.310390e-02   5.497544e-06
 4.550000e+03   1.253255e-02   4.336059e-06
 4.650000e+03   1.199335e-02   3.589346e-06
 4.750000e+03   1.149095e-02   4.242353e-06
 4.850000e+03   1.101487e-02   6.328515e-06
 4.950000e+03   1.057756e-02   3.459690e-06
 5.050000e+03   1.015026e-02   3.496538e-06
 5.150000e+03   9.761492e-03   2.708075e-06
 5.250000e+03   9.384127e-03   3.408166e-06
 5.350000e+03   9.037290e-03   2.629274e-06
 5.450000e+03   8.709226e-03   3.179495e-06
 5.550000e+03   8.384737e-03   2.488775e-06
 5.650000e+03   8.100258e-03   3.085265e-06
 5.750000e+03   7.808771e-03   5.316623e-06
 5.850000e+03   7.546518e-03   3.914024e-06
 5.950000e+03   7.285173e-03   4.204967e-06
