Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   3.137337e-05   6.109885e-07
 9.500000e+02   2.913491e-01   5.852363e-06
 1.050000e+03   2.383570e-01   5.755113e-06
 1.150000e+03   1.986033e-01   6.320773e-06
 1.250000e+03   1.680006e-01   6.772717e-06
 1.350000e+03   1.439825e-01   5.513221e-06
 1.450000e+03   1.247549e-01   5.643025e-06
 1.550000e+03   1.091301e-01   5.483206e-06
 1.650000e+03   9.628117e-02   6.337411e-06
 1.750000e+03   8.555081e-02   6.136595e-06
 1.850000e+03   7.653296e-02   6.344080e-06
 1.950000e+03   6.886252e-02   6.243774e-06
 2.050000e+03   6.229307e-02   4.337556e-06
 2.150000e+03   5.660625e-02   3.275027e-06
 2.250000e+03   5.166029e-02   5.098032e-06
 2.350000e+03   4.735801e-02   5.071850e-06
 2.450000e+03   4.354022e-02   3.987951e-06
 2.550000e+03   4.018580e-02   3.672568e-06
 2.650000e+03   3.719175e-02   4.104131e-06
 2.750000e+03   3.453074e-02   5.155846e-06
 2.850000e+03   3.213213e-02   4.119539e-06
 2.950000e+03   2.998961e-02   3.635343e-06
 3.050000e+03   2.802911e-02   3.564465e-06
 3.150000e+03   2.627930e-02   4.416491e-06
 3.250000e+03   2.468041e-02   5.384918e-06
 3.350000e+03   2.320936e-02   3.587301e-06
 3.450000e+03   2.187993e-02   4.881408e-06
 3.550000e+03   2.065917e-02   3.648482e-06
 3.650000e+03   1.953442e-02   4.062078e-06
 3.750000e+03   1.849843e-02   3.266755e-06
 3.850000e+03   1.754260e-02   3.756348e-06
 3.950000e+03   1.666077e-02   2.527393e-06
 4.050000e+03   1.584722e-02   2.927590e-06
 4.150000e+03   1.508278e-02   1.610431e-06
 4.250000e+03   1.438235e-02   3.908842e-06
 4.350000e+03   1.372251e-02   2.290715e-06
 4.450000e+03   1.311098e-02   2.729891e-06
 4.550000e+03   1.252973e-02   2.959934e-06
 4.650000e+03   1.199677e-02   2.976759e-06
 4.750000e+03   1.149363e-02   3.443083e-06
 4.850000e+03   1.101491e-02   1.924913e-06
 4.950000e+03   1.057258e-02   2.278784e-06
 5.050000e+03   1.015226e-02   2.580130e-06
 5.150000e+03   9.770253e-03   3.446054e-06
 5.250000e+03   9.389326e-03   2.751581e-06
 5.350000e+03   9.035076e-03   3.440082e-06
 5.450000e+03   8.705257e-03   2.838869e-06
 5.550000e+03   8.394006e-03   2.524067e-06
 5.650000e+03   8.092941e-03   2.381674e-06
 5.750000e+03   7.816210e-03   2.972205e-06
 5.850000e+03   7.544369e-03   2.563272e-06
 5.950000e+03   7.289696e-03   2.283532e-06
