Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.296716e-03   4.779940e-07
 1.100989e+03   2.181133e-01   8.818525e-07
 1.300987e+03   1.557836e-01   8.259441e-07
 1.500985e+03   1.168166e-01   7.557611e-07
 1.700983e+03   9.083099e-02   7.633238e-07
 1.900981e+03   7.263899e-02   6.251758e-07
 2.100979e+03   5.940833e-02   5.392433e-07
 2.300977e+03   4.948126e-02   5.497215e-07
 2.500975e+03   4.184474e-02   6.031316e-07
 2.700973e+03   3.584713e-02   4.980817e-07
 2.900971e+03   3.104911e-02   4.262494e-07
 3.100969e+03   2.715127e-02   5.042995e-07
 3.300967e+03   2.394293e-02   4.470530e-07
 3.500965e+03   2.126917e-02   5.601577e-07
 3.700963e+03   1.901848e-02   4.994706e-07
 3.900961e+03   1.710528e-02   3.130802e-07
 4.100959e+03   1.546578e-02   3.745206e-07
 4.300957e+03   1.405138e-02   4.108750e-07
 4.500955e+03   1.281998e-02   3.260146e-07
 4.700953e+03   1.174492e-02   4.111175e-07
 4.900951e+03   1.079763e-02   3.336141e-07
 5.100949e+03   9.959755e-03   3.428392e-07
 5.300947e+03   9.217191e-03   3.446121e-07
 5.500945e+03   8.552399e-03   2.880581e-07
 5.700943e+03   7.956703e-03   2.957956e-07
 5.900941e+03   7.421841e-03   3.191926e-07
 6.100939e+03   6.937859e-03   4.234521e-07
 6.300937e+03   6.499825e-03   3.792621e-07
 6.500935e+03   6.101726e-03   3.959911e-07
 6.700933e+03   5.738434e-03   4.560524e-07
 6.900931e+03   5.406940e-03   3.536278e-07
 7.100929e+03   5.103587e-03   2.720720e-07
 7.300927e+03   4.823413e-03   4.387366e-07
 7.500925e+03   4.567095e-03   4.130705e-07
 7.700923e+03   4.329506e-03   2.666481e-07
 7.900921e+03   4.110075e-03   2.894033e-07
 8.100919e+03   3.906665e-03   3.421915e-07
 8.300917e+03   3.718293e-03   3.022402e-07
 8.500915e+03   3.542570e-03   3.553901e-07
 8.700913e+03   3.379168e-03   3.188901e-07
 8.900911e+03   3.226636e-03   2.939821e-07
 9.100909e+03   3.084476e-03   3.827499e-07
 9.300907e+03   2.950756e-03   2.821273e-07
 9.500905e+03   2.826106e-03   2.264746e-07
 9.700903e+03   2.708841e-03   2.348033e-07
 9.900901e+03   2.598341e-03   2.757995e-07
 1.010090e+04   2.494710e-03   2.791989e-07
 1.030090e+04   2.396994e-03   3.045216e-07
 1.050090e+04   2.305037e-03   3.079889e-07
 1.070089e+04   2.218114e-03   2.289158e-07
 1.090089e+04   2.135779e-03   2.385457e-07
 1.110089e+04   2.058532e-03   3.027415e-07
 1.130089e+04   1.984259e-03   3.613307e-07
 1.150089e+04   1.914967e-03   2.768168e-07
 1.170088e+04   1.848685e-03   2.495226e-07
 1.190088e+04   1.785277e-03   2.534831e-07
 1.210088e+04   1.725923e-03   2.910395e-07
 1.230088e+04   1.669057e-03   1.754838e-07
 1.250088e+04   1.614649e-03   1.957545e-07
 1.270087e+04   1.563141e-03   2.574266e-07
 1.290087e+04   1.513577e-03   3.231196e-07
 1.310087e+04   1.467272e-03   3.148491e-07
 1.330087e+04   1.422188e-03   2.603080e-07
 1.350086e+04   1.379522e-03   2.131235e-07
 1.370086e+04   1.338290e-03   2.392087e-07
 1.390086e+04   1.299148e-03   3.109440e-07
 1.410086e+04   1.261937e-03   2.664940e-07
 1.430086e+04   1.225362e-03   2.617368e-07
 1.450085e+04   1.191027e-03   2.411671e-07
 1.470085e+04   1.158750e-03   2.307060e-07
 1.490085e+04   1.126656e-03   2.419036e-07
 1.510085e+04   1.095705e-03   2.831371e-07
 1.530085e+04   1.067265e-03   3.302093e-07
 1.550084e+04   1.038260e-03   2.959628e-07
 1.570084e+04   1.011980e-03   2.364642e-07
 1.590084e+04   9.858722e-04   2.443776e-07
 1.610084e+04   9.609215e-04   1.860844e-07
 1.630084e+04   9.363093e-04   1.897908e-07
 1.650083e+04   9.134254e-04   1.763926e-07
 1.670083e+04   8.912262e-04   2.005995e-07
 1.690083e+04   8.693994e-04   1.764247e-07
 1.710083e+04   8.487183e-04   2.101519e-07
 1.730083e+04   8.284582e-04   2.500954e-07
 1.750083e+04   8.091684e-04   2.263765e-07
 1.770082e+04   7.902733e-04   1.634619e-07
 1.790082e+04   7.723169e-04   1.359315e-07
 1.810082e+04   7.543277e-04   1.734241e-07
 1.830082e+04   7.380093e-04   1.786499e-07
 1.850081e+04   7.212108e-04   1.732148e-07
 1.870081e+04   7.055202e-04   1.521156e-07
 1.890081e+04   6.902027e-04   1.844551e-07
 1.910081e+04   6.754052e-04   1.810044e-07
 1.930081e+04   6.605763e-04   1.475791e-07
 1.950081e+04   6.472038e-04   1.330426e-07
 1.970080e+04   6.333379e-04   1.551363e-07
 1.990080e+04   6.200885e-04   1.895421e-07
 2.010080e+04   6.075565e-04   1.809563e-07
 2.030080e+04   5.950733e-04   1.451160e-07
 2.050079e+04   5.830315e-04   1.613992e-07
 2.070079e+04   5.714514e-04   1.725769e-07
 2.090079e+04   5.602709e-04   1.645165e-07
 2.110079e+04   5.493438e-04   1.379157e-07
 2.130079e+04   5.386869e-04   1.786094e-07
 2.150078e+04   5.284124e-04   1.802158e-07
 2.170078e+04   5.180723e-04   1.721113e-07
 2.190078e+04   5.084659e-04   1.738946e-07
 2.210078e+04   4.991122e-04   1.139393e-07
 2.230078e+04   4.895172e-04   1.251475e-07
 2.250078e+04   4.808451e-04   1.305663e-07
 2.270077e+04   4.716002e-04   1.342657e-07
 2.290077e+04   4.633985e-04   1.132661e-07
 2.310077e+04   4.549458e-04   1.139507e-07
 2.330077e+04   4.466749e-04   1.065864e-07
 2.350076e+04   4.391170e-04   1.601395e-07
 2.370076e+04   4.312221e-04   1.548276e-07
 2.390076e+04   4.239206e-04   1.403210e-07
 2.410076e+04   4.161809e-04   1.524719e-07
 2.430076e+04   4.095467e-04   1.527996e-07
 2.450076e+04   4.022026e-04   1.410725e-07
 2.470075e+04   3.956963e-04   1.240304e-07
 2.490075e+04   3.891170e-04   1.445381e-07
 2.510075e+04   3.825304e-04   1.378699e-07
 2.530075e+04   3.761623e-04   1.286148e-07
 2.550074e+04   3.703363e-04   1.070882e-07
 2.570074e+04   3.642310e-04   1.096912e-07
 2.590074e+04   3.580782e-04   1.277343e-07
 2.610074e+04   3.528434e-04   1.663605e-07
 2.630074e+04   3.467554e-04   1.304736e-07
 2.650074e+04   3.415831e-04   9.998120e-08
 2.670073e+04   3.359892e-04   8.500414e-08
 2.690073e+04   3.308877e-04   9.751274e-08
 2.710073e+04   3.258507e-04   1.121831e-07
 2.730073e+04   3.209795e-04   1.586910e-07
 2.750072e+04   3.158635e-04   1.351210e-07
 2.770072e+04   3.111930e-04   1.163897e-07
 2.790072e+04   3.064028e-04   1.205814e-07
 2.810072e+04   3.019708e-04   9.647597e-08
 2.830072e+04   2.975562e-04   1.167980e-07
 2.850072e+04   2.931336e-04   1.083108e-07
 2.870071e+04   2.887642e-04   9.402833e-08
 2.890071e+04   2.845373e-04   1.045039e-07
 2.910071e+04   2.804287e-04   7.925550e-08
 2.930071e+04   2.765993e-04   1.115847e-07
 2.950071e+04   2.724850e-04   9.010698e-08
 2.970070e+04   2.688147e-04   9.684475e-08
 2.990070e+04   2.647945e-04   9.434733e-08
 3.010070e+04   2.610753e-04   1.198385e-07
 3.030070e+04   2.574499e-04   1.106192e-07
 3.050069e+04   2.539717e-04   8.937073e-08
 3.070069e+04   2.504387e-04   9.064364e-08
 3.090069e+04   2.469988e-04   1.057539e-07
 3.110069e+04   2.434875e-04   1.155162e-07
 3.130069e+04   2.403996e-04   1.095739e-07
 3.150069e+04   2.371624e-04   8.989543e-08
 3.170068e+04   2.339104e-04   1.354685e-07
 3.190068e+04   2.306214e-04   1.242789e-07
 3.210068e+04   2.278958e-04   1.131922e-07
 3.230068e+04   2.247457e-04   1.001383e-07
 3.250067e+04   2.218034e-04   1.388219e-07
 3.270067e+04   2.188973e-04   1.096074e-07
 3.290067e+04   2.160605e-04   1.074063e-07
 3.310067e+04   2.133872e-04   1.102219e-07
 3.330067e+04   2.104129e-04   1.217271e-07
 3.350067e+04   2.080460e-04   1.060471e-07
 3.370066e+04   2.053787e-04   1.042825e-07
 3.390066e+04   2.024734e-04   1.108899e-07
 3.410066e+04   2.000143e-04   9.273326e-08
 3.430066e+04   1.975956e-04   8.741997e-08
 3.450065e+04   1.952965e-04   1.081383e-07
