Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.295334e-03   1.207062e-06
 1.100989e+03   2.181116e-01   1.308681e-06
 1.300987e+03   1.557864e-01   1.499438e-06
 1.500985e+03   1.168144e-01   1.350299e-06
 1.700983e+03   9.083054e-02   1.265102e-06
 1.900981e+03   7.263850e-02   1.227845e-06
 2.100979e+03   5.940766e-02   1.282786e-06
 2.300977e+03   4.948350e-02   9.827887e-07
 2.500975e+03   4.184351e-02   1.041225e-06
 2.700973e+03   3.584712e-02   9.206215e-07
 2.900971e+03   3.104748e-02   7.372449e-07
 3.100969e+03   2.715231e-02   9.170454e-07
 3.300967e+03   2.394214e-02   7.718740e-07
 3.500965e+03   2.126790e-02   6.823025e-07
 3.700963e+03   1.901884e-02   8.312194e-07
 3.900961e+03   1.710505e-02   6.409610e-07
 4.100959e+03   1.546501e-02   7.529509e-07
 4.300957e+03   1.405099e-02   5.897872e-07
 4.500955e+03   1.282088e-02   5.704566e-07
 4.700953e+03   1.174424e-02   6.936524e-07
 4.900951e+03   1.079652e-02   4.408514e-07
 5.100949e+03   9.960478e-03   5.030072e-07
 5.300947e+03   9.216443e-03   4.005035e-07
 5.500945e+03   8.550692e-03   4.348451e-07
 5.700943e+03   7.957807e-03   5.243493e-07
 5.900941e+03   7.420413e-03   4.987490e-07
 6.100939e+03   6.937746e-03   5.923177e-07
 6.300937e+03   6.499037e-03   4.787289e-07
 6.500935e+03   6.100817e-03   3.620344e-07
 6.700933e+03   5.737641e-03   3.157336e-07
 6.900931e+03   5.407258e-03   3.895464e-07
 7.100929e+03   5.103429e-03   4.261843e-07
 7.300927e+03   4.823115e-03   3.993291e-07
 7.500925e+03   4.567112e-03   5.556689e-07
 7.700923e+03   4.329107e-03   3.655253e-07
 7.900921e+03   4.109856e-03   4.776027e-07
 8.100919e+03   3.906831e-03   3.487731e-07
 8.300917e+03   3.718248e-03   3.451592e-07
 8.500915e+03   3.542405e-03   3.234565e-07
 8.700913e+03   3.378794e-03   3.050297e-07
 8.900911e+03   3.226535e-03   3.855709e-07
 9.100909e+03   3.084467e-03   3.454193e-07
 9.300907e+03   2.951422e-03   3.290380e-07
 9.500905e+03   2.825752e-03   3.806472e-07
 9.700903e+03   2.708504e-03   3.484607e-07
 9.900901e+03   2.598137e-03   3.142476e-07
 1.010090e+04   2.494443e-03   3.468408e-07
 1.030090e+04   2.396984e-03   3.431686e-07
 1.050090e+04   2.305037e-03   2.362145e-07
 1.070089e+04   2.217583e-03   2.469727e-07
 1.090089e+04   2.135566e-03   2.525373e-07
 1.110089e+04   2.057696e-03   2.464975e-07
 1.130089e+04   1.984140e-03   2.511481e-07
 1.150089e+04   1.914773e-03   3.176228e-07
 1.170088e+04   1.848321e-03   2.397164e-07
 1.190088e+04   1.785724e-03   2.267105e-07
 1.210088e+04   1.725147e-03   1.902130e-07
 1.230088e+04   1.668819e-03   2.779609e-07
 1.250088e+04   1.614980e-03   3.487832e-07
 1.270087e+04   1.563125e-03   3.777904e-07
 1.290087e+04   1.514016e-03   2.918282e-07
 1.310087e+04   1.466641e-03   2.809155e-07
 1.330087e+04   1.422292e-03   2.975138e-07
 1.350086e+04   1.378780e-03   2.971323e-07
 1.370086e+04   1.338296e-03   2.797280e-07
 1.390086e+04   1.299020e-03   2.161944e-07
 1.410086e+04   1.261990e-03   3.052851e-07
 1.430086e+04   1.225717e-03   2.361754e-07
 1.450085e+04   1.191494e-03   2.521559e-07
 1.470085e+04   1.157939e-03   3.011570e-07
 1.490085e+04   1.126537e-03   2.867030e-07
 1.510085e+04   1.096310e-03   2.985306e-07
 1.530085e+04   1.066739e-03   2.571680e-07
 1.550084e+04   1.038531e-03   1.801590e-07
 1.570084e+04   1.011855e-03   2.202033e-07
 1.590084e+04   9.852859e-04   2.412365e-07
 1.610084e+04   9.609958e-04   2.736038e-07
 1.630084e+04   9.361548e-04   2.702759e-07
 1.650083e+04   9.134123e-04   2.219420e-07
 1.670083e+04   8.905674e-04   2.212663e-07
 1.690083e+04   8.697020e-04   1.897032e-07
 1.710083e+04   8.483258e-04   2.188407e-07
 1.730083e+04   8.283376e-04   1.872431e-07
 1.750083e+04   8.092143e-04   2.623147e-07
 1.770082e+04   7.904885e-04   2.157539e-07
 1.790082e+04   7.722090e-04   1.761314e-07
 1.810082e+04   7.544713e-04   2.106974e-07
 1.830082e+04   7.375755e-04   2.036359e-07
 1.850081e+04   7.216953e-04   1.940389e-07
 1.870081e+04   7.053578e-04   1.710975e-07
 1.890081e+04   6.901362e-04   2.225149e-07
 1.910081e+04   6.749095e-04   1.944864e-07
 1.930081e+04   6.608508e-04   2.080063e-07
 1.950081e+04   6.466739e-04   1.844089e-07
 1.970080e+04   6.330673e-04   1.585516e-07
 1.990080e+04   6.201323e-04   1.482325e-07
 2.010080e+04   6.074612e-04   1.529588e-07
 2.030080e+04   5.950623e-04   1.432605e-07
 2.050079e+04   5.831064e-04   1.377515e-07
 2.070079e+04   5.713379e-04   1.971459e-07
 2.090079e+04   5.603306e-04   1.579453e-07
 2.110079e+04   5.491162e-04   1.539417e-07
 2.130079e+04   5.384011e-04   1.679488e-07
 2.150078e+04   5.283717e-04   1.753252e-07
 2.170078e+04   5.179305e-04   1.314665e-07
 2.190078e+04   5.085844e-04   1.292273e-07
 2.210078e+04   4.984879e-04   1.600136e-07
 2.230078e+04   4.895631e-04   1.278449e-07
 2.250078e+04   4.804006e-04   1.586919e-07
 2.270077e+04   4.718879e-04   1.620442e-07
 2.290077e+04   4.630096e-04   1.318533e-07
 2.310077e+04   4.552781e-04   1.351091e-07
 2.330077e+04   4.463695e-04   1.338148e-07
 2.350076e+04   4.392314e-04   1.168812e-07
 2.370076e+04   4.312530e-04   1.460165e-07
 2.390076e+04   4.239095e-04   1.506565e-07
 2.410076e+04   4.161894e-04   1.194269e-07
 2.430076e+04   4.094753e-04   1.298032e-07
 2.450076e+04   4.024729e-04   1.138683e-07
 2.470075e+04   3.956188e-04   1.238377e-07
 2.490075e+04   3.891628e-04   1.237729e-07
 2.510075e+04   3.824549e-04   9.677123e-08
 2.530075e+04   3.761703e-04   1.100062e-07
 2.550074e+04   3.701847e-04   1.235127e-07
 2.570074e+04   3.642644e-04   1.031616e-07
 2.590074e+04   3.582053e-04   1.154802e-07
 2.610074e+04   3.524475e-04   1.383594e-07
 2.630074e+04   3.469804e-04   1.212213e-07
 2.650074e+04   3.413847e-04   1.216739e-07
 2.670073e+04   3.362438e-04   9.444878e-08
 2.690073e+04   3.307349e-04   1.101052e-07
 2.710073e+04   3.257386e-04   9.905863e-08
 2.730073e+04   3.208247e-04   1.124619e-07
 2.750072e+04   3.160241e-04   8.278963e-08
 2.770072e+04   3.111624e-04   9.088089e-08
 2.790072e+04   3.064294e-04   9.441119e-08
 2.810072e+04   3.018095e-04   8.328595e-08
 2.830072e+04   2.973885e-04   9.199300e-08
 2.850072e+04   2.929180e-04   1.003815e-07
 2.870071e+04   2.889060e-04   8.043538e-08
 2.890071e+04   2.846342e-04   8.788618e-08
 2.910071e+04   2.804694e-04   8.839291e-08
 2.930071e+04   2.764454e-04   9.926647e-08
 2.950071e+04   2.725178e-04   8.263130e-08
 2.970070e+04   2.686491e-04   8.367512e-08
 2.990070e+04   2.647764e-04   8.786092e-08
 3.010070e+04   2.612190e-04   8.477874e-08
 3.030070e+04   2.575820e-04   7.679629e-08
 3.050069e+04   2.538090e-04   8.909647e-08
 3.070069e+04   2.504596e-04   9.057165e-08
 3.090069e+04   2.468820e-04   7.431322e-08
 3.110069e+04   2.434919e-04   6.668924e-08
 3.130069e+04   2.404377e-04   7.273204e-08
 3.150069e+04   2.370807e-04   6.706830e-08
 3.170068e+04   2.337858e-04   6.263988e-08
 3.190068e+04   2.307729e-04   8.445769e-08
 3.210068e+04   2.276899e-04   5.811770e-08
 3.230068e+04   2.247012e-04   6.511685e-08
 3.250067e+04   2.217761e-04   9.074414e-08
 3.270067e+04   2.189086e-04   7.132245e-08
 3.290067e+04   2.161389e-04   5.555193e-08
 3.310067e+04   2.134239e-04   6.189669e-08
 3.330067e+04   2.105267e-04   9.053051e-08
 3.350067e+04   2.078919e-04   5.948465e-08
 3.370066e+04   2.052372e-04   5.343442e-08
 3.390066e+04   2.025521e-04   5.772627e-08
 3.410066e+04   2.002703e-04   4.431606e-08
 3.430066e+04   1.975808e-04   5.135364e-08
 3.450065e+04   1.953495e-04   6.901527e-08
