Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   0.000000e+00   0.000000e+00
 9.500000e+02   0.000000e+00   0.000000e+00
 1.050000e+03   2.383534e-01   2.144132e-06
 1.150000e+03   1.985929e-01   1.867724e-06
 1.250000e+03   1.679981e-01   3.050214e-06
 1.350000e+03   1.439787e-01   1.919108e-06
 1.450000e+03   1.247488e-01   2.001022e-06
 1.550000e+03   1.091298e-01   1.897715e-06
 1.650000e+03   9.626596e-02   1.632287e-06
 1.750000e+03   8.555360e-02   1.270653e-06
 1.850000e+03   7.653107e-02   2.354303e-06
 1.950000e+03   6.885456e-02   1.802813e-06
 2.050000e+03   6.228284e-02   2.149159e-06
 2.150000e+03   5.660743e-02   1.972745e-06
 2.250000e+03   5.166642e-02   1.775855e-06
 2.350000e+03   4.734305e-02   1.163135e-06
 2.450000e+03   4.354273e-02   1.479589e-06
 2.550000e+03   4.018116e-02   1.489501e-06
 2.650000e+03   3.718966e-02   1.613525e-06
 2.750000e+03   3.452567e-02   1.614126e-06
 2.850000e+03   3.213212e-02   1.194328e-06
 2.950000e+03   2.997747e-02   9.595197e-07
 3.050000e+03   2.803377e-02   1.211359e-06
 3.150000e+03   2.627546e-02   1.088701e-06
 3.250000e+03   2.467229e-02   1.024604e-06
 3.350000e+03   2.321666e-02   8.627897e-07
 3.450000e+03   2.187882e-02   9.878104e-07
 3.550000e+03   2.065780e-02   7.976946e-07
 3.650000e+03   1.953273e-02   1.019222e-06
 3.750000e+03   1.849999e-02   1.158616e-06
 3.850000e+03   1.754318e-02   9.637041e-07
 3.950000e+03   1.666220e-02   9.142925e-07
 4.050000e+03   1.584300e-02   8.343727e-07
 4.150000e+03   1.508349e-02   9.407724e-07
 4.250000e+03   1.437835e-02   9.115752e-07
 4.350000e+03   1.371914e-02   8.797585e-07
 4.450000e+03   1.310352e-02   8.709236e-07
 4.550000e+03   1.253150e-02   1.296506e-06
 4.650000e+03   1.199474e-02   7.524627e-07
 4.750000e+03   1.148826e-02   8.255380e-07
 4.850000e+03   1.101675e-02   6.903792e-07
 4.950000e+03   1.057263e-02   6.896233e-07
 5.050000e+03   1.015293e-02   9.224954e-07
 5.150000e+03   9.759907e-03   8.008422e-07
 5.250000e+03   9.388234e-03   5.421746e-07
 5.350000e+03   9.036204e-03   1.203080e-06
 5.450000e+03   8.704163e-03   8.635697e-07
 5.550000e+03   8.392192e-03   7.757057e-07
 5.650000e+03   8.094194e-03   6.772431e-07
 5.750000e+03   7.811507e-03   6.095126e-07
 5.850000e+03   7.545170e-03   6.231541e-07
 5.950000e+03   7.290043e-03   7.431851e-07
