Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   3.301168e-05   5.487656e-07
 9.500000e+02   2.914140e-01   1.025279e-05
 1.050000e+03   2.383919e-01   9.988592e-06
 1.150000e+03   1.986308e-01   7.645696e-06
 1.250000e+03   1.680417e-01   5.661972e-06
 1.350000e+03   1.440179e-01   8.576473e-06
 1.450000e+03   1.247703e-01   7.641081e-06
 1.550000e+03   1.091812e-01   7.982550e-06
 1.650000e+03   9.629579e-02   5.993610e-06
 1.750000e+03   8.557781e-02   5.710883e-06
 1.850000e+03   7.654433e-02   8.284418e-06
 1.950000e+03   6.888184e-02   6.618551e-06
 2.050000e+03   6.230292e-02   9.307824e-06
 2.150000e+03   5.662178e-02   7.895270e-06
 2.250000e+03   5.168899e-02   8.516556e-06
 2.350000e+03   4.735519e-02   7.309616e-06
 2.450000e+03   4.356079e-02   3.308659e-06
 2.550000e+03   4.020381e-02   5.089355e-06
 2.650000e+03   3.721507e-02   6.125414e-06
 2.750000e+03   3.454524e-02   6.351231e-06
 2.850000e+03   3.215506e-02   4.677548e-06
 2.950000e+03   2.999277e-02   6.553023e-06
 3.050000e+03   2.805450e-02   4.879635e-06
 3.150000e+03   2.629024e-02   4.206286e-06
 3.250000e+03   2.468617e-02   3.575956e-06
 3.350000e+03   2.322639e-02   4.448885e-06
 3.450000e+03   2.189349e-02   5.163021e-06
 3.550000e+03   2.066973e-02   6.247750e-06
 3.650000e+03   1.954366e-02   4.570780e-06
 3.750000e+03   1.850752e-02   3.300424e-06
 3.850000e+03   1.755948e-02   5.363570e-06
 3.950000e+03   1.666867e-02   4.493346e-06
 4.050000e+03   1.586590e-02   7.578232e-06
 4.150000e+03   1.508768e-02   4.097264e-06
 4.250000e+03   1.438828e-02   4.464523e-06
 4.350000e+03   1.373089e-02   4.374050e-06
 4.450000e+03   1.312718e-02   3.587803e-06
 4.550000e+03   1.253122e-02   4.848730e-06
 4.650000e+03   1.200274e-02   4.923234e-06
 4.750000e+03   1.150426e-02   3.852523e-06
 4.850000e+03   1.102616e-02   3.780991e-06
 4.950000e+03   1.058918e-02   4.315305e-06
 5.050000e+03   1.015827e-02   4.331763e-06
 5.150000e+03   9.768092e-03   3.348136e-06
 5.250000e+03   9.406833e-03   5.735371e-06
 5.350000e+03   9.039565e-03   4.668052e-06
 5.450000e+03   8.714820e-03   4.418107e-06
 5.550000e+03   8.404393e-03   3.285438e-06
 5.650000e+03   8.102198e-03   3.634068e-06
 5.750000e+03   7.819149e-03   3.185720e-06
 5.850000e+03   7.558147e-03   3.291602e-06
 5.950000e+03   7.293581e-03   3.700720e-06
