Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 8.232500e+02   5.809282e-02   2.248282e-06
 1.069750e+03   2.322265e-01   2.588745e-06
 1.316250e+03   1.526360e-01   3.112682e-06
 1.562750e+03   1.079433e-01   2.695834e-06
 1.809250e+03   8.036394e-02   1.765399e-06
 2.055750e+03   6.214429e-02   2.191695e-06
 2.302250e+03   4.947899e-02   1.941459e-06
 2.548750e+03   4.031413e-02   2.254639e-06
 2.795250e+03   3.348223e-02   2.028665e-06
 3.041750e+03   2.824315e-02   1.941594e-06
 3.288250e+03   2.414346e-02   1.547148e-06
 3.534750e+03   2.087091e-02   1.041784e-06
 3.781250e+03   1.822377e-02   1.500564e-06
 4.027750e+03   1.604466e-02   1.024696e-06
 4.274250e+03   1.423456e-02   1.428059e-06
 4.520750e+03   1.271005e-02   1.377107e-06
 4.767250e+03   1.142232e-02   8.939642e-07
 5.013750e+03   1.031668e-02   1.375679e-06
 5.260250e+03   9.363537e-03   1.177611e-06
 5.506750e+03   8.538059e-03   1.015471e-06
 5.753250e+03   7.812430e-03   8.588809e-07
 5.999750e+03   7.178571e-03   1.022615e-06
 6.246250e+03   6.617689e-03   1.047512e-06
 6.492750e+03   6.117808e-03   6.755107e-07
 6.739250e+03   5.675289e-03   1.127455e-06
 6.985750e+03   5.274451e-03   1.082107e-06
 7.232250e+03   4.919563e-03   1.157278e-06
 7.478750e+03   4.595684e-03   1.110748e-06
 7.725250e+03   4.304039e-03   6.503501e-07
 7.971750e+03   4.038755e-03   1.058744e-06
 8.218250e+03   3.794868e-03   9.022790e-07
 8.464750e+03   3.575013e-03   6.272809e-07
 8.711250e+03   3.370078e-03   9.304389e-07
 8.957750e+03   3.188218e-03   8.264563e-07
 9.204250e+03   3.016090e-03   7.582586e-07
 9.450750e+03   2.856147e-03   8.038129e-07
 9.697250e+03   2.711413e-03   9.970613e-07
 9.943750e+03   2.578820e-03   1.074787e-06
 1.019025e+04   2.447917e-03   9.550793e-07
 1.043675e+04   2.336633e-03   8.201336e-07
 1.068325e+04   2.225645e-03   9.233975e-07
 1.092975e+04   2.126263e-03   1.109319e-06
 1.117625e+04   2.027619e-03   8.745886e-07
 1.142275e+04   1.943416e-03   5.574507e-07
 1.166925e+04   1.859583e-03   6.299002e-07
 1.191575e+04   1.781752e-03   6.622290e-07
 1.216225e+04   1.707920e-03   7.306490e-07
 1.240875e+04   1.639458e-03   6.772171e-07
 1.265525e+04   1.575917e-03   4.964570e-07
 1.290175e+04   1.514708e-03   6.155947e-07
 1.314825e+04   1.456744e-03   5.985522e-07
 1.339475e+04   1.403195e-03   4.885407e-07
 1.364125e+04   1.352027e-03   7.357094e-07
 1.388775e+04   1.301528e-03   8.690751e-07
