costh3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 9.999980e-01   2.281019e+06   2.580330e+05
 9.999980e-01   2.235602e+06   2.077297e+05
 9.999980e-01   2.184531e+06   2.304750e+05
 9.999980e-01   2.018872e+06   2.623475e+05
 9.999980e-01   2.493549e+06   3.482707e+05
 9.999980e-01   2.103802e+06   2.360601e+05
 9.999980e-01   2.294868e+06   2.310916e+05
 9.999980e-01   2.283520e+06   2.285327e+05
 9.999980e-01   2.347553e+06   2.553102e+05
 9.999980e-01   2.294463e+06   2.194473e+05
 9.999980e-01   2.450046e+06   2.233810e+05
 9.999980e-01   2.095608e+06   2.375762e+05
 9.999980e-01   2.436261e+06   1.895362e+05
 9.999980e-01   2.418218e+06   2.546340e+05
 9.999980e-01   2.335490e+06   2.681018e+05
 9.999980e-01   2.631563e+06   2.282596e+05
 9.999980e-01   2.134890e+06   2.390313e+05
 9.999980e-01   2.515656e+06   2.079102e+05
 9.999980e-01   2.422971e+06   2.323131e+05
 9.999980e-01   2.530309e+06   2.318511e+05
 9.999980e-01   2.435076e+06   2.242239e+05
 9.999980e-01   2.455569e+06   2.136484e+05
 9.999980e-01   2.449177e+06   1.780458e+05
 9.999980e-01   2.424574e+06   1.835088e+05
 9.999980e-01   2.255221e+06   2.056127e+05
 9.999981e-01   2.585108e+06   1.877821e+05
 9.999981e-01   2.614610e+06   2.655554e+05
 9.999981e-01   2.884782e+06   1.832821e+05
 9.999981e-01   2.801468e+06   2.185250e+05
 9.999981e-01   2.646368e+06   1.905278e+05
 9.999981e-01   2.966007e+06   1.874790e+05
 9.999981e-01   3.020104e+06   2.884684e+04
 9.999981e-01   2.759043e+06   1.818005e+05
 9.999981e-01   2.603299e+06   1.666201e+05
 9.999981e-01   2.730298e+06   1.866425e+05
 9.999981e-01   3.013009e+06   1.689092e+05
 9.999981e-01   3.046620e+06   3.315097e+04
 9.999981e-01   2.762371e+06   2.164831e+05
 9.999981e-01   2.865260e+06   1.109285e+05
 9.999981e-01   3.047113e+06   4.094179e+04
 9.999981e-01   3.064751e+06   3.640986e+04
 9.999981e-01   3.127537e+06   1.150303e+04
 9.999981e-01   3.144148e+06   1.545762e+04
 9.999981e-01   3.141335e+06   8.979841e+03
 9.999981e-01   3.154736e+06   7.280177e+03
 9.999981e-01   3.173138e+06   9.233592e+03
 9.999981e-01   3.190383e+06   1.818131e+04
 9.999981e-01   3.124902e+06   2.205566e+04
 9.999981e-01   3.181698e+06   7.368583e+03
 9.999981e-01   3.200648e+06   1.411758e+04
 9.999981e-01   3.220601e+06   1.177046e+04
 9.999981e-01   3.204930e+06   9.572364e+03
 9.999981e-01   3.215905e+06   9.967400e+03
 9.999981e-01   3.187278e+06   1.627095e+04
 9.999981e-01   3.235115e+06   1.065661e+04
 9.999981e-01   3.227583e+06   1.407900e+04
 9.999981e-01   3.233477e+06   1.418614e+04
 9.999981e-01   3.250066e+06   1.069616e+04
 9.999981e-01   3.243036e+06   1.150537e+04
 9.999981e-01   3.245684e+06   1.468678e+04
 9.999981e-01   3.290441e+06   1.214522e+04
 9.999981e-01   3.271331e+06   1.353488e+04
 9.999981e-01   3.292640e+06   1.323659e+04
 9.999981e-01   3.276709e+06   1.040989e+04
 9.999981e-01   3.305920e+06   1.553816e+04
 9.999981e-01   3.294519e+06   1.436165e+04
 9.999981e-01   3.310052e+06   1.583161e+04
 9.999981e-01   3.283180e+06   1.289108e+04
 9.999981e-01   3.369580e+06   2.156875e+04
 9.999981e-01   3.324422e+06   1.635173e+04
 9.999981e-01   3.327556e+06   1.351115e+04
 9.999981e-01   3.333307e+06   1.584866e+04
 9.999981e-01   3.349566e+06   1.422746e+04
 9.999981e-01   3.372995e+06   1.629263e+04
 9.999981e-01   3.388163e+06   1.381415e+04
 9.999982e-01   3.371532e+06   1.505225e+04
 9.999982e-01   3.415123e+06   1.599955e+04
 9.999982e-01   3.402970e+06   1.559115e+04
 9.999982e-01   3.397973e+06   9.013039e+03
 9.999982e-01   3.398470e+06   2.251996e+04
 9.999982e-01   3.441295e+06   1.935271e+04
