th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   1.034952e+06   1.452285e+01
 3.035500e-04   1.874129e+06   2.017985e+01
 3.069700e-04   1.812062e+06   1.739228e+01
 3.103900e-04   1.752728e+06   1.529300e+01
 3.138100e-04   1.695902e+06   2.245215e+01
 3.172300e-04   1.641569e+06   1.914267e+01
 3.206500e-04   1.589444e+06   1.990090e+01
 3.240700e-04   1.539544e+06   2.762302e+01
 3.274900e-04   1.491752e+06   1.539161e+01
 3.309100e-04   1.445866e+06   1.749546e+01
 3.343300e-04   1.401811e+06   2.151395e+01
 3.377500e-04   1.359566e+06   1.689075e+01
 3.411700e-04   1.318989e+06   2.169781e+01
 3.445900e-04   1.279990e+06   1.509664e+01
 3.480100e-04   1.242532e+06   1.281883e+01
 3.514300e-04   1.206518e+06   1.715495e+01
 3.548500e-04   1.171898e+06   1.589339e+01
 3.582700e-04   1.138512e+06   1.810342e+01
 3.616900e-04   1.106463e+06   1.766023e+01
 3.651100e-04   1.075562e+06   1.599628e+01
 3.685300e-04   1.045810e+06   2.190410e+01
 3.719500e-04   1.017104e+06   1.623176e+01
 3.753700e-04   9.895138e+05   1.553079e+01
 3.787900e-04   9.628844e+05   1.632398e+01
 3.822100e-04   9.371182e+05   1.418775e+01
 3.856300e-04   9.123413e+05   1.605601e+01
 3.890500e-04   8.883993e+05   1.578678e+01
 3.924700e-04   8.653200e+05   1.460480e+01
 3.958900e-04   8.430052e+05   1.283745e+01
 3.993100e-04   8.214196e+05   1.565947e+01
 4.027300e-04   8.005959e+05   1.684692e+01
 4.061500e-04   7.804835e+05   1.267694e+01
 4.095700e-04   7.610088e+05   1.126424e+01
 4.129900e-04   7.421718e+05   1.326779e+01
 4.164100e-04   7.239745e+05   1.609830e+01
 4.198300e-04   7.063465e+05   1.740106e+01
 4.232500e-04   6.892788e+05   1.509103e+01
 4.266700e-04   6.727802e+05   1.677256e+01
 4.300900e-04   6.567574e+05   1.568253e+01
 4.335100e-04   6.412772e+05   1.497778e+01
 4.369300e-04   6.262529e+05   1.901698e+01
 4.403500e-04   6.117253e+05   1.099578e+01
 4.437700e-04   5.975967e+05   1.590368e+01
 4.471900e-04   5.839562e+05   1.777879e+01
 4.506100e-04   5.706949e+05   1.442772e+01
 4.540300e-04   5.578144e+05   1.317064e+01
 4.574500e-04   5.453341e+05   1.225024e+01
