th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   2.542715e+02   1.431775e+01
 3.035500e-04   4.888828e+02   2.497625e+01
 3.069700e-04   4.942855e+02   1.512427e+01
 3.103900e-04   6.268177e+02   6.933403e+01
 3.138100e-04   6.268915e+02   4.482097e+01
 3.172300e-04   1.297513e+06   4.866174e+02
 3.206500e-04   1.591316e+06   1.050109e+02
 3.240700e-04   1.541087e+06   1.559796e+02
 3.274900e-04   1.493484e+06   6.147324e+01
 3.309100e-04   1.447426e+06   9.115882e+01
 3.343300e-04   1.403635e+06   1.213854e+02
 3.377500e-04   1.361237e+06   8.340750e+01
 3.411700e-04   1.320754e+06   1.188968e+02
 3.445900e-04   1.281813e+06   7.545079e+01
 3.480100e-04   1.244046e+06   1.327037e+02
 3.514300e-04   1.207809e+06   1.985598e+02
 3.548500e-04   1.173446e+06   1.440860e+02
 3.582700e-04   1.140035e+06   1.452538e+02
 3.616900e-04   1.108119e+06   1.757448e+02
 3.651100e-04   1.077081e+06   2.197257e+02
 3.685300e-04   1.047021e+06   2.584045e+02
 3.719500e-04   1.018748e+06   9.869321e+01
 3.753700e-04   9.910327e+05   1.805726e+02
 3.787900e-04   9.640792e+05   1.940209e+02
 3.822100e-04   9.386077e+05   1.060711e+02
 3.856300e-04   9.139611e+05   1.237301e+02
 3.890500e-04   8.896713e+05   1.188531e+02
 3.924700e-04   8.666813e+05   1.301623e+02
 3.958900e-04   8.442481e+05   9.515780e+01
 3.993100e-04   8.227916e+05   1.074281e+02
 4.027300e-04   8.020206e+05   2.183732e+02
 4.061500e-04   7.818955e+05   1.899011e+02
 4.095700e-04   7.622618e+05   1.458981e+02
 4.129900e-04   7.433368e+05   1.747568e+02
 4.164100e-04   7.253836e+05   1.925607e+02
 4.198300e-04   7.077356e+05   1.260538e+02
 4.232500e-04   6.904031e+05   9.891729e+01
 4.266700e-04   6.740581e+05   8.063016e+01
 4.300900e-04   6.580556e+05   1.190312e+02
 4.335100e-04   6.422242e+05   1.148384e+02
 4.369300e-04   6.276026e+05   8.850527e+01
 4.403500e-04   6.130102e+05   1.251649e+02
 4.437700e-04   5.988608e+05   1.063286e+02
 4.471900e-04   5.851226e+05   1.316278e+02
 4.506100e-04   5.718946e+05   1.791431e+02
 4.540300e-04   5.589777e+05   1.574434e+02
 4.574500e-04   5.462828e+05   1.220258e+02
